dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
SKP2,80,14,738,354,-1.3211734790545897,-0.9385576646042798,-0.6728748790215847,-0.7313967654335709,-1.3648,0.0067,3.5841306592584176e-22,0.37850734800429753,-1.0683,-0.4411,6.0562964899363525e-22,5.919674336997444e-22,synergistic,True,False,0.0,synergistic
CCND1,80,14,738,354,-0.4189487301869237,-0.4657272231194131,-1.3011063761140411,-1.304658510240418,1.0338,0.0658,3.336960957677754e-24,0.15705900220339206,0.0391,0.0432,1.6999840308646593e-20,3.2000924898938197e-22,antagonistic,True,False,0.0,antagonistic
E2F3,80,14,738,354,-0.8282105173660887,-0.6303514248777086,-0.32505745254178775,-0.3850549306788721,-1.5354,0.0628,6.171588792353342e-21,0.0032022500494521306,-0.7153,-0.2579,2.567639384130479e-20,6.171311518160324e-23,synergistic,True,False,0.0,synergistic
CDK6,80,14,738,354,-0.13434242901691812,-0.13908019145181916,-0.6354058630664963,-0.6242326034551469,0.9461,0.0358,8.257587336204312e-24,0.2311100706813628,-0.0136,0.0159,9.315323117505828e-20,8.349565723547403e-22,antagonistic,True,False,0.0,antagonistic
CCNE2,80,14,738,354,-0.26169931632232907,-0.13052097406234828,-0.06384882425740603,-0.051718235523499675,-1.0933,-0.1643,6.261191596674336e-14,0.09010037293588155,-0.7277,-0.119,1.3310193934452463e-13,7.131226957773924e-13,synergistic,True,False,0.0,synergistic
CKS1B,73,11,651,332,-1.1089188805889232,-1.007621584698423,-0.7371559736351788,-0.7964467127940421,-1.0782,0.0875,2.3179470257814303e-14,0.07597449595450645,-0.5331,-0.1606,2.44558845583601e-13,2.9689088642478075e-14,synergistic,True,False,0.0,synergistic
CDK4,80,14,738,354,-0.38931316281022965,-0.4210451097679509,-0.7555039083696384,-0.8275679386496647,0.7058,0.167,8.08003992300426e-17,2.2649209355076474e-05,-0.1147,-0.0403,1.1944755540127067e-12,1.806957556509082e-17,synergistic,True,False,0.0,synergistic
CCND3,80,14,738,354,-0.15382543765962103,-0.2806894682559053,-0.3488421330566095,-0.37635290397942783,0.5195,0.1196,8.931315571739409e-12,0.21126319783262437,0.3325,0.0994,2.283612672956611e-12,5.658677830506928e-11,antagonistic,True,False,0.0,antagonistic
RBL1,80,14,738,354,0.09355277619899524,-0.0017741361990188287,-0.05410154958752748,-0.06454294062013329,0.9935,0.1581,1.0321587896024368e-10,0.11178348008585105,0.5397,0.0849,2.0201821112064537e-09,2.5625104175524804e-09,antagonistic,True,False,0.0,antagonistic
YEATS2,80,14,738,354,-0.6973595555646002,-0.7015377528125561,-0.5154845521085114,-0.5672689208607311,-0.7048,0.1639,8.226631543972265e-10,0.013241765749018591,-0.2298,-0.0476,2.1845616776290516e-09,2.365869663249094e-10,synergistic,True,False,0.0,synergistic
RBL2,80,14,738,354,0.18589114688706393,0.16213363039094109,0.08649550310399674,0.07550631260311698,0.8223,0.1409,1.8876568889316026e-10,0.1305865315095673,0.0783,0.0128,1.5094494785147563e-08,5.568307928365378e-09,antagonistic,True,False,0.0,antagonistic
LIN37,80,14,738,354,-0.032543627268974334,-0.15764382157075035,-0.18468767108966713,-0.24019025836786292,0.7363,0.3241,1.8416039520993126e-09,4.5827557542014887e-07,0.3316,0.0696,1.6347670743559005e-08,2.320810418786965e-12,antagonistic,True,False,0.0,antagonistic
CDK2,80,14,738,354,-1.049843938215764,-0.9794752539195822,-0.7805516396970292,-0.7117361792491902,-0.7666,-0.2282,2.6091926282577135e-11,0.0008246657114410514,0.0999,-0.0016,3.125892583650886e-08,2.71662535644476e-11,synergistic,True,False,0.0,synergistic
CCNE1,80,14,738,354,-0.33965193649354664,-0.2781748430984635,-0.19704405533097605,-0.14549161147615997,-0.5428,-0.2173,8.591899725519221e-10,0.0023287195471920867,0.119,-0.0099,5.175458874218934e-08,1.8401159512179583e-09,synergistic,True,False,0.0,synergistic
CCNF,80,14,738,354,0.045518190729418866,-0.06888989514488973,-0.09840533922792664,-0.12325131143293214,0.5243,0.1421,3.2582619071923006e-08,0.009223727666812336,0.3472,0.0896,5.305061390985094e-08,5.846087954681697e-08,antagonistic,True,False,0.0,antagonistic
TADA2A,80,14,738,354,-0.6507752091117963,-0.660481932533008,-0.5123501602193529,-0.5367508694720095,-0.6121,0.0713,9.069747510976892e-09,0.20373184715982184,-0.1001,-0.0147,7.186157102181937e-08,5.743286809692548e-08,synergistic,True,False,0.0,synergistic
ZZZ3,80,14,738,354,-0.4101210923715932,-0.38023666320923183,-0.288805657159702,-0.3184527813650905,-0.5782,0.1074,2.468218868370557e-07,0.0996255993378194,-0.3233,-0.0595,1.7189492267083143e-07,4.0400821248351695e-07,synergistic,True,False,1e-06,synergistic
QKI,80,14,738,354,0.07495138159802521,-0.01874666683755701,-0.028548894864048747,-0.05412754178182156,0.5134,0.1792,1.1206252626813377e-06,0.0036562305701229266,0.3797,0.0681,1.7388447875148558e-06,8.644106406997467e-07,antagonistic,True,False,5e-06,antagonistic
MAU2,80,14,738,354,-0.3169004760820441,-0.4349403007118791,-0.5185262924312916,-0.5476425075791155,0.5058,0.1155,1.4294762499046955e-06,0.02611574681229138,0.206,0.0889,9.78111725433139e-06,6.856384132837689e-06,antagonistic,True,False,2.6e-05,antagonistic
ATMIN,80,14,738,354,-0.21005169781881872,-0.18699377307566248,-0.3031718347429147,-0.31402910472044904,0.4418,0.0664,1.5604142830005864e-05,0.3739601997500329,-0.0566,-0.0339,0.0001155896008499934,0.0002866627234423498,synergistic,True,False,0.000288,synergistic
TRMT6,80,14,738,354,-0.2981429360467053,-0.4073293279752444,-0.41069553705622913,-0.42896391187437066,0.4225,0.117,8.814243215627669e-05,0.05660493179276918,0.3726,0.0909,0.00012102464011503662,0.000316184104923456,antagonistic,True,False,0.000288,antagonistic
