dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
UPF3B,30,788,12,356,-0.15693068219033773,-0.06464038300342595,-0.006720472211601999,-0.03902814443142881,-0.1809,-0.3446,0.0066482116575094004,0.026614847304487398,-0.5143,-0.1246,0.0018026122706209272,0.0006081548622054498,synergistic,False,True,0.068108,additive
PRH2,12,269,6,68,0.0057299703082860755,0.20419558713231273,0.12289038638365658,0.17166598665726465,0.1247,-0.6875,0.38139712330923836,0.005196776781307644,-0.7068,-0.1497,0.0027243011812542717,0.019261453670679843,synergistic,False,True,0.068108,additive
SREBF1,30,788,12,356,-0.4961228721573612,-0.4104445051664477,-0.48819792981795973,-0.3473880353780101,-0.1685,-0.2813,0.002425579573490044,0.023271146139957313,0.1513,0.0551,0.05512658706362948,0.002627105837693993,additive,False,True,0.746395,additive
FANCL,30,788,12,356,-0.1568070054314717,-0.22435063291844715,-0.2898750481848104,-0.30310173365549964,0.3956,0.2605,2.360283055552311e-09,0.09251497277536948,0.2311,0.0543,0.0616215453480431,1.8686576380729744e-08,additive,False,True,0.746395,additive
FANCF,30,788,12,356,-0.20604154694368554,-0.261444149777919,-0.3778477657977279,-0.33170190721452547,0.3195,0.1207,1.4435533034053462e-07,0.16603992070075302,0.4007,0.1015,0.08032936708988037,1.2041785381617629e-06,additive,False,True,0.746395,additive
HELQ,30,788,12,356,-0.07374330817556886,-0.03347361938286674,-0.08653087135503686,-0.060247857516808605,0.2346,-0.3179,0.0009078639748793586,0.07054115315081774,-0.1135,-0.014,0.10080609121867114,0.002358314984322574,additive,False,True,0.746395,additive
DENND4C,30,788,12,356,-0.10012676771374308,-0.013078787855614565,-0.055675973074881306,0.0011691135822625852,-0.0983,-0.4982,0.935368792903946,0.026210153509066372,-0.0922,-0.0302,0.13753168023599913,0.1451529684056954,additive,False,True,0.746395,additive
CRYBA1,30,788,12,356,-0.19655032999869174,-0.15780368626338934,-0.1381549762683481,-0.14428729690615552,-0.1026,-0.178,0.2382542038844998,0.3210049459766865,-0.3137,-0.0449,0.14232026267073944,0.2938294346420274,additive,False,True,0.746395,additive
RNF217,30,788,12,356,-0.006092914243569484,-0.03779195501746767,-0.0430069002448866,-0.002723433544087856,-0.242,0.0756,0.0016505230594396538,0.44406973521617255,0.593,0.072,0.16487498990215232,0.006356204117365798,additive,False,True,0.746395,additive
AP1G1,30,788,12,356,-0.2765685903263798,-0.1391566634495184,-0.15466664571758706,-0.11147677378679285,-0.1389,-0.4942,0.04585825715751259,0.2437021897931565,-0.2184,-0.0942,0.1706105279445429,0.12180133698149191,additive,False,True,0.746395,additive
STK40,30,788,12,356,-0.2881850820105423,-0.21452624765387038,-0.10584274636293871,-0.21822699368365395,-0.0111,-0.0852,0.7359000191455427,0.8334230768259668,-0.7356,-0.186,0.20209294687348944,0.23485169891036578,additive,False,True,0.746395,additive
TRIP10,30,788,12,356,-0.044452136596218036,-0.06799555587146958,-0.031512759796355976,-0.07786513370227448,0.0776,0.2552,0.3336532763263499,0.04848497928590874,-0.2333,-0.0228,0.21129451411471645,0.15289511080354257,additive,False,True,0.746395,additive
PPIH,30,788,12,356,-0.4014951160291203,-0.4797189095338669,-0.43998791791829567,-0.4567687199113511,-0.0715,0.2082,0.16939025235556204,0.3490499825736413,0.217,0.0614,0.21643942952365902,0.3244389411932184,additive,False,True,0.746395,additive
SMAD7,30,788,12,356,-0.15100238967120821,-0.10673736946390913,-0.17775831857682367,-0.05913427542565153,-0.1951,-0.2862,0.0003213389722152941,0.06863651987299632,0.3132,0.0744,0.22551035470221847,0.000923752121598661,additive,False,True,0.746395,additive
ST3GAL6,30,788,12,356,-0.12109977617211211,-0.07943332650157967,-0.1421581218704576,-0.08662756396091582,0.0533,-0.3246,0.28953424828153695,0.18778713987513995,0.0658,0.0139,0.2302969186975624,0.40016776995911885,additive,False,True,0.746395,additive
ZNF37A,30,788,12,356,-0.10564771609585338,-0.0655296338638762,-0.15455668231629954,-0.051966210662135026,-0.0565,-0.2824,0.8722434059818163,0.05137630732536298,0.3867,0.0625,0.23884635393459663,0.2104100483264897,additive,False,True,0.746395,additive
TMEM131L,30,788,12,356,0.09524398136744076,0.07269654357881167,0.10821185919772923,0.1034897950917386,-0.2642,0.1452,2.07349017519431e-06,0.23382921351046893,0.1511,0.0178,0.2711984334301507,2.3620845365617424e-05,additive,False,True,0.769753,additive
CDIN1,30,788,12,356,-0.29756543539402724,-0.23792384184446436,-0.470067962807764,-0.29895804746507987,0.2094,-0.2913,0.0011051972339730237,0.05563028232597966,0.3188,0.1115,0.27870108834816043,0.001597746374538153,additive,False,True,0.769753,additive
HMOX1,30,788,12,356,0.02662555769276911,0.007724810643908568,0.04622214067420477,0.03016517663917456,-0.2278,0.1783,0.0003186337105517352,0.23654282424658746,-0.0311,0.0028,0.30679847771340096,0.0023529111371264925,additive,False,True,0.769753,additive
AGTPBP1,30,788,12,356,0.09395854760248926,0.11392202347689843,0.14542906760377913,0.1315483535751188,-0.1637,-0.0932,0.0014551654420746044,0.5034876936230377,-0.4603,-0.0338,0.3079012138116539,0.00949593827959031,additive,False,True,0.769753,additive
MDGA2,30,788,12,356,-0.024766049648789163,-0.03433285816985707,0.03294595400227599,-0.0005824743965568445,-0.2676,0.1198,5.795119103517093e-06,0.3362193969048518,-0.0703,-0.024,0.35617639503322285,7.924827085968892e-05,additive,False,True,0.818803,additive
WAPL,30,788,12,356,-0.3026845820777473,-0.26498691019459636,-0.31379463204828,-0.2977340931667114,0.1655,-0.1589,0.003156989495244467,0.5123060094413635,-0.1147,-0.0216,0.37508215597030925,0.023229780188528806,additive,False,True,0.818803,additive
FANCM,30,788,12,356,-0.45625804144410154,-0.40680471912526867,-0.4405894693932644,-0.44861889937972566,0.133,-0.1068,0.001963500263733585,0.45645460752866596,-0.1921,-0.0575,0.4317766195630611,0.016174021502640572,additive,False,True,0.818803,additive
MSH4,30,788,12,356,-0.029259813590522533,-0.030248149886582497,-0.06256552005851175,-0.023521789678932817,-0.0462,-0.0906,0.35182974823451607,0.19291072802935494,0.2796,0.04,0.4377069302966472,0.41664336680549485,additive,False,True,0.818803,additive
ARSB,30,788,12,356,-0.20817697478951472,-0.19272493185098435,-0.1448380519383081,-0.19077075703399554,-0.0295,0.015,0.7426787677525098,0.965790545116429,-0.3891,-0.0614,0.44045972562676683,0.6167751921507587,additive,False,True,0.818803,additive
ZNF79,30,788,12,356,-0.06375294007647515,-0.0525285325545581,-0.10266088079528381,-0.059074184582515496,0.0758,-0.2037,0.17184935297215964,0.14662611343069934,0.3112,0.0324,0.45110361331787563,0.187597828448377,additive,False,True,0.818803,additive
FANCC,30,788,12,356,-0.16020055324299065,-0.17707095926032765,-0.3297956536361654,-0.2453672504874478,0.39,-0.0553,4.0363381138345345e-09,0.7052841332275646,0.6554,0.1013,0.45718354444582876,2.39183873995659e-08,additive,False,True,0.818803,additive
LIG1,30,788,12,356,-0.3865210435565936,-0.3397225242916723,-0.5287030661784383,-0.39203331161052585,0.2256,-0.2904,3.3443240303792256e-07,0.10895166291588852,0.3295,0.0899,0.45953417771387417,1.398926345215164e-06,additive,False,True,0.818803,additive
