dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
PIK3CB,107,711,39,329,-0.272423379080255,-0.11417747360667763,-0.23642004909656317,-0.1245691828431347,0.007,-0.6701,0.7309327500413696,1.378480840629644e-08,-0.164,-0.0464,4.764802073884469e-08,1.7800411057621458e-07,synergistic,False,True,2e-06,synergistic
AKT1,107,711,39,329,-0.17505478668875743,-0.08371230455416676,-0.08585185669524154,-0.059273265246512226,-0.1739,-0.3918,0.012707584608944101,0.00043799919647626137,-0.1868,-0.0648,0.0005822783801961503,0.00029139819465714577,synergistic,False,True,0.014557,synergistic
CYP2C9,107,711,39,329,0.1306380510450205,0.09886166489770373,0.09340528887927607,0.11480046773714654,-0.0975,0.1721,0.023211562633643146,0.11981730443459272,0.5077,0.0532,0.006536029179094311,0.002690395748480876,antagonistic,False,True,0.102146,additive
NAV2,107,711,39,329,0.009985686514643025,-0.027452859406347653,-0.04857872502606138,-0.06694252033859685,0.3273,0.2624,6.505709777161662e-07,0.010196676299787832,0.1933,0.0191,0.008212496671505561,8.006515380598577e-07,antagonistic,False,True,0.102146,additive
YIPF1,107,711,39,329,0.047177391980110214,0.025912689015108466,0.04014155593002204,0.04224456933600376,-0.1429,0.1524,0.0309591932607336,0.03893299202223775,0.2464,0.0234,0.01021457934914661,0.008142787591056458,antagonistic,False,True,0.102146,additive
TWIST1,107,711,39,329,0.08449582491295997,0.11732497639892088,0.13621596368618788,0.11180752722099517,-0.0082,-0.1035,0.6846007948374102,0.16068053249329206,-0.3234,-0.0572,0.0164405045464319,0.09917456554325071,synergistic,False,True,0.1177,additive
IL18R1,107,711,39,329,-0.008775885777354,0.029089748513128656,0.004777418139489493,0.059000720508871736,-0.203,-0.305,0.0004912372179469056,0.0014308123299590252,0.1143,0.0164,0.01647802924002978,7.426971951337607e-05,antagonistic,False,True,0.1177,additive
HIGD2A,107,711,39,329,-0.27827445312277543,-0.2454571075288699,-0.2567158366324496,-0.2638771508554526,0.0827,-0.1314,0.31973463850141626,0.1782962018141866,-0.2365,-0.04,0.026426061161314265,0.09457095461428604,synergistic,False,True,0.165163,additive
FOXL1,107,711,39,329,-0.05604177884305003,-0.03229203307544041,0.01711421303710475,-0.025421732386927152,-0.1075,-0.0473,0.10376269534931841,0.49484607551377735,-0.5163,-0.0663,0.03605366489555721,0.023716012262682953,synergistic,False,True,0.200298,additive
WRN,107,711,39,329,-0.32391043780799456,-0.149149544825277,-0.41777867786166994,-0.21329754329142375,0.1876,-0.5415,0.0011894874337735257,0.006882237387321026,-0.0809,0.0297,0.06737843145570044,0.0003059773846240654,additive,False,True,0.322524,additive
RFXAP,107,711,39,329,-0.10886262580583515,-0.0912065950657973,-0.1250349303143515,-0.08847156726795904,-0.008,-0.1562,0.997148729302346,0.016800456677684834,0.1283,0.0189,0.07095535109202543,0.12237813539166686,additive,False,True,0.322524,additive
NDUFAF3,107,711,39,329,-0.4396646594558745,-0.39965928452987376,-0.44707282859093966,-0.4240901532232493,0.0804,-0.1273,0.14375583849937795,0.12043255329816897,-0.0662,-0.017,0.07850551507307578,0.1375788595407048,additive,False,True,0.327003,additive
HDAC1,107,711,39,329,-0.1803727687133109,-0.1210274811483853,-0.19408151479469019,-0.12894485680071743,0.0279,-0.2396,0.44415431745962275,0.14159573597955533,0.002,0.0058,0.08502075360841857,0.2957701414373823,additive,False,True,0.327003,additive
DUSP13B,107,711,39,329,-0.14560143417973614,-0.1271814338006289,-0.12469516546227254,-0.13418234797482428,0.0303,-0.0897,0.16933337961678108,0.31519244308062766,-0.2165,-0.0279,0.09765923391560073,0.18317262089890482,additive,False,True,0.348783,additive
MTIF3,107,711,39,329,-0.1305286890020497,-0.10244219406308103,-0.15371053277435592,-0.13188449307927635,0.1948,-0.1728,0.000938714249561638,0.12704291485235794,-0.0617,-0.0063,0.11072539693285303,0.0027910653730711613,additive,False,True,0.369085,additive
COQ7,107,711,39,329,-0.33402410924466874,-0.29845692082912245,-0.3371130330813609,-0.2962750509084619,-0.0112,-0.1661,0.25806294966980614,0.032377122815310605,0.0242,0.0053,0.12137702436736032,0.11915705777462868,additive,False,True,0.379303,additive
FNDC8,107,711,39,329,-0.09945621492545115,-0.08124453578698845,-0.12687408663915498,-0.07129926050766064,-0.0508,-0.227,0.6348475371126125,0.013307882813061151,0.2907,0.0374,0.14062768716991256,0.0670609745296572,additive,False,True,0.413611,additive
DNAJC3,107,711,39,329,-0.0006683926172551719,-0.016353597791625093,0.022361549949912664,-0.008871343499705536,-0.0516,0.1149,0.27866017388553743,0.04531950579652869,-0.0884,-0.0155,0.16670571640755283,0.1368218137120237,additive,False,True,0.463071,additive
OR10J5,94,630,36,307,-0.014612379955367318,-0.021352830060356782,-0.0027221527233341055,-0.009540911580495418,-0.1272,0.0672,0.011403540383956957,0.29367763501909405,0.0042,-0.0001,0.21856556219210443,0.04379997612242387,additive,False,True,0.575173,additive
PKD1L2,34,220,11,51,0.32049398515362326,0.3526296071871705,0.29155677285934983,0.3511199684560125,0.0511,-0.2567,0.2666229391686513,0.06637945983614459,0.2076,0.0274,0.23977229764432295,0.19622634902996502,additive,False,True,0.599431,additive
SLC25A19,107,711,39,329,-0.27110026030673073,-0.24176691062335967,-0.26585001808888,-0.24342033506931432,0.0008,-0.1175,0.3145042774792489,0.1531222382308978,-0.0284,-0.0069,0.2633070803727513,0.39497603757278754,additive,False,True,0.600432,additive
ZNF783,107,711,39,329,0.013042997249610933,0.013679346207790209,0.03512734535899687,0.013708003129551612,-0.0263,0.0579,0.4254023056022034,0.8529189214485624,-0.2213,-0.0221,0.27341566944333207,0.3691911101199163,additive,False,True,0.600432,additive
KLHDC7B,38,243,13,61,0.1073574719369354,0.1429371868621783,0.09086878338512963,0.07734178514566861,0.3418,-0.1545,0.004495177951535648,0.4118984789258834,-0.3029,-0.0491,0.2761985962385928,0.02071827690008299,additive,False,True,0.600432,additive
PRKCZ,107,711,39,329,-0.17288927539366827,-0.15847548327810454,-0.19185899767990117,-0.15859053908548904,0.0116,-0.1286,0.7054520210139332,0.12404989383251763,0.1334,0.0189,0.2971199801476029,0.44265793770061557,additive,False,True,0.608669,additive
INPP4A,107,711,39,329,-0.1187974592960365,-0.09948523485680345,-0.1528497148361372,-0.0935632069268211,-0.0131,-0.1837,0.8582630671830789,0.048756708679445794,0.1719,0.04,0.3043342961586418,0.17988647894082357,additive,False,True,0.608669,additive
IFNL2,91,620,36,299,0.18516594045601176,0.16110372948949955,0.1894577309314382,0.16140867815481819,-0.0012,0.129,0.8655237486661415,0.15041823580785044,-0.0198,-0.004,0.3291175022042043,0.5343352313318055,additive,False,True,0.632918,additive
