dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
FKBPL,80,738,14,354,0.014870819115632908,-0.06927736762146933,-0.10865167818573328,-0.12912989894547713,0.3416,0.4298,2.296768894393972e-08,4.426989746724749e-05,0.3376,0.0637,0.00015810567567353144,1.0694004377425339e-09,antagonistic,False,True,0.007905,antagonistic
AAGAB,80,738,14,354,0.06352642236746495,0.010873018410932791,0.036606649782238695,0.03323556344785627,-0.1296,0.3099,0.05347204709414552,0.00387324248294,0.3849,0.0493,0.0009373054544618203,0.001990405510506266,antagonistic,False,True,0.023433,antagonistic
ZNF217,80,738,14,354,-0.35978738209705313,-0.45141884796891596,-0.3557759109813666,-0.4318965915130082,-0.0348,0.2223,0.3270074494662393,0.024212081982196727,0.0373,0.0155,0.021633848666076143,0.08425511602714876,antagonistic,False,True,0.360564,additive
ECM2,80,738,14,354,0.02458246564815453,0.06535768790524527,0.11970562591123005,0.05640766168205767,0.0197,-0.183,0.6964875707678703,0.2143636202182274,-0.7746,-0.1041,0.03342561671164761,0.0775827780284551,synergistic,False,True,0.400894,additive
C12orf57,80,738,14,354,-0.033305370540180915,-0.003301061840446443,0.07057587204047495,-0.0301084810976396,0.1271,-0.037,0.04082931114712753,0.6267724753068173,-0.7823,-0.1307,0.04585039997177882,0.0019140202320158265,synergistic,False,True,0.400894,additive
PFN4,80,738,14,354,0.031948209226408494,0.05275956312174547,0.030315635357131932,0.040413375704907724,0.1086,-0.1731,0.1195873108840645,0.08246476720265193,-0.1062,-0.0107,0.059139497148263664,0.10209362953392204,additive,False,True,0.400894,additive
C1QA,80,738,14,354,-0.06406914474605738,-0.03950469320579716,-0.05398992659934208,-0.032093702022595795,-0.0713,-0.2022,0.22432906229334026,0.04548136393228479,-0.0212,-0.0027,0.062231172659799175,0.1628631514217402,additive,False,True,0.400894,additive
ACO2,80,738,14,354,-0.669506627129492,-0.7903259208462535,-0.8984269496676839,-0.7310433358120823,-0.0818,0.1344,0.46415205931329817,0.289167351264885,0.606,0.2882,0.07054885516806178,0.1457854660760442,additive,False,True,0.400894,additive
LCE3C,80,738,14,354,-0.11507578309328899,-0.15914488573459862,-0.09445429903324419,-0.13385299382888985,-0.1255,0.2174,0.06814211087999432,0.05587751121017608,0.0317,0.0047,0.07850346270375227,0.049705789015338626,additive,False,True,0.400894,additive
PRMT9,80,738,14,354,0.022306786666380675,-0.0029061797077326802,0.06721523764949096,-0.02123321762061949,0.141,0.3066,0.011843142961556074,0.00859317905436032,-0.5268,-0.0632,0.08017885865036666,0.004515840586297827,additive,False,True,0.400894,additive
