atlas,cancer_type,tp53_freq,n_patients,mean_sl_effect,median_sl_effect,n_sl_genes
PTEN-loss,Bowel,0.5371,633,-0.4912,-0.4653,50
PTEN-loss,Breast,0.2951,1098,-0.4826,-0.4432,50
PTEN-loss,CNS/Brain,0.3027,1133,-0.1705,-0.1934,50
PTEN-loss,Esophagus/Stomach,0.5414,628,-0.4759,-0.3142,50
PTEN-loss,Lung,0.5996,1089,-0.3895,-0.4141,44
PTEN-loss,Lymphoid,0.0862,58,-0.2637,-0.2756,50
PTEN-loss,Ovary/Fallopian Tube,0.5855,608,-0.8096,-0.8251,50
PTEN-loss,Skin,0.1362,470,-0.3009,-0.2509,44
PTEN-loss,Uterus,0.3776,617,-0.7053,-0.6488,50
RB1-loss,Biliary Tract,0.098,51,-0.5152,-0.3918,4
RB1-loss,Bladder/Urinary Tract,0.4782,412,-0.7027,-0.8236,4
RB1-loss,Bowel,0.5371,633,-0.3849,-0.4782,4
RB1-loss,Breast,0.2951,1098,-0.5402,-0.615,4
RB1-loss,CNS/Brain,0.3027,1133,-1.0887,-1.282,4
RB1-loss,Cervix,0.0651,307,-0.0895,-0.1288,4
RB1-loss,Esophagus/Stomach,0.5414,628,-0.5212,-0.4093,4
RB1-loss,Eye,0.0,80,-0.7129,-0.2495,4
RB1-loss,Head and Neck,0.6553,528,-0.1523,-0.1612,4
RB1-loss,Kidney,0.0372,941,0.2915,0.4521,4
RB1-loss,Liver,0.2706,377,-0.1681,-0.0226,4
RB1-loss,Lung,0.5996,1089,-0.6846,-0.699,4
RB1-loss,Lymphoid,0.0862,58,-0.4216,-0.4409,4
RB1-loss,Ovary/Fallopian Tube,0.5855,608,-0.7696,-0.7834,4
RB1-loss,Pancreas,0.5297,185,-0.0597,-0.0527,4
RB1-loss,Skin,0.1362,470,-1.5129,-1.6689,4
RB1-loss,Soft Tissue,0.3487,261,-0.1378,-0.1222,4
RB1-loss,Uterus,0.3776,617,-0.5133,-0.4688,4
KEAP1-loss,Bladder/Urinary Tract,0.4782,412,-1.0953,-0.9093,45
KEAP1-loss,Esophagus/Stomach,0.5414,628,-0.6699,-0.7103,50
KEAP1-loss,Head and Neck,0.6553,528,-0.7927,-0.7276,50
KEAP1-loss,Lung,0.5996,1089,-0.3641,-0.3425,50
KEAP1-loss,Uterus,0.3776,617,-0.8905,-0.9548,45
NF1-loss,Bowel,0.5371,633,-0.5423,-0.5469,50
NF1-loss,Breast,0.2951,1098,-0.6031,-0.6609,39
NF1-loss,CNS/Brain,0.3027,1133,-0.315,-0.2765,50
NF1-loss,Esophagus/Stomach,0.5414,628,-0.5167,-0.5278,50
NF1-loss,Lung,0.5996,1089,-0.3167,-0.3226,39
NF1-loss,Peripheral Nervous System,0.0056,179,-0.5469,-0.4784,50
NF1-loss,Uterus,0.3776,617,-0.9358,-0.9619,39
