depmap_lineage,tp53_freq,n_patients,n_tp53_altered
Adrenal Gland,0.14130434782608695,92.0,13.0
Biliary Tract,0.09803921568627451,51.0,5.0
Bladder/Urinary Tract,0.47815533980582525,412.0,197.0
Bowel,0.5371248025276462,633.0,340.0
Breast,0.29508196721311475,1098.0,324.0
CNS/Brain,0.3027360988526037,1133.0,343.0
Cervix,0.06514657980456026,307.0,20.0
Esophagus/Stomach,0.5414012738853503,628.0,340.0
Eye,0.0,80.0,0.0
Head and Neck,0.6553030303030303,528.0,346.0
Kidney,0.03719447396386823,941.0,35.0
Liver,0.27055702917771884,377.0,102.0
Lung,0.5996326905417815,1089.0,653.0
Lymphoid,0.08620689655172414,58.0,5.0
Myeloid,0.045,200.0,9.0
Ovary/Fallopian Tube,0.5855263157894737,608.0,356.0
Pancreas,0.5297297297297298,185.0,98.0
Peripheral Nervous System,0.00558659217877095,179.0,1.0
Pleura,0.12643678160919541,87.0,11.0
Prostate,0.112,500.0,56.0
Skin,0.13617021276595745,470.0,64.0
Soft Tissue,0.3486590038314176,261.0,91.0
Testis,0.0038022813688212928,263.0,1.0
Thymus,0.03225806451612903,124.0,4.0
Thyroid,0.005917159763313609,507.0,3.0
Uterus,0.37763371150729336,617.0,233.0
