pair,gene_a,gene_b,interaction_type,n_synergistic,n_antagonistic,n_co_altered_tcga,co_alt_pct,odds_ratio,tendency,n_novel_emergent,n_genomewide_hits,both_druggable,drug_targets,combination_agents,top_cancer_types,est_patients_per_100k,contraindications,clinical_rationale,priority_score
ARID1A+PTEN,ARID1A,PTEN,synergistic,10,5,189,1.65,7.04,co-occurrence,402,420,True,ARID1A: EZH2 inhibitor; PTEN: AKT inhibitor / PI3Kbeta inhibitor,tazemetostat; capivasertib; AZD8186,UCEC (26.2%); UCS (5.3%); STAD (3.8%),1654,none,"Synergistic interaction: double-mutant lines show enhanced dependency beyond individual effects, supporting combination of EZH2 inhibitor + AKT inhibitor / PI3Kbeta inhibitor",10
MTAP+TP53,MTAP,TP53,mixed,2,2,326,2.85,1.21,co-occurrence,13,16,True,MTAP: PRMT5 inhibitor; TP53: MDM2 inhibitor / WEE1 inhibitor,JNJ-64619178; GSK3326595; KT-253; adavosertib,ESCA (16.2%); LUSC (14.5%); PAAD (10.8%),2853,none,Additive/non-significant interaction: dependencies appear independent. PRMT5 inhibitor and MDM2 inhibitor / WEE1 inhibitor may be combined without synergy/antagonism concerns,9
PTEN+TP53,PTEN,TP53,synergistic,2,0,220,1.93,0.81,mutual_exclusivity,14,17,True,PTEN: AKT inhibitor / PI3Kbeta inhibitor; TP53: MDM2 inhibitor / WEE1 inhibitor,capivasertib; AZD8186; KT-253; adavosertib,UCS (10.5%); UCEC (9.1%); LUSC (7.1%),1925,MUTUAL_EXCLUSIVITY: co-alteration rarer than expected,"Synergistic interaction: double-mutant lines show enhanced dependency beyond individual effects, supporting combination of AKT inhibitor / PI3Kbeta inhibitor + MDM2 inhibitor / WEE1 inhibitor",9
TP53+PTEN,TP53,PTEN,synergistic,2,0,220,1.93,0.81,mutual_exclusivity,14,17,True,TP53: MDM2 inhibitor / WEE1 inhibitor; PTEN: AKT inhibitor / PI3Kbeta inhibitor,KT-253; adavosertib; capivasertib; AZD8186,UCS (10.5%); UCEC (9.1%); LUSC (7.1%),1925,MUTUAL_EXCLUSIVITY: co-alteration rarer than expected,"Synergistic interaction: double-mutant lines show enhanced dependency beyond individual effects, supporting combination of MDM2 inhibitor / WEE1 inhibitor + AKT inhibitor / PI3Kbeta inhibitor",9
TP53+NF1,TP53,NF1,synergistic,1,0,154,1.35,1.56,co-occurrence,2,2,True,TP53: MDM2 inhibitor / WEE1 inhibitor; NF1: MEK inhibitor,KT-253; adavosertib; trametinib; selumetinib,OV (4.4%); LUSC (4.4%); LUAD (3.8%),1348,TP53_MODULATION: TP53 co-mutation may weaken NF1 SL effects,"Synergistic interaction: double-mutant lines show enhanced dependency beyond individual effects, supporting combination of MDM2 inhibitor / WEE1 inhibitor + MEK inhibitor",8
ARID1A+PIK3CA,ARID1A,PIK3CA,additive,0,0,149,1.3,3.98,co-occurrence,24,25,True,ARID1A: EZH2 inhibitor; PIK3CA: PI3Kalpha inhibitor,tazemetostat; inavolisib; alpelisib,UCEC (12.5%); STAD (6.5%); CHOL (3.9%),1304,none,Additive/non-significant interaction: dependencies appear independent. EZH2 inhibitor and PI3Kalpha inhibitor may be combined without synergy/antagonism concerns,7
PIK3CA+TP53,PIK3CA,TP53,additive,0,0,309,2.7,1.1,co-occurrence,9,9,True,PIK3CA: PI3Kalpha inhibitor; TP53: MDM2 inhibitor / WEE1 inhibitor,inavolisib; alpelisib; KT-253; adavosertib,UCS (17.5%); BLCA (9.0%); COAD (8.0%),2704,none,Additive/non-significant interaction: dependencies appear independent. PI3Kalpha inhibitor and MDM2 inhibitor / WEE1 inhibitor may be combined without synergy/antagonism concerns,7
TP53+CDKN2A,TP53,CDKN2A,additive,0,0,581,5.08,1.67,co-occurrence,5,5,True,TP53: MDM2 inhibitor / WEE1 inhibitor; CDKN2A: CDK4/6 inhibitor,KT-253; adavosertib; palbociclib; ribociclib; abemaciclib,ESCA (30.3%); HNSC (27.8%); LUSC (24.0%),5084,none,Additive/non-significant interaction: dependencies appear independent. MDM2 inhibitor / WEE1 inhibitor and CDK4/6 inhibitor may be combined without synergy/antagonism concerns,7
RB1+TP53,RB1,TP53,antagonistic,0,2,245,2.14,3.63,co-occurrence,44,47,True,RB1: CDK2 inhibitor / CHK1 inhibitor; TP53: MDM2 inhibitor / WEE1 inhibitor,PF-07104091; prexasertib; KT-253; adavosertib,BLCA (14.6%); SARC (11.5%); UCS (8.8%),2144,ANTAGONISTIC: combination may be less effective than monotherapy,Antagonistic interaction: caution warranted — double-mutant dependency is WEAKER than expected from individual effects. CDK2 inhibitor / CHK1 inhibitor + MDM2 inhibitor / WEE1 inhibitor may show reduced efficacy in co-altered tumors,6
TP53+RB1,TP53,RB1,antagonistic,0,2,245,2.14,3.63,co-occurrence,44,47,True,TP53: MDM2 inhibitor / WEE1 inhibitor; RB1: CDK2 inhibitor / CHK1 inhibitor,KT-253; adavosertib; PF-07104091; prexasertib,BLCA (14.6%); SARC (11.5%); UCS (8.8%),2144,ANTAGONISTIC: combination may be less effective than monotherapy,Antagonistic interaction: caution warranted — double-mutant dependency is WEAKER than expected from individual effects. MDM2 inhibitor / WEE1 inhibitor + CDK2 inhibitor / CHK1 inhibitor may show reduced efficacy in co-altered tumors,6
