cancer_type,n_total,n_deleted,n_intact,deletion_freq,n_deleted_crispr,n_intact_crispr,n_deleted_rb1_intact_crispr,rb1_co_loss,tp53_co_mutation,cdkn2b_co_deletion,mtap_co_deletion,ccne1_amplification,qualifies,power_note
CNS/Brain,71,45,26,0.6338,43,21,41,2,32,42,39,1,True,
Pancreas,33,20,13,0.6061,20,11,20,0,15,19,16,0,True,
Skin,77,45,32,0.5844,30,20,29,1,5,30,31,0,True,
Bladder/Urinary Tract,20,9,11,0.45,9,11,9,0,7,8,8,0,True,
Myeloid,56,23,33,0.4107,17,20,17,0,14,22,18,0,True,
Esophagus/Stomach,51,16,35,0.3137,15,31,15,0,15,14,11,2,True,
Ovary/Fallopian Tube,45,13,32,0.2889,12,26,12,0,7,10,7,0,True,
Bone,52,15,37,0.2885,13,27,13,0,6,13,13,0,True,
Lung,151,41,110,0.2715,35,65,34,3,34,37,30,3,True,
Head and Neck,48,13,35,0.2708,12,31,12,0,12,9,9,0,True,
Lymphoid,109,29,80,0.2661,14,55,12,4,7,22,24,0,True,
Soft Tissue,56,12,44,0.2143,10,29,10,0,6,10,11,1,True,
Breast,54,10,44,0.1852,8,30,8,0,8,8,8,1,True,
