cancer_type,gene,rb1_stratum,n_del,n_intact,cohens_d,ci_lower,ci_upper,pvalue,permutation_p,loo_robust,loo_min_abs_d,median_dep_del,median_dep_intact,fdr,classification
CNS/Brain,CDK6,all,43,21,-0.7554,-1.645,-0.1668,0.008880435541364093,0.0065,True,0.7269,-0.7533,-0.1983,0.04242988567120193,ROBUST
Pancreas,CDK6,all,20,11,0.2182,-0.5328,1.0037,0.725639213663243,0.5664,True,0.1347,-0.7062,-0.7525,0.9546743889255529,NOT_SIGNIFICANT
Skin,CDK6,all,30,20,-1.2046,-1.8063,-0.7772,0.00016164450110624966,0.0003,True,1.1691,-0.689,-0.2726,0.0021013785143812456,ROBUST
Bladder/Urinary Tract,CDK6,all,9,11,-1.4599,-3.5172,-0.6548,0.009791512077969675,0.0062,True,1.347,-0.9286,-0.1682,0.04242988567120193,ROBUST
Myeloid,CDK6,all,17,20,-0.16,-0.8424,0.5196,0.5938039732247468,0.6314,True,0.0582,-1.2631,-1.0442,0.8577168502135231,NOT_SIGNIFICANT
Esophagus/Stomach,CDK6,all,15,31,-0.4382,-1.127,0.1458,0.18166630920406834,0.1701,True,0.3283,-0.5569,-0.4684,0.3598985292091559,NOT_SIGNIFICANT
Ovary/Fallopian Tube,CDK6,all,12,26,-1.9875,-3.2313,-1.245,4.164028486683725e-05,0.0001,True,1.8913,-0.6155,-0.0502,0.0010826474065377687,ROBUST
Bone,CDK6,all,13,27,-0.4,-1.1303,0.4618,0.9769630571522709,0.243,True,0.1625,-0.0068,-0.0359,0.976963057152271,NOT_SIGNIFICANT
Lung,CDK6,all,35,65,-0.4934,-1.0166,-0.1014,0.0006137828822014777,0.0198,True,0.435,-0.5849,-0.2241,0.00531945164574614,ROBUST
Head and Neck,CDK6,all,12,31,0.0876,-0.5925,0.82,0.7555117886058585,0.7977,True,0.0057,-0.5801,-0.8439,0.9546743889255529,NOT_SIGNIFICANT
Lymphoid,CDK6,all,14,55,0.0835,-0.6013,0.6788,0.9583507701076982,0.7808,True,0.0091,-1.1154,-0.9742,0.976963057152271,NOT_SIGNIFICANT
Soft Tissue,CDK6,all,10,29,-0.6344,-1.5091,-0.0226,0.04792333404428471,0.0966,True,0.5097,-0.7549,-0.2926,0.12460066851514025,NOT_SIGNIFICANT
Breast,CDK6,all,8,30,-1.3989,-2.9032,-0.5337,0.004486264498248918,0.0018,True,1.1861,-0.5101,-0.1073,0.029160719238617967,ROBUST
Pan-cancer (pooled),CDK6,all,282,548,-0.4422,-0.5813,-0.2997,1.2064408148028478e-14,0.0001,True,0.4325,-0.6682,-0.3462,2.4128816296056957e-14,ROBUST
CNS/Brain,CDK6,rb1_intact,41,21,-0.7454,-1.583,-0.1438,0.009652872014116708,0.0092,True,0.7152,-0.7533,-0.1983,0.04242988567120193,ROBUST
Pancreas,CDK6,rb1_intact,20,11,0.2182,-0.5328,1.0037,0.725639213663243,0.5664,True,0.1347,-0.7062,-0.7525,0.8928775683523782,NOT_SIGNIFICANT
Skin,CDK6,rb1_intact,29,20,-1.3051,-1.8616,-0.8736,5.393915068518751e-05,0.0001,True,1.269,-0.7284,-0.2726,0.0007012089589074377,ROBUST
Bladder/Urinary Tract,CDK6,rb1_intact,9,11,-1.4599,-3.5172,-0.6548,0.009791512077969675,0.0062,True,1.347,-0.9286,-0.1682,0.04242988567120193,ROBUST
Myeloid,CDK6,rb1_intact,17,20,-0.16,-0.8424,0.5196,0.5938039732247468,0.6314,True,0.0582,-1.2631,-1.0442,0.8125738580970219,NOT_SIGNIFICANT
Esophagus/Stomach,CDK6,rb1_intact,15,31,-0.4382,-1.127,0.1458,0.18166630920406834,0.1701,True,0.3283,-0.5569,-0.4684,0.3598985292091559,NOT_SIGNIFICANT
Ovary/Fallopian Tube,CDK6,rb1_intact,12,26,-1.9875,-3.2313,-1.245,4.164028486683725e-05,0.0001,True,1.8913,-0.6155,-0.0502,0.0007012089589074377,ROBUST
Bone,CDK6,rb1_intact,13,27,-0.4,-1.1303,0.4618,0.9769630571522709,0.243,True,0.1625,-0.0068,-0.0359,0.976963057152271,NOT_SIGNIFICANT
Lung,CDK6,rb1_intact,34,65,-0.5303,-1.0344,-0.1274,0.0003097473530936468,0.0144,True,0.4714,-0.5873,-0.2241,0.0026844770601449387,ROBUST
Head and Neck,CDK6,rb1_intact,12,31,0.0876,-0.5925,0.82,0.7555117886058585,0.7977,True,0.0057,-0.5801,-0.8439,0.8928775683523782,NOT_SIGNIFICANT
Lymphoid,CDK6,rb1_intact,12,55,-0.0517,-0.8076,0.6442,0.664781340378257,0.8754,False,0.0131,-1.2506,-0.9742,0.8642157424917342,NOT_SIGNIFICANT
Soft Tissue,CDK6,rb1_intact,10,29,-0.6344,-1.5091,-0.0226,0.04792333404428471,0.0966,True,0.5097,-0.7549,-0.2926,0.12460066851514025,NOT_SIGNIFICANT
Breast,CDK6,rb1_intact,8,30,-1.3989,-2.9032,-0.5337,0.004486264498248918,0.0018,True,1.1861,-0.5101,-0.1073,0.029160719238617967,ROBUST
Pan-cancer (pooled),CDK6,rb1_intact,276,548,-0.4534,-0.5998,-0.3201,5.91821765867895e-15,0.0001,True,0.4437,-0.6839,-0.3462,1.18364353173579e-14,ROBUST
Pan-cancer (pooled),CDK6,rb1_lost,6,548,0.0905,-0.5178,0.5662,0.8640062228276747,0.8213,True,0.046,-0.4634,-0.3462,0.8640062228276747,NOT_SIGNIFICANT
