cancer_type,gene,rb1_stratum,n_del,n_intact,cohens_d,ci_lower,ci_upper,pvalue,permutation_p,loo_robust,loo_min_abs_d,median_dep_del,median_dep_intact,fdr,classification
CNS/Brain,CDK2,all,43,21,0.2189,-0.358,0.7926,0.5481487878111733,0.4146,True,0.1797,-0.817,-0.9263,0.7125934241545252,NOT_SIGNIFICANT
CNS/Brain,CDK1,all,43,21,-0.181,-0.6857,0.3394,0.8079478627637633,0.5028,True,0.124,-2.5434,-2.5174,0.8402657772743138,NOT_SIGNIFICANT
Pancreas,CDK2,all,20,11,0.4108,-0.2103,1.0954,0.33193469178579615,0.2874,True,0.3077,-0.6623,-0.7647,0.6389564908556421,NOT_SIGNIFICANT
Pancreas,CDK1,all,20,11,-0.671,-1.5015,0.1582,0.2232463314669355,0.0818,True,0.6063,-2.9163,-2.4904,0.5757855609332979,NOT_SIGNIFICANT
Skin,CDK2,all,30,20,0.1771,-0.3282,0.6982,0.5327635688365302,0.5403,True,0.12,-0.6354,-0.7013,0.7125934241545252,NOT_SIGNIFICANT
Skin,CDK1,all,30,20,-0.2509,-0.8906,0.327,0.5198375077168678,0.3862,True,0.1981,-2.2346,-2.1747,0.7125934241545252,NOT_SIGNIFICANT
Bladder/Urinary Tract,CDK2,all,9,11,0.7476,-0.1056,2.267,0.09463839528709553,0.1117,True,0.6142,-0.5739,-0.8822,0.5230866023081913,NOT_SIGNIFICANT
Bladder/Urinary Tract,CDK1,all,9,11,0.7151,-0.1281,1.8968,0.12864313895307422,0.1309,True,0.5314,-2.3647,-2.6407,0.5230866023081913,NOT_SIGNIFICANT
Myeloid,CDK2,all,17,20,0.4138,-0.2429,1.0619,0.3686287447244089,0.2199,True,0.3409,-0.556,-0.6768,0.6389564908556421,NOT_SIGNIFICANT
Myeloid,CDK1,all,17,20,-0.3841,-1.1423,0.2847,0.24066358211860228,0.2543,True,0.2876,-2.6511,-2.5534,0.5757855609332979,NOT_SIGNIFICANT
Esophagus/Stomach,CDK2,all,15,31,0.6014,0.1308,1.117,0.10591502235131914,0.0657,True,0.5318,-0.6423,-0.7719,0.5230866023081913,NOT_SIGNIFICANT
Esophagus/Stomach,CDK1,all,15,31,-0.3009,-0.9578,0.4347,0.7785663665849305,0.3431,True,0.1348,-2.6109,-2.6891,0.8402657772743138,NOT_SIGNIFICANT
Ovary/Fallopian Tube,CDK2,all,12,26,1.1679,0.7461,1.7298,0.0008243233414888918,0.0021,True,1.1028,-0.6339,-1.1132,0.021432406878711188,ROBUST
Ovary/Fallopian Tube,CDK1,all,12,26,-0.8363,-1.531,-0.2939,0.02474467204639895,0.0218,True,0.7595,-2.9586,-2.5263,0.32168073660318636,MARGINAL
Bone,CDK2,all,13,27,0.5804,0.0072,1.2161,0.14083100831374382,0.0924,True,0.4603,-0.6913,-1.0115,0.5230866023081913,NOT_SIGNIFICANT
Bone,CDK1,all,13,27,-0.1733,-0.7987,0.3731,0.5442443124872334,0.6113,True,0.1023,-2.5962,-2.4643,0.7125934241545252,NOT_SIGNIFICANT
Lung,CDK2,all,35,65,0.3527,-0.0007,0.7075,0.26574718196921443,0.0987,True,0.3142,-0.7712,-0.8501,0.5757855609332979,NOT_SIGNIFICANT
Lung,CDK1,all,35,65,-0.2274,-0.7037,0.1696,0.16749516075670134,0.2774,True,0.1805,-2.7701,-2.6527,0.5443592724592794,NOT_SIGNIFICANT
Head and Neck,CDK2,all,12,31,-0.2312,-1.0055,0.6259,0.7970036026806017,0.5055,True,0.0195,-0.6296,-0.6206,0.8402657772743138,NOT_SIGNIFICANT
Head and Neck,CDK1,all,12,31,-0.53,-1.29,0.2589,0.24983426993134583,0.1272,True,0.3616,-2.8396,-2.6299,0.5757855609332979,NOT_SIGNIFICANT
Lymphoid,CDK2,all,14,55,-0.3636,-0.9767,0.2187,0.35880845369896086,0.2261,True,0.2166,-0.6139,-0.559,0.6389564908556421,NOT_SIGNIFICANT
Lymphoid,CDK1,all,14,55,-0.2626,-0.7351,0.2119,0.4334219309560736,0.3804,True,0.1867,-2.4684,-2.4674,0.7043106378036197,NOT_SIGNIFICANT
Soft Tissue,CDK2,all,10,29,-0.062,-0.8474,0.7804,0.9871692224682849,0.8638,False,0.0289,-0.738,-0.7911,0.9871692224682849,NOT_SIGNIFICANT
Soft Tissue,CDK1,all,10,29,-0.2725,-1.0531,0.456,0.664139163881081,0.4577,True,0.0152,-2.5907,-2.4958,0.7848917391321866,NOT_SIGNIFICANT
Breast,CDK2,all,8,30,0.5805,-0.0736,1.2545,0.10414826818502043,0.1543,True,0.4585,-0.6229,-0.8186,0.5230866023081913,NOT_SIGNIFICANT
Breast,CDK1,all,8,30,-0.2798,-0.9683,0.3572,0.6352204460164115,0.4748,True,0.1439,-3.0023,-3.0005,0.7848917391321866,NOT_SIGNIFICANT
Pan-cancer (pooled),CDK2,all,282,548,0.2855,0.1669,0.4058,0.0041334794177776924,0.0001,True,0.2793,-0.6823,-0.741,0.008266958835555385,ROBUST
Pan-cancer (pooled),CDK1,all,282,548,-0.1336,-0.2906,0.0078,0.1633857270985859,0.0694,True,0.1228,-2.6465,-2.6048,0.1633857270985859,NOT_SIGNIFICANT
