gene,original_d,original_fdr,mtap_corrected_d,mtap_corrected_fdr,mtap_confound_d,mtap_confound_fdr,verdict
ACTR3,-0.4042,0.0001619502811455,-0.415,0.040575746827720735,0.0032,0.9322390715313614,CDKN2A-SPECIFIC
CCND1,-0.3742,1.5519806417986365e-05,-0.4145,0.03000862477859658,0.0703,0.9484169454163685,CDKN2A-SPECIFIC
CCND3,-0.351,1.7419089960856078e-07,-0.2306,0.4068597694964513,-0.1635,0.6267429792060304,attenuated
CDK2,0.2979,0.0735283338814953,0.3411,0.2813296478409273,-0.1113,0.9095867213419505,not significant
CDK4,0.0782,0.7990349675559617,0.0928,0.898213895828946,-0.034,0.9883759569553249,not significant
CDK6,-0.4534,3.6367447512582144e-11,-0.5076,0.0002012117199669065,0.0985,0.884001752904624,CDKN2A-SPECIFIC
E2F1,0.0404,0.9860894238997956,0.0203,0.9804421446640923,0.0299,0.9979607672236649,not significant
KIF2C,-0.4976,2.083746042432855e-06,-0.744,0.0002012117199669065,0.2374,0.5674615273973879,CDKN2A-SPECIFIC
MAT2A,-0.1396,0.2937956752057726,0.0145,0.9430434145548836,-0.2225,0.53739248759974,not significant
MDM2,-0.276,0.0336886907903335,-0.7158,0.0011360296986546723,0.5396,0.12204943070838385,not significant
MSI2,-0.3775,1.4506775876192571e-05,-0.2961,0.11995363281252155,-0.1159,0.9116450422589907,attenuated
MTAP,0.6419,5.4100472710929464e-11,-0.1107,0.5962973230217995,0.9272,1.531763167004357e-07,MTAP-DRIVEN
PRMT5,-0.4858,2.083746042432855e-06,0.0676,0.9655447562497271,-0.7479,0.0036354619182454636,MTAP-DRIVEN
TLN1,-0.4212,1.4506775876192571e-05,-0.628,0.001153564351686841,0.2962,0.5909982459708257,CDKN2A-SPECIFIC
WDR77,-0.5807,3.23246852816561e-08,0.002,0.9802076411487105,-0.7683,0.00031900145738803914,MTAP-DRIVEN
WWTR1,-0.4718,8.056934987562392e-07,-0.8453,2.3618151340196105e-05,0.4469,0.3353421612432456,CDKN2A-SPECIFIC
