cancer_type,drug,mechanism,stratum,cohens_d,p_value,n_del,n_intact,median_sens_del,median_sens_intact,fdr
Pan-cancer (pooled),trilaciclib,CDK4/6 inhibitor,all,-0.5393,7.096308229589834e-10,208,394,-1.308,-0.8571,3.264301785611324e-08
CNS/Brain,trilaciclib,CDK4/6 inhibitor,all,-0.549,0.051699178215235966,32,14,-0.8353,-0.4416,0.32857142857142857
Pancreas,trilaciclib,CDK4/6 inhibitor,all,-0.0059,0.9105327022292903,18,11,-1.0489,-1.1855,0.9519205523306217
Skin,trilaciclib,CDK4/6 inhibitor,all,-0.5038,0.21070546034851656,23,11,-1.4446,-1.3328,0.5856781350131077
Bladder/Urinary Tract,trilaciclib,CDK4/6 inhibitor,all,-1.6496,0.009666803784450843,7,10,-1.9416,-0.2799,0.14822432469491292
Myeloid,trilaciclib,CDK4/6 inhibitor,all,-0.3227,0.4060484491047267,12,11,-1.3279,-1.0073,0.7183934099545165
Esophagus/Stomach,trilaciclib,CDK4/6 inhibitor,all,-0.6547,0.09977143641922159,13,27,-1.3648,-0.5005,0.4176871877018234
Ovary/Fallopian Tube,trilaciclib,CDK4/6 inhibitor,all,-0.9276,0.023617164815568952,9,23,-1.2286,-0.3126,0.2715973953790429
Bone,trilaciclib,CDK4/6 inhibitor,all,0.0302,0.7474170705441505,10,14,-1.1809,-1.1681,0.9275380965783442
Lung,trilaciclib,CDK4/6 inhibitor,all,-0.3823,0.12651366604901104,26,60,-1.2202,-0.5611,0.4476637414041929
Head and Neck,trilaciclib,CDK4/6 inhibitor,all,-0.5651,0.2971291866028708,7,18,-1.3553,-1.2078,0.688550434401282
Lymphoid,trilaciclib,CDK4/6 inhibitor,all,-0.793,0.04044046063666564,10,31,-1.7216,-0.8254,0.2861940291210184
Soft Tissue,trilaciclib,CDK4/6 inhibitor,all,-0.4405,0.4032809295967191,5,18,-1.6671,-0.8231,0.7183934099545165
Breast,trilaciclib,CDK4/6 inhibitor,all,-0.308,0.8480381176932901,7,23,-0.6223,-0.8142,0.9275380965783442
Pan-cancer (pooled),trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.5651,1.3656159498958524e-10,203,394,-1.3183,-0.8571,1.2563666739041842e-08
CNS/Brain,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.6038,0.03763531378731424,30,14,-0.8521,-0.4416,0.2861940291210184
Pancreas,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.0059,0.9105327022292903,18,11,-1.0489,-1.1855,0.9519205523306217
Skin,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.6168,0.15211387922208736,22,11,-1.4796,-1.3328,0.502487406458869
Bladder/Urinary Tract,trilaciclib,CDK4/6 inhibitor,rb1_intact,-1.6496,0.009666803784450843,7,10,-1.9416,-0.2799,0.14822432469491292
