treatment_id,drug_name,cohens_d,p_value,n_del,n_intact,median_sens_del,median_sens_intact,fdr
BRD:BRD-A00047421-001-01-7,,0.2207,0.00923724151317846,208,393,-1.8749,-2.1029,0.5092370063297271
BRD:BRD-A00055058-001-01-0,,0.0188,0.6975053254012564,159,261,0.027,-0.0265,0.9513793443728615
BRD:BRD-A00077618-236-07-6,,-0.1105,0.2233037404718371,161,271,-0.0514,0.037,0.8030399532195194
BRD:BRD-A00092689-236-04-9,,-0.0137,0.5031892019166678,207,392,-0.0713,-0.1265,0.9112650366166731
BRD:BRD-A00100033-001-08-9,,0.0322,0.9303580663950997,160,275,-0.1914,-0.1748,0.9918619445569115
BRD:BRD-A00147595-001-01-5,,-0.0607,0.48209372755843394,161,271,0.0515,0.0852,0.9052344124341627
BRD:BRD-A00218260-001-03-4,,-0.1125,0.25189249501554156,160,271,0.1936,0.2379,0.8276312913543763
BRD:BRD-A00376169-001-01-6,,-0.1799,0.07751837549893935,160,271,-0.1913,-0.1449,0.6674531395370543
BRD:BRD-A00520476-001-07-4,,0.0678,0.7686916156025497,161,271,0.2371,0.2579,0.968556057080693
BRD:BRD-A00546892-001-02-6,,-0.0587,0.9067360294578021,161,271,0.1528,0.1429,0.9900649210308277
BRD:BRD-A00559310-003-01-1,,-0.0416,0.9673292286339963,207,392,-0.1865,-0.2113,0.9953495554585865
BRD:BRD-A00578795-001-04-3,,-0.07,0.7295821742661455,162,274,-0.3735,-0.3896,0.9570832618367711
BRD:BRD-A00758722-001-04-9,,-0.0271,0.8837324534445419,153,265,-0.8625,-0.8744,0.9870938244593582
BRD:BRD-A00827783-001-24-6,,0.0303,0.570729034511402,160,272,0.2267,0.2351,0.9329961501918992
BRD:BRD-A00842753-001-01-9,,0.1065,0.16692478656858434,158,261,0.1055,0.0512,0.7604979813115407
BRD:BRD-A00993607-003-24-6,,-0.0324,0.9877630055790388,162,274,0.1839,0.1552,0.9983132905153197
BRD:BRD-A01098288-001-02-9,,-0.0725,0.6638343076738696,158,268,0.0776,0.0489,0.9480017880698177
BRD:BRD-A01307728-001-01-4,,0.2257,0.023463280054594998,146,225,0.2474,0.2055,0.5903092527307608
BRD:BRD-A01412266-001-01-0,,-0.0894,0.2779003002246192,160,269,-0.0395,0.0273,0.8479114511755912
BRD:BRD-A01493904-003-12-1,,0.0825,0.434394191678682,160,273,-0.2171,-0.255,0.8965164755428702
BRD:BRD-A01563671-001-02-7,,-0.1353,0.17505768446638192,160,273,0.2475,0.2843,0.7719857179720939
BRD:BRD-A01593789-001-03-1,,-0.082,0.6514635755433773,161,272,-0.0756,-0.0982,0.9453138419762234
BRD:BRD-A01636364-003-15-1,,-0.1231,0.375914955826787,161,271,0.1446,0.1673,0.8871914810672753
BRD:BRD-A01643550-001-04-9,,0.1901,0.06445736466167092,153,265,-0.3423,-0.4654,0.6489532629791296
BRD:BRD-A01787639-003-16-9,,-0.048,0.6341922540720477,160,271,-0.0058,-0.0016,0.9422064479547312
BRD:BRD-A01907367-001-01-7,,-0.0587,0.48626981153977744,160,272,-0.1716,-0.1557,0.9060845280886632
BRD:BRD-A02006392-001-16-4,,0.0513,0.538604917617609,160,275,-0.1223,-0.1035,0.9242295418470508
BRD:BRD-A02180903-001-04-5,,-0.0402,0.6081512404775061,160,272,0.2758,0.2923,0.9346603638138195
BRD:BRD-A02232681-001-01-8,,-0.0076,0.817783813393849,159,261,-0.0223,-0.0394,0.9762395974438651
BRD:BRD-A02473266-001-01-1,,0.0933,0.43216094282005146,146,226,-2.4921,-2.6722,0.8951716905882091
BRD:BRD-A02532772-003-01-7,,0.0832,0.8278082755419046,146,225,0.0366,0.0378,0.9785086552788488
BRD:BRD-A02710418-003-11-8,,-0.1333,0.15228535748747518,160,271,-0.2933,-0.2673,0.7517140198448152
BRD:BRD-A02743701-001-03-6,,-0.1969,0.05636135959270506,161,272,-0.0614,-0.0014,0.6313943439382389
BRD:BRD-A02759312-003-24-5,,-0.0133,0.9774672022735003,160,273,0.2584,0.2257,0.9968230441881646
BRD:BRD-A02933148-001-01-8,,0.2242,0.03653887839784394,146,226,0.3176,0.2689,0.6157644673119234
BRD:BRD-A02971356-001-09-9,,0.0103,0.9423282102394643,208,393,0.0476,0.0391,0.9928820916017232
BRD:BRD-A02990301-003-06-6,,0.0976,0.5284240139401403,161,271,-0.4869,-0.4787,0.9207079945223383
BRD:BRD-A03061970-003-07-3,,-0.0954,0.46439415712832277,161,271,-0.0461,-0.0174,0.9044487510828714
