BRD_ID,drug_name,mechanism_of_action,target,cohens_d,FDR,n_CDKN2A_del,n_control
BRD:BRD-A73385064-001-01-5,BECLOMETHASONE,GLUCOCORTICOID RECEPTOR AGONIST,"NR3C1, SERPINA6",-0.8244,0.0088771659207017,45,261
BRD:BRD-K62627508-001-01-5,IDASANUTLIN,MDM INHIBITOR,"MDM2, TP53",-0.8168,0.0475206525125305,44,274
BRD:BRD-K00003412-300-01-9,TRILACICLIB,CDK INHIBITOR,,-0.8151,0.0005439820512771,52,394
BRD:BRD-A16035238-001-01-7,SAR405838,MDM INHIBITOR,MDM2,-0.8084,0.042774773069215,41,226
BRD:BRD-K64925568-001-01-8,AMG-232,MDM INHIBITOR,MDM2,-0.7835,0.042774773069215,44,271
BRD:BRD-K35240538-001-26-2,METHYLPREDNISOLONE,GLUCOCORTICOID RECEPTOR AGONIST,NR3C1,-0.7674,0.0024009346348333,41,264
BRD:BRD-K13050541-001-01-9,ACIVICIN,"GAMMA GLUTAMYLTRANSFERASE INHIBITOR, GAMMA GLUTAMYLTRANSFERASE INHIBITORS",CTPS1,-0.7638,0.042774773069215,44,271
BRD:BRD-K51313569-003-03-3,PALBOCICLIB,CDK INHIBITOR,"CDK4, CDK6",-0.7578,0.0189998916196044,44,271
BRD:BRD-K09821361-066-25-8,DEFEROXAMINE-MESYLATE,CHELATING AGENT,,-0.7513,0.0408548297776992,45,261
BRD:BRD-K32842773-434-01-8,PEMETREXED,"DIHYDROFOLATE REDUCTASE INHIBITOR, THYMIDYLATE SYNTHASE INHIBITOR","ATIC, DHFR, GART, TYMS",-0.6918,0.042774773069215,45,261
BRD:BRD-K88554883-001-03-2,ON123300,CDK INHIBITOR,"CDK4, NUAK1, PDGFRB",-0.6613,0.0283771990299769,52,392
BRD:BRD-K28761891-001-10-1,RAMELTEON,MELATONIN RECEPTOR AGONIST,"MTNR1A, MTNR1B",-0.6408,0.042774773069215,45,273
BRD:BRD-K13414800-001-01-3,VESNARINONE,PHOSPHODIESTERASE INHIBITOR,"KCNH2, PDE3A",-0.6391,0.0498484679233639,45,261
BRD:BRD-K07310275-001-02-5,PF-04691502,"MTOR INHIBITOR, PI3K INHIBITOR","MTOR, PIK3CA",-0.636,0.0475206525125305,44,271
BRD:BRD-K09711437-001-04-3,VARESPLADIB,SECRETORY PHOSPHOLIPASE INHIBITOR,PLA2G2A,-0.6216,0.0498484679233639,41,265
BRD:BRD-K47407372-001-17-1,NIFENAZONE,ANALGESIC AGENT,,-0.6178,0.0408548297776992,44,272
BRD:BRD-K00003165-300-01-9,SARDOMOZIDE,S-ADENOSYLMETHIONINE DECARBOXYLASE INHIBITOR,,-0.5418,0.0475206525125305,50,393
