ModelID,OncotreeLineage,CDKN2A_status,RB1_status,MTAP_co_deleted,CCNE1_amplified,CDK2_response_score,CDK2_predicted_responder
ACH-000772,Soft Tissue,unknown,intact,False,False,4.917727222926642,True
ACH-002021,Uterus,intact,intact,False,False,4.8899859265802785,True
ACH-000258,Breast,intact,lost,False,False,4.820829202974953,True
ACH-000713,Ovary/Fallopian Tube,intact,intact,False,False,4.616397141102282,True
ACH-000509,Lymphoid,deleted,intact,True,False,4.349914157543326,True
ACH-001454,Bowel,unknown,intact,False,False,4.3161516389213865,True
ACH-000905,Bladder/Urinary Tract,intact,lost,False,False,4.257104536467126,True
ACH-001530,Uterus,intact,intact,False,False,4.220981307047542,True
ACH-000878,Lung,deleted,lost,True,False,4.11176986848246,True
ACH-000109,Lung,unknown,intact,False,False,4.096996354195223,True
ACH-000447,Lung,deleted,lost,True,False,4.083545974873174,True
ACH-001440,Testis,intact,intact,False,False,4.060097412109416,True
ACH-000068,Lymphoid,deleted,intact,True,False,4.006043376333405,True
ACH-000216,Esophagus/Stomach,deleted,intact,True,True,3.9899819679519295,True
ACH-000364,Bone,intact,intact,False,False,3.9563794609209446,True
ACH-000516,Bone,intact,lost,False,False,3.850995932274529,True
ACH-002781,Bone,deleted,intact,False,False,3.8058916138575296,True
ACH-000880,Esophagus/Stomach,intact,intact,False,False,3.8053759036740766,True
ACH-000928,Uterus,intact,intact,False,False,3.792676502858705,True
ACH-000807,CNS/Brain,deleted,intact,True,True,3.7377859181033566,True
ACH-001408,Bladder/Urinary Tract,unknown,intact,False,False,3.6916583810855395,True
ACH-000196,Breast,intact,intact,False,True,3.6352443859366064,True
ACH-000868,Lung,unknown,intact,False,False,3.5808530134002057,True
ACH-000318,Esophagus/Stomach,deleted,intact,True,False,3.5667408574193464,True
ACH-001719,Ovary/Fallopian Tube,unknown,intact,False,False,3.559804366946087,True
ACH-001529,Uterus,unknown,intact,False,False,3.545127134828734,True
ACH-000035,Lung,deleted,intact,True,False,3.5070164152998267,True
ACH-000332,Pancreas,deleted,intact,False,False,3.477675593095562,True
ACH-003183,Soft Tissue,intact,lost,False,False,3.4569358128091436,True
ACH-000620,Liver,intact,intact,False,False,3.445488138138775,True
ACH-000397,Uterus,intact,intact,False,True,3.4100864233611725,True
ACH-000671,Liver,intact,intact,False,False,3.405663250044083,True
ACH-003100,Lymphoid,deleted,intact,True,False,3.3813691549509515,True
ACH-000609,CNS/Brain,unknown,intact,False,False,3.3137031502504026,True
ACH-000625,Liver,unknown,lost,False,False,3.2940425650811793,True
ACH-000286,Bowel,intact,intact,False,True,3.25664427375465,True
ACH-000425,Skin,unknown,intact,False,False,3.2488897483998063,True
ACH-000994,Uterus,intact,intact,False,False,3.219123491583355,True
ACH-002796,Soft Tissue,intact,intact,False,False,3.172143580934848,True
ACH-000547,Bladder/Urinary Tract,intact,intact,False,False,3.1629715292743827,True
ACH-001671,Testis,intact,intact,False,False,3.147511553694543,True
ACH-003107,Lymphoid,deleted,lost,True,False,3.146872878059712,True
ACH-000378,Lung,deleted,intact,True,True,3.1167252768790554,True
ACH-000377,Ampulla of Vater,deleted,intact,False,False,3.0963425275269874,True
ACH-000031,Pancreas,unknown,intact,False,False,3.094858952969287,True
ACH-000873,Esophagus/Stomach,unknown,intact,False,False,3.088984610453727,True
ACH-001711,CNS/Brain,intact,intact,False,False,3.061040330372566,True
ACH-000939,Uterus,intact,lost,False,False,3.059215523779635,True
ACH-000645,Pleura,deleted,intact,False,False,3.055346538793188,True
ACH-001672,Testis,unknown,intact,False,False,3.0536622604509756,True
ACH-001210,Kidney,intact,intact,False,False,3.053099930830347,True
ACH-002678,Lymphoid,intact,lost,False,False,3.0159851203468824,True
