comparison,treatment_id,drug_name,cohens_d,p_value,n_group_a,n_group_b,median_a,median_b,fdr,Drug.Name,MOA,repurposing_target,Synonyms
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00047421-001-01-7,ARV-825,0.1869,0.3365669935462029,52,393,-2.0131,-2.1029,0.7765229814699264,ARV-825,BROMODOMAIN INHIBITOR,BRD4,ARV-825
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00047421-001-01-7,ARV-825,0.0418,0.5138913957693239,151,52,-1.8365,-2.0131,0.8988247505903835,ARV-825,BROMODOMAIN INHIBITOR,BRD4,ARV-825
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00055058-001-01-0,RS-0481,-0.226,0.1249726887910211,45,261,-0.0873,-0.0265,0.6047457655645487,RS-0481,IMMUNOSTIMULANT,,RS-0481
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00055058-001-01-0,RS-0481,0.3907,0.0130815652092828,110,45,0.076,-0.0873,0.4626241029741175,RS-0481,IMMUNOSTIMULANT,,RS-0481
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00077618-236-07-6,8-BROMO-CGMP,-0.1673,0.2887203522419181,44,271,-0.0598,0.037,0.7471853593506739,8-BROMO-CGMP,PKA ACTIVATOR,PRKG1,8-BROMO-CGMP
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00077618-236-07-6,8-BROMO-CGMP,0.0826,0.7118730572034224,113,44,-0.0259,-0.0598,0.952701444750832,8-BROMO-CGMP,PKA ACTIVATOR,PRKG1,8-BROMO-CGMP
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00092689-236-04-9,DOCUSATE,0.1065,0.4020833166452566,52,392,-0.062,-0.1265,0.8137612095025285,DOCUSATE,LAXATIVE,,DOCUSATE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00092689-236-04-9,DOCUSATE,-0.1601,0.5809739531258058,150,52,-0.074,-0.062,0.920018054428392,DOCUSATE,LAXATIVE,,DOCUSATE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00100033-001-08-9,NIFURTIMOX,0.1739,0.1661773978707132,44,275,-0.1055,-0.1748,0.6508159320576892,NIFURTIMOX,DNA INHIBITOR,,NIFURTIMOX
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00100033-001-08-9,NIFURTIMOX,-0.2182,0.041152244826161,112,44,-0.2559,-0.1055,0.5496360792994543,NIFURTIMOX,DNA INHIBITOR,,NIFURTIMOX
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00147595-001-01-5,BALAGLITAZONE,-0.1841,0.2895321928799808,44,271,0.0432,0.0852,0.7482631125719859,BALAGLITAZONE,"INSULIN SENSITIZER, PPAR RECEPTOR PARTIAL AGONIST",PPARG,BALAGLITAZONE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00147595-001-01-5,BALAGLITAZONE,0.1943,0.4660552313766449,113,44,0.059,0.0432,0.879764097213257,BALAGLITAZONE,"INSULIN SENSITIZER, PPAR RECEPTOR PARTIAL AGONIST",PPARG,BALAGLITAZONE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00218260-001-03-4,FLUTRIMAZOLE,0.1632,0.3311978355843302,44,271,0.3285,0.2379,0.7764526927375694,FLUTRIMAZOLE,STEROL DEMETHYLASE INHIBITOR,,FLUTRIMAZOLE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00218260-001-03-4,FLUTRIMAZOLE,-0.373,0.052909414527638,112,44,0.1751,0.3285,0.5648662337148777,FLUTRIMAZOLE,STEROL DEMETHYLASE INHIBITOR,,FLUTRIMAZOLE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00376169-001-01-6,KBG,-0.374,0.0475042675464162,44,271,-0.1836,-0.1449,0.4575233711208036,KBG,NEPRILYSIN INHIBITOR,MME,KBG
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00376169-001-01-6,KBG,0.2726,0.3067899068626025,112,44,-0.2068,-0.1836,0.8024281462238333,KBG,NEPRILYSIN INHIBITOR,MME,KBG
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00520476-001-07-4,OTENZEPAD,-0.0114,0.6613033075398387,44,271,0.2203,0.2579,0.9181480591527807,OTENZEPAD,ACETYLCHOLINE RECEPTOR ANTAGONIST,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",OTENZEPAD
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00520476-001-07-4,OTENZEPAD,0.1171,0.3697335020296479,113,44,0.2491,0.2203,0.8365324891556856,OTENZEPAD,ACETYLCHOLINE RECEPTOR ANTAGONIST,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",OTENZEPAD
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00546892-001-02-6,BIPERIDEN,-0.0699,0.9864737016968742,44,271,0.1682,0.1429,0.9976765959960076,BIPERIDEN,ACETYLCHOLINE RECEPTOR ANTAGONIST,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2",BIPERIDEN
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00546892-001-02-6,BIPERIDEN,0.0018,0.776902896944577,113,44,0.1391,0.1682,0.9679412611947278,BIPERIDEN,ACETYLCHOLINE RECEPTOR ANTAGONIST,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2",BIPERIDEN
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00559310-003-01-1,W-54011,-0.2078,0.2737811079607066,52,392,-0.2344,-0.2113,0.7391123424796238,W-54011,ANAPHYLATOXIN CHEMOTACTIC RECEPTOR ANTAGONIST,C5AR1,W-54011
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00559310-003-01-1,W-54011,0.2322,0.1479907262304154,150,52,-0.1762,-0.2344,0.6860720698059835,W-54011,ANAPHYLATOXIN CHEMOTACTIC RECEPTOR ANTAGONIST,C5AR1,W-54011
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00578795-001-04-3,ZALTOPROFEN,-0.0097,0.9575801382572564,45,274,-0.3193,-0.3896,0.99266704408653,ZALTOPROFEN,CYCLOOXYGENASE INHIBITOR,,ZALTOPROFEN
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00578795-001-04-3,ZALTOPROFEN,-0.081,0.728795566414181,113,45,-0.38,-0.3193,0.9561191343704012,ZALTOPROFEN,CYCLOOXYGENASE INHIBITOR,,ZALTOPROFEN
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00758722-001-04-9,NORETYNODREL,0.0426,0.5616443711273196,41,265,-0.8245,-0.8744,0.8888988329270909,NORETYNODREL,PROGESTOGEN HORMONE,PGR,NORETYNODREL
