comparison,drug,mechanism,cohens_d,p_value,n_group_a,n_group_b,median_a,median_b,fdr
CDKN2A-del_MTAP-intact_vs_intact,trilaciclib,CDK4/6 inhibitor,-0.8151,8.011517691858425e-08,52,394,-1.6074,-0.8571,4.005758845929212e-07
MTAP-confound_within_CDKN2A-del,trilaciclib,CDK4/6 inhibitor,0.3521,0.01864724358916509,151,52,-1.2491,-1.6074,0.06312569645629598
CDKN2A-del_MTAP-intact_vs_intact,milademetan,MDM2 inhibitor,-0.5497,0.00015305774234884825,52,394,-0.8599,-0.2782,0.00038264435587212064
MTAP-confound_within_CDKN2A-del,milademetan,MDM2 inhibitor,0.3108,0.025250278582518392,151,52,-0.3767,-0.8599,0.06312569645629598
CDKN2A-del_MTAP-intact_vs_intact,GSK3326595,PRMT5 inhibitor (type I),0.1316,0.401398259407436,50,393,-0.7941,-0.8845,0.6689970990123933
MTAP-confound_within_CDKN2A-del,GSK3326595,PRMT5 inhibitor (type I),-0.1048,0.4530425193579448,151,50,-0.9505,-0.7941,0.5567611115872784
CDKN2A-del_MTAP-intact_vs_intact,JNJ-64619178,PRMT5 inhibitor (type II),-0.0467,0.6905122412137477,50,393,-1.323,-1.4253,0.8631403015171846
MTAP-confound_within_CDKN2A-del,JNJ-64619178,PRMT5 inhibitor (type II),-0.0685,0.5567611115872784,151,50,-1.5785,-1.323,0.5567611115872784
CDKN2A-del_MTAP-intact_vs_intact,EPZ020411,PRMT5 inhibitor (SAM-competitive),-0.0088,0.9134467594254754,52,392,-0.0081,-0.0265,0.9134467594254755
MTAP-confound_within_CDKN2A-del,EPZ020411,PRMT5 inhibitor (SAM-competitive),-0.0215,0.5530094400389365,150,52,-0.0535,-0.0081,0.5567611115872784
