cancer_type,cdkn2a_del_patients,rb1_coloss_pct,rb1_intact_eligible,note
MESO,2016,2.0,1975,
GBM,8119,10.0,7307,
PAAD,19932,3.0,19334,
SKCM,20128,3.0,19524,
BLCA,16638,15.0,14142,RB1 co-loss abolishes CDK4/6 dependency
HNSC,10521,5.0,9994,
LUSC,8816,8.0,8110,
ACC,90,5.0,85,
LGG,1368,5.0,1299,
ESCA,2684,5.0,2549,
SARC,1630,10.0,1467,
DLBC,2200,5.0,2090,
CHOL,1222,5.0,1160,
LUAD,4702,5.0,4466,
LAML,1630,5.0,1548,
STAD,1344,5.0,1276,
OV,984,5.0,934,
LIHC,2060,5.0,1957,
BRCA,6214,5.0,5903,
COADREAD,3056,5.0,2903,
UCEC,678,5.0,644,
PRAD,2883,5.0,2738,
KIRC,818,5.0,777,
THCA,220,5.0,209,
