cancer_type,us_incidence,cdkn2a_del_pct,estimated_cdkn2a_del_patients_per_year,estimated_eligible_patients_per_year
MESO,2800,72.0,2016,1975
GBM,14000,58.0,8119,7307
PAAD,66440,30.0,19932,19334
SKCM,100640,20.0,20128,19524
BLCA,83190,20.0,16638,14142
HNSC,58450,18.0,10521,9994
LUSC,58775,15.0,8816,8110
ACC,600,15.0,90,85
LGG,11400,12.0,1368,1299
ESCA,22370,12.0,2684,2549
SARC,13590,12.0,1630,1467
DLBC,22000,10.0,2200,2090
CHOL,12220,10.0,1222,1160
LUAD,58775,8.0,4702,4466
LAML,20380,8.0,1630,1548
STAD,26890,5.0,1344,1276
OV,19680,5.0,984,934
LIHC,41210,5.0,2060,1957
BRCA,310720,2.0,6214,5903
COADREAD,152810,2.0,3056,2903
UCEC,67880,1.0,678,644
PRAD,288300,1.0,2883,2738
KIRC,81800,1.0,818,777
THCA,44020,0.5,220,209
