cancer_type,depmap_lineage,cdkn2a_del_pct,rb1_coloss_pct,us_incidence,estimated_cdkn2a_del_patients_per_year,estimated_eligible_patients_per_year,cdk6_d,cdk6_ci_lower,cdk6_ci_upper,fdr,classification,cdk6_source,priority_score
BLCA,Bladder/Urinary Tract,20.0,15.0,83190,16638,14142,-1.4599,-3.5172,-0.6548,0.0424298856712019,ROBUST,lineage-specific,13.952227920781828
OV,Ovary/Fallopian Tube,5.0,5.0,19680,984,934,-1.9875,-3.2313,-1.245,0.0007012089589074,ROBUST,lineage-specific,13.595586226961267
SKCM,Skin,20.0,3.0,100640,20128,19524,-1.3051,-1.8616,-0.8736,0.0007012089589074,ROBUST,lineage-specific,12.893671467091261
BRCA,Breast,2.0,5.0,310720,6214,5903,-1.3989,-2.9032,-0.5337,0.0291607192386179,ROBUST,lineage-specific,12.147187788889523
GBM,CNS/Brain,58.0,10.0,14000,8119,7307,-0.7454,-1.583,-0.1438,0.0424298856712019,ROBUST,lineage-specific,6.631618753502932
LGG,CNS/Brain,12.0,5.0,11400,1368,1299,-0.7454,-1.583,-0.1438,0.0424298856712019,ROBUST,lineage-specific,5.344607107687352
LUSC,Lung,15.0,8.0,58775,8816,8110,-0.5303,-1.0344,-0.1274,0.0026844770601449,ROBUST,lineage-specific,4.773217808290504
SARC,Soft Tissue,12.0,10.0,13590,1630,1467,-0.6344,-1.5091,-0.0226,0.1246006685151402,NOT_SIGNIFICANT,lineage-specific,4.625826699100277
LUAD,Lung,8.0,5.0,58775,4702,4466,-0.5303,-1.0344,-0.1274,0.0026844770601449,ROBUST,lineage-specific,4.456891672013028
COADREAD,Bowel,2.0,5.0,152810,3056,2903,-0.4534,,,,POOLED_ESTIMATE,pan-cancer pooled,3.615341040053321
PRAD,Prostate,1.0,5.0,288300,2883,2738,-0.4534,,,,POOLED_ESTIMATE,pan-cancer pooled,3.58881885994388
MESO,Pleura,72.0,2.0,2800,2016,1975,-0.4534,,,,POOLED_ESTIMATE,pan-cancer pooled,3.4407754668247623
ESCA,Esophagus/Stomach,12.0,5.0,22370,2684,2549,-0.4382,-1.127,0.1458,0.3598985292091559,NOT_SIGNIFICANT,lineage-specific,3.437174473238413
LIHC,Liver,5.0,5.0,41210,2060,1957,-0.4534,,,,POOLED_ESTIMATE,pan-cancer pooled,3.436626378389213
CHOL,Biliary Tract,10.0,5.0,12220,1222,1160,-0.4534,,,,POOLED_ESTIMATE,pan-cancer pooled,3.199660567501824
STAD,Esophagus/Stomach,5.0,5.0,26890,1344,1276,-0.4382,-1.127,0.1458,0.3598985292091559,NOT_SIGNIFICANT,lineage-specific,3.1341242127134588
KIRC,Kidney,1.0,5.0,81800,818,777,-0.4534,,,,POOLED_ESTIMATE,pan-cancer pooled,3.018159806062483
UCEC,Uterus,1.0,5.0,67880,678,644,-0.4534,,,,POOLED_ESTIMATE,pan-cancer pooled,2.9331580936352033
THCA,Thyroid,0.5,5.0,44020,220,209,-0.4534,,,,POOLED_ESTIMATE,pan-cancer pooled,2.4243785544273004
PAAD,Pancreas,30.0,3.0,66440,19932,19334,0.2182,-0.5328,1.0037,0.8928775683523782,NOT_SIGNIFICANT,lineage-specific,2.153562474921833
ACC,Adrenal Gland,15.0,5.0,600,90,85,-0.4534,,,,POOLED_ESTIMATE,pan-cancer pooled,2.0196010641213404
LAML,Myeloid,8.0,5.0,20380,1630,1548,-0.16,-0.8424,0.5196,0.8125738580970219,NOT_SIGNIFICANT,lineage-specific,1.175258374466699
HNSC,Head and Neck,18.0,5.0,58450,10521,9994,0.0876,-0.5925,0.82,0.8928775683523782,NOT_SIGNIFICANT,lineage-specific,0.8067820056314623
DLBC,Lymphoid,10.0,5.0,80620,8062,7658,-0.0517,-0.8076,0.6442,0.8642157424917342,NOT_SIGNIFICANT,lineage-specific,0.462386017695526
