,B_cell,CD4_T_naive,CD8_T,Dendritic_cell,Endothelial,Epithelial,Fibroblast,Goblet,ILC3,Inflammatory_Mac,Macrophage,Monocyte,Myofibroblast,NK,Paneth,Plasma,Th1,Th17,Treg,pDC
RP11-34P13.7,0.00078188005,0.0007227709,0.0021236055,0.0012352198,0.0035977825,0.0,0.0030553471,0.0013696435,0.0,0.0017095052,0.0019811979,0.0015507885,0.0,0.0006898363,0.0,0.0007990373,0.002205811,0.0,0.0009004709,0.0009149772
FO538757.2,0.093963556,0.09299217,0.107629836,0.12595314,0.18703248,0.1775517,0.14334619,0.12824841,0.10259986,0.106508434,0.14922196,0.15606272,0.15564597,0.10959771,0.1299161,0.055253856,0.11383226,0.075807475,0.08922666,0.10152366
AP006222.2,0.0440553,0.04270485,0.04134952,0.050576806,0.082381934,0.031079382,0.108878925,0.027699761,0.013247221,0.024189647,0.055588868,0.037159756,0.08476194,0.038872395,0.029925575,0.015352657,0.031664852,0.024310634,0.027827144,0.040427674
RP4-669L17.10,0.0028888618,0.0019150042,0.0026529205,0.0051753395,0.004913264,0.0019928643,0.0045048427,0.004358156,0.003176106,0.0,0.0011283385,0.0016294857,0.0,0.0018383809,0.0018513312,0.001588747,0.0015118022,0.0024199737,0.0009608043,0.0028945203
RP5-857K21.4,0.0005343962,0.00026011327,0.0,0.0,0.0,0.0,0.0,0.0012191355,0.0,0.0,0.0011143108,0.00070023315,0.00135336,0.00029019633,0.0005338554,7.224998e-05,0.0005293477,0.0,0.0,0.0
RP11-206L10.9,0.022564342,0.015293287,0.021247225,0.021177046,0.020170992,0.018519832,0.024969129,0.020619124,0.0071156016,0.012304234,0.028648226,0.022470715,0.03220136,0.014565154,0.03228962,0.01974624,0.023336785,0.010001101,0.016851675,0.019208463
FAM87B,0.00015668427,6.9019254e-05,0.0,0.001515795,0.00057543267,0.0,0.0017232624,0.0,0.0,0.0012886495,0.0010242636,0.00047096738,0.001902264,7.003065e-05,0.0,4.269581e-05,0.0,0.0,0.0,0.0014015583
LINC00115,0.015131365,0.014167888,0.015798133,0.0091926325,0.012991857,0.019361405,0.02586007,0.010776853,0.04720532,0.023911363,0.029465599,0.011927041,0.018135209,0.016027184,0.024992218,0.013175233,0.017268969,0.023256857,0.019857798,0.010054983
FAM41C,0.026526902,0.017539008,0.020374186,0.010652392,0.016457861,0.016449604,0.013840235,0.016314218,0.021661552,0.019410444,0.036682915,0.020913284,0.025100296,0.020925032,0.020696599,0.009854722,0.019902144,0.027791359,0.017078448,0.01524415
RP11-54O7.1,0.0036327105,0.004399624,0.004718651,0.003796555,0.012019517,0.0021483866,0.0019783513,0.006629732,0.0032390154,0.0070460318,0.0059104855,0.003839548,0.0052594175,0.0054980726,0.006192937,0.0018778896,0.0057213455,0.0058640228,0.00446315,0.0059964103
