gene	direction	mean_log2fc	meta_pvalue	meta_fdr	pathways	is_known_target
S100A9	up	3.576352220109642	6.027072278592324e-22	4.909894161032451e-18	GOBP_INTEGRIN_BIOSYNTHETIC_PROCESS; GOBP_REGULATION_OF_INTEGRIN_BIOSYNTHETIC_PROCESS	False
XBP1	up	0.9075295531574232	6.452633032475724e-21	2.19023873899001e-17	GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_POSITIVE_REGULATION_OF_VASCULAR_WOUND_HEALING; GOBP_POSITIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_VASCULAR_WOUND_HEALING; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_VASCULAR_WOUND_HEALING; GOBP_WOUND_HEALING	False
TNFAIP6	up	2.303485798143354	1.2854853135305395e-20	4.003593876912088e-17	GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_RESPONSE_TO_BMP	False
CXCL1	up	3.002391845403569	2.3408777127631456e-20	5.608742999780497e-17	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	False
MUC1	up	2.688162666194473	1.703590104827022e-19	2.891276339575594e-16	GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	False
C4BPB	up	1.8571593959582324	2.614344216720121e-19	3.9439803198312583e-16	GOBP_WOUND_HEALING	False
CXCL6	up	2.607772785257908	3.2146322344635983e-19	4.676371434791831e-16	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	False
DUOX2	up	3.875957750184525	5.466396736788532e-19	6.797773079444636e-16	GOBP_POSITIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_WOUND_HEALING	False
MMP3	up	4.167410537571589	5.674268012892017e-19	6.797773079444636e-16	GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_DEGRADATION; REACTOME_COLLAGEN_FORMATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	False
TFPI2	up	2.616718706129842	6.661658412267815e-19	7.537296401347018e-16	GOBP_WOUND_HEALING; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	False
