sample,epi_GPX4,epi_ferroptosis,epi_n_cells,il23_high,ilc3_ferroptosis,ilc3_GPX4,ilc3_n_cells,fib_fibrosis_score,fib_n_cells,fib_ILK,fib_COL1A1,fib_ACTA2,fib_FAP,inf_inflammatory_score,inf_n_cells,inf_TNF,inf_IL1B,inf_IL6,inf_S100A8,inf_S100A9,inf_CXCL8,inf_CCL2,inf_CCL3
68,1.0896325,0.28348038,72,high,-0.032893397,0.51934147,8,2.1221924,42,0.46873388,1.2544103,2.0812895,0.0,0.84930927,90,0.23826157,1.2123846,0.0,0.063552275,0.287133,0.9921439,0.13031152,1.42243
122,1.1885448,0.3412506,315,high,0.054547135,0.9302156,13,1.7286367,8,0.363395,1.7766703,1.0364416,0.0,2.6332686,23,0.85944784,3.5440414,0.12595834,0.3692878,0.51176476,3.233609,0.0,2.549503
128,0.8463405,0.4932005,18,high,0.63552547,1.8237438,8,2.8501754,76,0.597766,2.243039,0.6761015,0.3623887,3.3663175,249,0.99749684,2.882506,0.6726483,1.2469041,1.9281901,3.1255372,0.21906498,3.5658178
129,1.3542594,0.3551959,46,high,0.06585263,0.77714795,38,1.7143495,85,0.44932696,1.7153696,0.9924735,0.0,1.0227321,56,0.3104844,1.332961,0.058883805,0.19755553,0.3316193,1.5596383,0.08956219,0.98168516
135,1.0962905,0.26077607,161,high,-0.0841422,0.5579919,14,1.4971734,45,0.39453277,0.8400682,1.5330273,0.0,1.2088649,65,0.0729583,1.7837979,0.061221022,0.10063615,0.23966578,1.8287961,0.010349135,1.5813588
138,0.6987877,0.15048146,18,high,0.3253357,0.96249235,11,3.395716,116,0.42611834,2.3561013,1.1228883,0.47957164,3.052839,81,1.0501051,2.4603271,0.802486,1.1008742,1.4092505,2.464278,0.26612702,3.1969743
158,0.9949008,0.2964121,398,high,-0.07657155,0.58282167,23,1.9104815,34,0.49049932,1.3526882,1.6222936,0.0,0.9070095,126,0.2074397,1.2752613,0.024753839,0.21899152,0.2729288,1.3609785,0.009962449,1.2436119
159,1.244808,0.31626445,587,high,-0.018429056,0.75117016,19,1.53389,71,0.26483724,1.3234048,1.110075,0.032885823,0.46038637,45,0.22223277,0.79749846,0.0,0.09407118,0.18741702,0.72026724,0.031820513,0.65363604
180,1.0284921,0.3158134,195,high,-0.0037882263,0.9313215,32,1.3543369,78,0.38447335,1.3291103,0.83930665,0.0,0.97218704,160,0.21086888,1.0492394,0.03052564,0.3219686,0.4977077,1.4103839,0.0036432608,1.6934181
181,0.9387903,0.24589805,70,high,0.051017854,0.8917606,22,3.1786401,63,0.33080295,1.581002,0.91131,0.64522076,1.8946222,156,0.9352498,2.137585,0.11885035,0.9702892,1.6856321,1.780731,0.034436308,1.6264257
185,1.2448657,-0.033362016,7,low,0.076184794,1.0056286,9,0.22163683,16,0.18816015,0.101889886,0.36171907,0.0,0.74204385,1083,0.03709212,0.23004124,0.0,2.7894683,4.161981,0.07391629,0.0540498,0.1688729
186,0.98720276,0.32597798,103,low,-0.06400535,0.8036386,35,1.2627461,58,0.19082133,0.87627435,1.1827624,0.02947644,0.66098034,85,0.10072646,0.60703814,0.078853786,0.4050228,0.49335876,1.0352117,0.03664063,1.12571
187,0.9721469,0.06993651,7,low,-0.055080265,0.0,5,2.2038724,53,0.22540563,2.247348,0.805453,0.16207533,2.2998526,108,0.84625435,2.292126,0.1342079,1.4548844,1.6984497,2.2747424,0.032946367,2.649104
189,1.0859793,0.13147639,17,high,0.052751325,0.87071604,46,1.738969,535,0.36448488,1.4396323,1.3608239,0.0037996906,0.48975107,218,0.2697657,0.6377106,0.008810029,0.015129702,0.085222796,0.77781475,0.07062013,0.9057813
190,0.9911778,0.19314893,78,high,-0.006417662,0.70992976,46,1.8154553,107,0.32083642,1.3331575,1.5025171,0.033821907,0.44767693,70,0.16108151,0.7865235,0.042246915,0.11609181,0.23572527,0.58558303,0.015388752,0.7358885
