cell_type,n_high,n_low,mean_high,mean_low,delta,cohens_d,pvalue,FDR
Fibroblast,1046,755,0.14651918,0.35657287,-0.21005368,-0.41082212,1.545029e-31,3.244560762845875e-30
Inflammatory_Mac,487,165,0.57240725,0.23115084,0.3412564,0.50037044,2.4484936e-10,2.2279761739222672e-09
Monocyte,210,5689,0.6765983,0.43045253,0.24614578,0.6722899,3.1828232e-10,2.2279761739222672e-09
Paneth,1406,479,0.23573162,0.32573965,-0.090008035,-0.17569086,8.916401e-07,4.681110567616997e-06
B_cell,5816,4040,-0.047543764,-0.026151383,-0.02139238,-0.06918467,6.4841693e-06,2.7233510627411307e-05
CD4_T_naive,7535,11764,-0.08517598,-0.07937735,-0.0057986304,-0.019036466,8.8623e-06,3.1018050018853195e-05
Epithelial,2418,844,0.29293242,0.3367015,-0.04376909,-0.12163162,0.0024873714,0.007462114095687866
Endothelial,1116,666,0.018078083,0.078628674,-0.060550593,-0.15746374,0.018991604,0.04985295981168747
NK,10124,11265,-0.089650415,-0.08847252,-0.0011778921,-0.0039721956,0.041975047,0.09794177611668904
pDC,430,661,0.06416479,0.07750982,-0.013345033,-0.028251197,0.084259614,0.17694518566131592
CD8_T,851,1505,-0.1096377,-0.09329353,-0.016344167,-0.052296497,0.122152254,0.2330367167790731
Myofibroblast,586,391,0.005959319,0.038893063,-0.03293374,-0.09438346,0.13316384,0.2330367167790731
Plasma,9776,2305,-0.16834974,-0.15845294,-0.0098968,-0.041327406,0.14612333,0.23604537890507624
Treg,2371,864,0.0009462042,-0.025038688,0.02598489,0.06998293,0.27099064,0.4064859662737165
Unassigned,1068,2261,-0.036161255,-0.06561459,0.029453333,0.09831135,0.3353316,0.46712174135095935
ILC3,396,147,0.02757597,-0.014069109,0.04164508,0.1120788,0.3740577,0.46712174135095935
Dendritic_cell,548,219,0.13457654,0.09810871,0.036467835,0.07333863,0.37814617,0.46712174135095935
Th1,1525,813,-0.054849043,-0.05969884,0.0048497953,0.014464195,0.43421763,0.5065872404310439
Th17,999,289,-0.038049974,-0.055227604,0.01717763,0.050504487,0.5794138,0.6404047012329102
Goblet,1154,211,0.05437927,0.067263745,-0.012884475,-0.03367007,0.69390583,0.7286011219024658
Macrophage,1303,654,0.683551,0.683869,-0.00031799078,-0.00057865225,0.92018753,0.9201875414167132
