cell_type,n_cells,mean_score,median_score,std_score
Macrophage,1957,0.6836573,0.60096055,0.54939646
Inflammatory_Mac,652,0.48604634,0.37086344,0.69747156
Monocyte,5899,0.43921515,0.39263356,0.36892977
Epithelial,3262,0.30425712,0.2899923,0.36030483
Paneth,1885,0.2586037,0.18378362,0.5136708
Fibroblast,1801,0.23457612,0.123802334,0.52156675
Dendritic_cell,767,0.12416395,0.010219891,0.49720132
pDC,1091,0.07225009,-0.03929243,0.47219887
Goblet,1365,0.05637094,-0.03684105,0.38255653
Endothelial,1782,0.040708095,-0.023024146,0.38554388
Myofibroblast,977,0.019139554,-0.044326995,0.34913018
ILC3,543,0.016301887,-0.066077456,0.3716884
Treg,3235,-0.0059938114,-0.08523682,0.37142387
B_cell,9856,-0.038774975,-0.0979141,0.30937025
Th17,1288,-0.04190427,-0.09840342,0.34006432
Unassigned,3329,-0.056165457,-0.10997036,0.29986283
Th1,2338,-0.05653548,-0.11013344,0.33523282
CD4_T_naive,19299,-0.081641346,-0.13054949,0.30461168
NK,21389,-0.08903005,-0.13954872,0.29652792
CD8_T,2356,-0.099197134,-0.15868741,0.31256118
Plasma,12081,-0.16646148,-0.20092481,0.23949471
