marker,spearman_rho,pvalue,n_samples,FDR
COL1A1,0.8894043071239661,2.873706598035168e-29,83,1.245272859148573e-28
COL3A1,0.8561563326476637,6.100742224215297e-25,83,9.413768704233605e-25
ACTA2,0.898283027580706,1.160789124683308e-30,83,7.545129310441502e-30
FAP,0.8227194492254732,1.4406839490580781e-21,83,1.6804910907865555e-21
ILK,0.878153729902187,1.1554571822175154e-27,83,2.5034905614712837e-27
FN1,0.8223626212165736,1.5512225453414358e-21,83,1.6804910907865555e-21
TGFB1,0.9029217916964022,1.9253433654917973e-31,83,2.5029463751393366e-30
MMP2,0.8877251164938499,5.112669345731057e-29,83,1.6616175373625935e-28
MMP9,0.8674278997523193,2.825567085821223e-26,83,5.247481730810842e-26
TIMP1,0.8462700978128541,7.336151515571484e-24,83,9.53699697024293e-24
LOX,0.855902941810096,6.517224487546342e-25,83,9.413768704233605e-25
CTGF,0.8025565946098615,7.378414728883688e-20,83,7.378414728883688e-20
PDGFRB,0.8841148566390999,1.711479453709968e-28,83,4.449846579645917e-28
