sample,epi_GPX4,il23_high,innate_proportion,th17_proportion,adaptive_proportion,innate_adaptive_ratio,gpx4_group
68,1.0896325,high,0.03898364079359554,0.003132613992342499,0.024364775495997214,1.5999343341236867,high
122,1.1885448,high,0.04166666666666667,0.019345238095238096,0.09375,0.4444397037542711,high
128,0.8463405,high,0.12532637075718017,0.010879025239338555,0.17058311575282853,0.7346895706208336,low
129,1.3542594,high,0.036546610169491525,0.04025423728813559,0.3474576271186441,0.10518262410854524,high
135,1.0962905,high,0.047479197258932945,0.016152716593245228,0.2471855115026921,0.1920784308589421,high
138,0.6987877,high,0.052039381153305204,0.011603375527426161,0.33403656821378336,0.15578900730111922,low
158,0.9949008,high,0.048731642189586116,0.0267022696929239,0.23431241655540722,0.20797632037456432,high
159,1.244808,high,0.023413897280966767,0.0256797583081571,0.22998489425981875,0.10180579707430105,high
180,1.0284921,high,0.06966383151073309,0.04090724989874443,0.2324827865532604,0.29965027903042,high
181,0.9387903,high,0.04888712241653418,0.010532591414944356,0.32015103338632755,0.15269970925826382,low
185,1.2448657,low,0.1945428773919206,0.0019489723600283487,0.3040396881644224,0.639858035338723,high
186,0.98720276,low,0.05450620615218565,0.03076092822450081,0.18834322719913654,0.28939674426313144,low
187,0.9721469,low,0.16933333333333334,0.010666666666666666,0.1,1.6933164001693315,low
189,1.0859793,high,0.05816398037841626,0.032001868722261156,0.2749357626722728,0.21155403087272207,high
190,0.9911778,high,0.021512838306731438,0.012028683784408975,0.37335183900069396,0.05762066351045332,low
191,1.0029843,low,0.23500279575045932,0.0014378145219266715,0.3989935298346513,0.5889875128058715,high
192,0.649059,high,0.05161839863713799,0.019761499148211244,0.25502555366269164,0.20240401595753266,low
193,0.5754674,high,0.04720023453532689,0.018909410729991204,0.2949281735561419,0.16003921879346392,low
194,0.7230258,low,0.1943419434194342,0.0016400164001640015,0.33661336613366133,0.5773429864317371,low
195,0.85393703,high,0.040236051502145924,0.017703862660944206,0.2328326180257511,0.17281031769946498,low
196,0.6837283,high,0.06155218554861731,0.018287243532560213,0.18510258697591436,0.3325283240277049,low
208,1.2859997,low,0.03406593406593407,0.021245421245421246,0.2641025641025641,0.1289870289395437,high
209,1.1188723,low,0.06036585365853659,0.01798780487804878,0.23323170731707316,0.2588224196894947,high
