cell_type,n_cells,mean_GPX4,median_GPX4,std_GPX4,pct_expressing
Monocyte,5899,1.4370598,1.7303318,1.0051831,71.50364468553992
Macrophage,1957,1.380277,1.55775,0.93539387,74.96167603474706
Inflammatory_Mac,652,1.3363608,1.5559778,1.0728552,66.56441717791411
Epithelial,3262,1.1294446,1.1542213,0.88399684,73.39055793991416
Paneth,1885,1.0830464,1.2778728,0.9432987,62.6525198938992
Fibroblast,1801,1.0736883,1.278153,1.0490911,54.58078845086063
Endothelial,1782,1.0444851,1.2281424,0.98685217,58.36139169472503
Dendritic_cell,767,0.9250737,0.0,1.042092,49.54367666232073
pDC,1091,0.9034834,0.9765784,0.95493484,50.87076076993584
Unassigned,3329,0.8668035,0.0,0.93167806,49.804746170021026
Myofibroblast,977,0.85425717,0.0,0.9655185,46.980552712384856
CD4_T_naive,19299,0.81623733,0.0,0.90545493,47.49468884398155
ILC3,543,0.78658026,0.0,0.96131736,42.7255985267035
Treg,3235,0.77979815,0.0,0.9767433,41.205564142194746
Th17,1288,0.72271067,0.0,0.9267394,39.67391304347826
B_cell,9856,0.70993936,0.0,0.9074221,39.91477272727273
Th1,2338,0.7077448,0.0,0.93108934,38.70829769033362
Goblet,1365,0.68171823,0.0,0.7963692,49.15750915750915
NK,21389,0.6547562,0.0,0.9024023,36.12137079807378
CD8_T,2356,0.64108306,0.0,0.9169063,34.38030560271647
Plasma,12081,0.62381166,0.56947666,0.6596033,54.65607151725851
