study,gene,pvalue
GSE16879,TFRC,0.7259821507864993
GSE16879,FTH1,0.15644241702889536
GSE16879,FTL,0.2659758362150153
GSE16879,HAMP,0.026088821528467445
GSE16879,SLC40A1,0.35261914771518
GSE12251,TFRC,0.23008418191625113
GSE12251,FTH1,0.0015264582542942502
GSE12251,FTL,0.28145768484462164
GSE12251,HAMP,0.37217143978212575
GSE12251,SLC40A1,0.7349852214121391
GSE73661,TFRC,0.6355233585008789
GSE73661,FTH1,0.1314504582777567
GSE73661,FTL,0.7283618252793107
GSE73661,HAMP,0.5478570874990312
GSE73661,SLC40A1,0.10055597025579527
