species,metabolite,correlation,p_value,fdr
Anaerotruncus_Anaerotruncus_unclassified,HILp_QI23019,-0.7958747135217722,1.8398178214866508e-08,0.00043438098765299823
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,C18n_QI13811,-0.7414820473644003,5.254138541263945e-07,0.004954543428367389
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,C18n_QI13897,-0.7365928189457601,6.819463675349453e-07,0.004954543428367389
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,C18n_QI13694,-0.7326203208556149,8.393974465679609e-07,0.004954543428367389
Adlercreutzia_Adlercreutzia_equolifaciens,C8p_QI28471,-0.6611153552330022,2.078394642694976e-05,0.03093364232826976
Bacteroides_Bacteroides_sp_4_3_47FAA,HILp_QI12743,-0.6663101604278074,1.6946221273431632e-05,0.03093364232826976
Paraprevotella_Paraprevotella_clara,HILp_QI24677,0.6507257448433919,3.090588633927632e-05,0.03093364232826976
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,C8p_QI26993,-0.6397249809014514,4.6299716176379084e-05,0.03093364232826976
Bacteroides_Bacteroides_sp_4_3_47FAA,HILp_QI13068,-0.6647822765469823,1.800219568223642e-05,0.03093364232826976
Rothia_Rothia_mucilaginosa,HILp_QI21980,0.6415584415584416,4.333097227932698e-05,0.03093364232826976
Anaerotruncus_Anaerotruncus_unclassified,C8p_QI21287,-0.6369747899159663,5.109750321061079e-05,0.03093364232826976
Streptococcus_Streptococcus_salivarius,HILp_QI11300,0.6467532467532467,3.582846814609556e-05,0.03093364232826976
Bilophila_Bilophila_wadsworthia,C8p_QI25771,-0.6883116883116883,6.819023908004059e-06,0.03093364232826976
Bacteroides_Bacteroides_finegoldii,HILp_QI13916,-0.6510313216195569,3.0553823772202155e-05,0.03093364232826976
Bilophila_Bilophila_wadsworthia,C8p_QI10696,-0.655920550038197,2.5392251541618342e-05,0.03093364232826976
Coprococcus_Coprococcus_catus,HILp_QI10795,-0.6660045836516425,1.715281261111968e-05,0.03093364232826976
Anaerotruncus_Anaerotruncus_unclassified,HILp_QI11297,-0.6495034377387318,3.235109129738187e-05,0.03093364232826976
Oscillibacter_Oscillibacter_sp_KLE_1745,HILn_QI857,-0.6400305576776164,4.5792531932270026e-05,0.03093364232826976
Bilophila_Bilophila_wadsworthia,C8p_QI11162,-0.652864782276547,2.8516483284113215e-05,0.03093364232826976
Lachnospiraceae_noname_Lachnospiraceae_bacterium_5_1_63FAA,HILp_QI19735,-0.6406417112299465,4.4793166657294325e-05,0.03093364232826976
Proteus_Proteus_mirabilis,C8p_QI29869,0.655920550038197,2.5392251541618342e-05,0.03093364232826976
Dorea_Dorea_longicatena,HILp_QI25289,0.6467532467532467,3.582846814609556e-05,0.03093364232826976
Oscillibacter_Oscillibacter_sp_KLE_1745,HILp_QI11512,-0.6626432391138273,1.9580771948665332e-05,0.03093364232826976
Granulicella_Granulicella_unclassified,HILp_QI17419,0.6611153552330022,2.078394642694976e-05,0.03093364232826976
Bacteroides_Bacteroides_cellulosilyticus,C8p_QI14980,-0.6369747899159663,5.109750321061079e-05,0.03093364232826976
Eubacterium_Eubacterium_rectale,HILp_QI16460,-0.6470588235294117,3.542609274261464e-05,0.03093364232826976
Bilophila_Bilophila_unclassified,HILp_QI11297,-0.6369747899159663,5.109750321061079e-05,0.03093364232826976
Subdoligranulum_Subdoligranulum_unclassified,HILp_QI22738,0.6488922841864018,3.309634604369879e-05,0.03093364232826976
Clostridium_Clostridium_clostridioforme,C18n_QI13819,0.6485867074102367,3.347475825744664e-05,0.03093364232826976
Megamonas_Megamonas_unclassified,HILp_QI13328,-0.6443086325439266,3.9199047015047395e-05,0.03093364232826976
Subdoligranulum_Subdoligranulum_unclassified,HILn_QI27030,0.6436974789915966,4.0085208567690686e-05,0.03093364232826976
Bilophila_Bilophila_wadsworthia,C8p_QI12081,-0.6388082505729564,4.785180793281204e-05,0.03093364232826976
Anaerotruncus_Anaerotruncus_unclassified,HILp_QI14161,-0.6601986249045072,2.153758601970954e-05,0.03093364232826976
Bilophila_Bilophila_unclassified,HILp_QI22179,-0.6598930481283422,2.179424208747619e-05,0.03093364232826976
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,C8p_QI26390,-0.6537815126050419,2.754458918779121e-05,0.03093364232826976
Pantoea_Pantoea_unclassified,C8p_QI27840,0.6385026737967914,4.8379501438486184e-05,0.03093364232826976
Oscillibacter_Oscillibacter_sp_KLE_1745,HILp_QI17886,-0.6372803666921313,5.0543143215721414e-05,0.03093364232826976
Bilophila_Bilophila_unclassified,HILp_QI14161,-0.6476699770817418,3.4633560076961336e-05,0.03093364232826976
Morganella_Morganella_morganii,HILp_QI17793,0.6394194041252865,4.6811960444958905e-05,0.03093364232826976
Streptococcus_Streptococcus_thermophilus,HILn_QI1148,-0.6351413292589763,5.454030310328969e-05,0.03219241390671674
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,HILp_QI11940,-0.6320855614973262,6.074507758872192e-05,0.0332638463132502
Klebsiella_Klebsiella_oxytoca,HILp_QI5364,0.6308632543926661,6.339996120695719e-05,0.0332638463132502
