feature	importance
alphamissense	0.21457960743474983
girdin_interface_distance	0.17631339344192543
revel	0.10154864411797344
plddt	0.0968991454043143
ripk2_interface_distance	0.06113046553096609
active_site_distance	0.0603766035130921
nsasa	0.04547596244220832
rsasa	0.042996612076859994
mutation_energy	0.035032412508677654
phastcons_100way	0.026525952755479282
phylop_100way	0.026174251125409435
cadd_phred	0.020513473537243428
polyphen2_hdiv	0.020403709390692266
grantham_distance	0.018042107431602276
domain_WH	0.01791427966098034
polyphen2_hvar	0.01766257122564607
gerp_rs	0.009164655362435669
sift	0.0036815211488568427
domain_LRR	0.0028729851143238973
domain_NACHT	0.0023121672665346884
domain_CARD2	0.00037028078984957784
disrupts_girdin_domain	9.19872017914331e-06
domain_CARD1	0.0
domain_linker	0.0
