residue_pos,predicted_class,color,max_prob,confidence
334,GOF,red,0.9999980620857875,high
1007,LOF,blue,0.5000017011181445,low
246,GOF,red,0.9999953213573967,high
456,GOF,red,0.9999950897329476,high
240,GOF,red,0.9999949949611351,high
240,GOF,red,0.9999946342294661,high
253,GOF,red,0.9999925371364138,high
677,GOF,red,0.9999920583239303,high
746,GOF,red,0.9999853662085673,high
483,GOF,red,0.9999868917752504,high
748,GOF,red,0.9999575951848174,high
488,GOF,red,0.9999832354775078,high
514,GOF,red,0.9999827229980405,high
677,GOF,red,0.9999815210098701,high
547,GOF,red,0.7218696354760721,moderate
547,GOF,red,0.7218673308605701,moderate
557,GOF,red,0.9999748344701872,high
557,GOF,red,0.999959244572546,high
905,GOF,red,0.9999473551079959,high
487,GOF,red,0.999955429474007,high
495,GOF,red,0.9999476437635075,high
878,GOF,red,0.999873202502072,high
850,GOF,red,0.9999056638179105,high
783,GOF,red,0.9984868240806648,high
469,GOF,red,0.9998785950724205,high
513,GOF,red,0.9998600429274496,high
683,GOF,red,0.9998566218184639,high
1031,LOF,blue,0.4999927886391329,low
1006,GOF,red,0.49992972216822124,low
806,GOF,red,0.9997669711646855,high
835,GOF,red,0.5018961217192704,low
974,LOF,blue,0.4999302658448037,low
517,GOF,red,0.9997178668348897,high
670,GOF,red,0.9990113514119989,high
426,GOF,red,0.9997019715932308,high
299,GOF,red,0.9996187384259552,high
817,GOF,red,0.9995861857505406,high
493,GOF,red,0.9995834272560146,high
877,GOF,red,0.7928603225527662,moderate
703,GOF,red,0.7196471776076294,moderate
864,GOF,red,0.9895370774551053,high
244,GOF,red,0.4999986302037102,low
786,GOF,red,0.9993432003618368,high
1033,LOF,blue,0.9992199670859376,high
769,GOF,red,0.5320716405200838,low
786,GOF,red,0.503779213321808,low
748,GOF,red,0.9992725817813306,high
823,GOF,red,0.6121862649831004,moderate
605,GOF,red,0.9992504753369658,high
1035,GOF,red,0.49998293042363195,low
751,GOF,red,0.6970685314918628,moderate
1009,LOF,blue,0.9991519687816175,high
380,GOF,red,0.9989276279234597,high
268,GOF,red,0.998684409962215,high
519,GOF,red,0.989601471210759,high
333,GOF,red,0.9986313128825427,high
267,GOF,red,0.4997772150616956,low
646,GOF,red,0.49975193351999975,low
938,LOF,blue,0.9985319170141504,high
775,GOF,red,0.9809516197478287,high
729,GOF,red,0.4998637719944433,low
1013,GOF,red,0.5383500959175541,low
233,GOF,red,0.9978468313874435,high
680,GOF,red,0.997776147616483,high
648,LOF,blue,0.5026387074971975,low
982,GOF,red,0.9895669086947946,high
976,LOF,blue,0.9965927432443712,high
934,LOF,blue,0.4999948818515218,low
612,GOF,red,0.9959154557043507,high
603,GOF,red,0.9952891882907244,high
859,GOF,red,0.6149709723677547,moderate
999,LOF,blue,0.49977407813446156,low
900,GOF,red,0.8189270183397424,high
663,GOF,red,0.9030271727186697,high
426,GOF,red,0.9918782960771957,high
958,GOF,red,0.4999809274498158,low
980,GOF,red,0.49751949367877313,low
926,GOF,red,0.4964401359644937,low
971,LOF,blue,0.679554987110371,moderate
952,LOF,blue,0.9861234866524258,high
268,GOF,red,0.9856724811150017,high
301,GOF,red,0.9853185078007737,high
1040,LOF,blue,0.9791613642690711,high
954,GOF,red,0.5617669549442302,low
680,GOF,red,0.9766188414539798,high
680,GOF,red,0.9757056612285122,high
823,GOF,red,0.9070488298732649,high
617,GOF,red,0.6816543576381355,moderate
455,GOF,red,0.9626184269560576,high
708,GOF,red,0.9229470990652882,high
781,GOF,red,0.9467098011202859,high
802,GOF,red,0.6635303196783847,moderate
509,GOF,red,0.9518582336622519,high
749,GOF,red,0.9510225409991142,high
356,LOF,blue,0.4730857386114281,low
302,GOF,red,0.9205334105204735,high
8,LOF,blue,0.9089777215754928,high
825,GOF,red,0.9013302397464283,high
498,GOF,red,0.892464666146406,high
889,GOF,red,0.49957627077383304,low
509,GOF,red,0.8974626617179369,high
550,LOF,blue,0.5001279697552518,low
968,LOF,blue,0.8850210591675047,high
732,GOF,red,0.6738926829505346,moderate
737,GOF,red,0.5006347811426585,low
832,GOF,red,0.7247609051190942,moderate
888,GOF,red,0.5053477464713833,low
883,GOF,red,0.8048792564592818,high
648,LOF,blue,0.8055620435663027,high
974,LOF,blue,0.8018219511631606,high
821,GOF,red,0.787438283975254,moderate
520,GOF,red,0.775261166737122,moderate
356,LOF,blue,0.47308574930333797,low
749,GOF,red,0.7553256702656185,moderate
582,LOF,blue,0.7512706090343404,moderate
496,GOF,red,0.7658918616415977,moderate
800,GOF,red,0.7334892539452259,moderate
867,GOF,red,0.535578626825783,low
739,GOF,red,0.7080235423065673,moderate
547,LOF,blue,0.5000032116645932,low
458,GOF,red,0.673911381581836,moderate
265,GOF,red,0.6629879693059835,moderate
966,LOF,blue,0.6518649014575503,moderate
380,GOF,red,0.6373547440304992,moderate
602,GOF,red,0.5135821545248277,low
1028,LOF,blue,0.6157126086419474,moderate
498,GOF,red,0.6091238045340168,moderate
656,LOF,blue,0.5975082328431812,low
511,GOF,red,0.600800303307899,moderate
268,GOF,red,0.596204285869022,low
793,GOF,red,0.5841879207246781,low
766,GOF,red,0.5647840813275199,low
573,LOF,blue,0.49875557227422374,low
480,GOF,red,0.5785192319534876,low
987,LOF,blue,0.564013521279676,low
8,LOF,blue,0.562627554218766,low
566,LOF,blue,0.49994857886435873,low
973,LOF,blue,0.5475890166209401,low
856,GOF,red,0.5088551144353243,low
734,GOF,red,0.4999988593742904,low
880,LOF,blue,0.5296844948938999,low
451,GOF,red,0.5295633364229039,low
1019,LOF,blue,0.526210894582819,low
880,LOF,blue,0.5261279787478585,low
