sample_id,early_score,late_score,risk_delta,score_trend,peak_fraction,std_score,group,pattern
p00917,0.5846239711557116,0.6657807954720089,0.08115682431629723,0.08115682431629723,0.35,0.15912896848835606,FP,escalating
p01155,0.421642648823121,0.8799210962127236,0.4582784473896026,0.4582784473896026,0.58,0.23337933183555956,FP,escalating
p01632,0.3630964176522361,0.8524824182192484,0.4893860005670123,0.4893860005670123,1.0,0.2590802012470504,FP,escalating
p01652,0.5041839467982451,0.5872994934519132,0.08311554665366816,0.08311554665366816,0.2857142857142857,0.203889003757697,FP,escalating
p02378,0.3388512421399355,0.3658295544485251,0.026978312308589603,0.026978312308589603,0.3707865168539326,0.30222426080306086,FP,stable
p02732,0.7155016329553392,0.48738104436132645,-0.22812058859401274,-0.22812058859401274,0.10714285714285714,0.17802184000141447,FP,declining
p02855,0.7542371317744255,0.3586940482258797,-0.39554308354854584,-0.39554308354854584,0.16393442622950818,0.20794247082646325,FP,declining
p02966,0.6442017642160257,0.23124853149056435,-0.41295323272546136,-0.41295323272546136,0.2,0.2684226847455558,FP,declining
p03018,0.8863516620227269,0.4945102355309895,-0.39184142649173737,-0.39184142649173737,0.09302325581395349,0.1946814928924487,FP,declining
p03314,0.7953010762439054,0.6763639274765464,-0.11893714876735906,-0.11893714876735906,0.17647058823529413,0.15917610178283068,FP,declining
p03890,0.70867641384785,0.8324927527170914,0.12381633886924148,0.12381633886924148,0.06493506493506493,0.13133934414232312,FP,escalating
p03973,0.49901543083516037,0.8803945779800415,0.38137914714488114,0.38137914714488114,0.6567164179104478,0.20508927070303126,FP,escalating
p05753,0.248701037706009,0.8196606061288289,0.5709595684228199,0.5709595684228199,0.6428571428571429,0.3044717270486277,FP,escalating
p05977,0.8320824040306939,0.8301724096139272,-0.0019099944167666472,-0.0019099944167666472,0.37037037037037035,0.05302104928419271,FP,stable
p06489,0.08252219296991825,0.831676721572876,0.7491545286029577,0.7491545286029577,1.0,0.3835075914008334,FP,escalating
p06576,0.5063291877508164,0.5533952742815018,0.04706608653068545,0.04706608653068545,0.5862068965517241,0.18282183860241635,FP,stable
p06664,0.6308670317133268,0.4803288330634435,-0.15053819864988333,-0.15053819864988333,0.6197183098591549,0.15826814548868023,FP,declining
p06671,0.24576382959882417,0.7558596730232239,0.5100958434243997,0.5100958434243997,0.8823529411764706,0.24778239449379186,FP,escalating
p06713,0.9165621995925904,0.9320110380649567,0.015448838472366222,0.015448838472366222,0.42857142857142855,0.019096663739350813,FP,stable
p06897,0.6408728978463581,0.7994994819164276,0.15862658407006947,0.15862658407006947,0.16279069767441862,0.1779902333330273,FP,escalating
p07574,0.7621609065681696,0.5917019248008728,-0.1704589817672968,-0.1704589817672968,0.6842105263157895,0.14658697488774017,FP,declining
p07706,0.7791791124777361,0.4992949962615967,-0.2798841162161394,-0.2798841162161394,0.03125,0.18351955227976968,FP,declining
p00018,0.2766288071870804,0.11354127526283264,-0.16308753192424774,-0.16308753192424774,0.0,0.08900834220394532,TN,declining
p00056,0.08806068929178375,0.028639168345502446,-0.0594215209462813,-0.0594215209462813,0.15,0.03929952999428159,TN,declining
p00062,0.14179841615259647,0.39214175194501877,0.2503433357924223,0.2503433357924223,0.782608695652174,0.1482982367556468,TN,escalating
p00090,0.14105341117829084,0.06475385325029492,-0.07629955792799592,-0.07629955792799592,0.0,0.050313984398462165,TN,declining
p00101,0.44704109004565645,0.31263094927583424,-0.13441014076982222,-0.13441014076982222,0.35,0.14832983394914878,TN,declining
p00104,0.2603461220860481,0.5230659047762553,0.2627197826902071,0.2627197826902071,0.918918918918919,0.15587478981842326,TN,escalating
p00111,0.4371776531996398,0.668503594809565,0.2313259416099252,0.2313259416099252,0.46511627906976744,0.16590562502389947,TN,escalating
p00115,0.6527690241734186,0.7042382558186849,0.05146923164526629,0.05146923164526629,0.4444444444444444,0.1348099816896691,TN,escalating
p00125,0.1614254457609994,0.0785592288843223,-0.0828662168766771,-0.0828662168766771,0.0,0.057518034873085384,TN,declining
p00140,0.10205128276720643,0.2694168221205473,0.16736553935334086,0.16736553935334086,0.8,0.10914436458503199,TN,escalating
p00146,0.3297952214876811,0.4678180515766144,0.1380228300889333,0.1380228300889333,0.5,0.08679204765944704,TN,escalating
p00180,0.4899657105698305,0.44368700157193575,-0.04627870899789477,-0.04627870899789477,0.3076923076923077,0.17693037059002922,TN,stable
p00195,0.601725235581398,0.41852719336748123,-0.18319804221391678,-0.18319804221391678,0.043478260869565216,0.13655550738947042,TN,declining
p00212,0.5250616182883581,0.48851277828216555,-0.03654884000619252,-0.03654884000619252,0.34782608695652173,0.12598920691952975,TN,stable
p00247,0.19359311709801355,0.05564460530877113,-0.13794851178924242,-0.13794851178924242,0.2222222222222222,0.075342107152308,TN,declining
p00261,0.12610074213665465,0.06829550133451172,-0.05780524080214293,-0.05780524080214293,0.0,0.05588120140805374,TN,declining
p00262,0.22242186466852823,0.25500767429669696,0.03258580962816873,0.03258580962816873,0.9444444444444444,0.08038813431983484,TN,stable
p00269,0.23235307953187398,0.31923216794218334,0.08687908841030936,0.08687908841030936,0.5116279069767442,0.16222356815643507,TN,escalating
p00275,0.11397816240787506,0.027896820257107418,-0.08608134215076764,-0.08608134215076764,0.0,0.03916091094546078,TN,declining
p00306,0.5087002739310265,0.5194360539317131,0.010735780000686646,0.010735780000686646,0.08,0.11662580898491348,TN,stable
p00318,0.4450495332479477,0.3699716791510582,-0.0750778540968895,-0.0750778540968895,0.2413793103448276,0.12887860740958323,TN,declining
p00326,0.2720533204264939,0.3055738350376487,0.033520514611154795,0.033520514611154795,0.3617021276595745,0.14122484247567937,TN,stable
p00340,0.13518294226378202,0.25156272894569803,0.11637978668191601,0.11637978668191601,0.9761904761904762,0.11364454843425988,TN,escalating
p00345,0.1556524826834599,0.2500397649904092,0.09438728230694929,0.09438728230694929,0.9714285714285714,0.10127221893868929,TN,escalating
p00387,0.2478423480476652,0.5171394028833934,0.26929705483572824,0.26929705483572824,0.7,0.23764739154944756,TN,escalating
p00454,0.07905886938365606,0.027130613676630534,-0.05192825570702552,-0.05192825570702552,0.05,0.030689740534606096,TN,declining
p00456,0.5030228126616705,0.2760779687336513,-0.22694484392801917,-0.22694484392801917,0.03225806451612903,0.18594265944809613,TN,declining
p00465,0.3069829881191254,0.15637975037097931,-0.15060323774814607,-0.15060323774814607,0.0,0.08586463379796874,TN,declining
p00466,0.07268032973462885,0.07091278244148601,-0.0017675472931428376,-0.0017675472931428376,0.0,0.03201941297302138,TN,stable
p00489,0.358944339884652,0.2646549592415492,-0.09428938064310283,-0.09428938064310283,0.35714285714285715,0.09802231436663877,TN,declining
p00491,0.1826976679265499,0.035756134614348414,-0.1469415333122015,-0.1469415333122015,0.034482758620689655,0.11265369473243617,TN,declining
