domain,feature,category,cohens_d,t_pvalue,abs_d,direction
composer_sepsis,mean_score,temporal_risk,2.304,0.0,2.304,elevated_in_FP
composer_sepsis,late_score,temporal_risk,1.945,0.0,1.945,elevated_in_FP
sepsis,sbp,hemodynamic,-1.688,0.0025,1.688,suppressed_in_FP
crc,prot_CXCL8,inflammatory,-1.665,0.0,1.665,suppressed_in_FP
sepsis,map,hemodynamic,-1.568,0.005,1.568,suppressed_in_FP
sepsis,creatinine,renal,1.373,0.0211,1.373,elevated_in_FP
sepsis,bun,renal,1.371,0.0226,1.371,elevated_in_FP
composer_sepsis,early_score,temporal_risk,1.365,0.0,1.365,elevated_in_FP
crc,prot_SEPT9,tissue_remodeling,1.241,0.0012,1.241,elevated_in_FP
composer_sepsis,std_score,temporal_risk,1.214,0.0001,1.214,elevated_in_FP
sepsis,bilirubin_total,hepatic,0.968,0.3564,0.968,elevated_in_FP
crc,prot_TIMP1,tissue_remodeling,0.829,0.0357,0.829,elevated_in_FP
sepsis,temperature,other,-0.795,0.1297,0.795,suppressed_in_FP
crc,prot_S100A4,tissue_remodeling,0.771,0.0366,0.771,elevated_in_FP
sepsis,lactate,metabolic,0.766,0.287,0.766,elevated_in_FP
sepsis,resp_rate,respiratory,0.761,0.1251,0.761,elevated_in_FP
sepsis,albumin,hepatic,0.752,0.3131,0.752,elevated_in_FP
sepsis,ast,hepatic,0.749,0.4502,0.749,elevated_in_FP
sepsis,potassium,metabolic,0.675,0.1639,0.675,elevated_in_FP
composer_sepsis,n_timepoints,monitoring_intensity,0.574,0.0227,0.574,elevated_in_FP
sepsis,heart_rate,hemodynamic,0.549,0.2054,0.549,elevated_in_FP
sepsis,spo2,respiratory,-0.533,0.2977,0.533,suppressed_in_FP
composer_sepsis,n_alerts,monitoring_intensity,-0.516,0.0005,0.516,suppressed_in_FP
sepsis,bicarbonate,metabolic,-0.503,0.2269,0.503,suppressed_in_FP
sepsis,wbc,hematologic,0.464,0.3136,0.464,elevated_in_FP
sepsis,glucose,metabolic,0.452,0.264,0.452,elevated_in_FP
sepsis,inr,hematologic,0.445,0.394,0.445,elevated_in_FP
sepsis,platelets,hematologic,-0.396,0.3567,0.396,suppressed_in_FP
crc,prot_ERBB2,other,-0.392,0.1343,0.392,suppressed_in_FP
crc,prot_SPP1,inflammatory,-0.327,0.3404,0.327,suppressed_in_FP
crc,prot_MMP9,tissue_remodeling,0.308,0.4007,0.308,elevated_in_FP
sepsis,pao2,respiratory,-0.302,0.483,0.302,suppressed_in_FP
sepsis,sodium,metabolic,0.155,0.7313,0.155,elevated_in_FP
sepsis,ptt,hematologic,-0.139,0.6522,0.139,suppressed_in_FP
sepsis,alt,hepatic,0.118,0.84,0.118,elevated_in_FP
sepsis,chloride,metabolic,-0.098,0.8196,0.098,suppressed_in_FP
sepsis,hematocrit,hematologic,0.071,0.8771,0.071,elevated_in_FP
sepsis,hemoglobin,hematologic,0.07,0.8734,0.07,elevated_in_FP
