feature,fp_mean,fp_std,fp_median,fp_n,tn_mean,tn_std,tn_median,tn_n,mean_diff,cohens_d,t_statistic,t_pvalue,ks_statistic,ks_pvalue
bicarbonate,19.75,2.598076211353316,19.5,4,24.34722222222222,3.5031564126270758,24.0,72,-4.597222222222221,-1.4906689643514486,-3.3727097279653604,0.0323938090824854,0.6805555555555556,0.03163584637268847
resp_rate,26.625,5.706356105256663,26.0,4,18.568493150684933,3.540749948509369,18.0,73,8.056506849315067,1.69658782981346,2.794373907502536,0.06499154404934464,0.7671232876712328,0.00884520884520885
map,60.125,15.013188646431288,64.5,4,78.17123287671232,8.598376452887532,77.0,73,-18.046232876712324,-1.4751220263061964,-2.3827333863109645,0.0943485596264096,0.684931506849315,0.028523396944449567
glucose,190.75,44.09365033652805,180.5,4,140.28472222222223,42.26466129389836,128.0,72,50.46527777777777,1.1684796159505537,2.2327315743055345,0.10326399165844777,0.75,0.011487363354702936
creatinine,1.6374999999999997,0.7739239842086129,1.775,4,0.8138888888888888,0.35397364251186025,0.75,72,0.823611111111111,1.368646345000098,2.1161419701002555,0.12256865597180015,0.7083333333333334,0.021309846255772712
sbp,97.125,23.910858760543643,107.0,4,120.91095890410959,14.883189264362771,119.5,73,-23.78595890410959,-1.1943559367733878,-1.9687647280038125,0.13983744958033012,0.6575342465753424,0.04106039053407476
temperature,36.208333333333336,0.9543327662857343,36.666666666666664,4,36.91567732115678,0.2990702649478693,36.888888888888886,73,-0.7073439878234424,-1.0002384163267888,-1.478411847342515,0.23489462453793755,0.7397260273972602,0.013166577377103694
bun,38.75,30.467195473164246,29.5,4,16.72222222222222,9.687326150694098,15.0,72,22.02777777777778,0.9744065704960098,1.4419559555340866,0.24402252657727688,0.4583333333333333,0.3142648921452094
potassium,4.625,1.0626225419530053,4.3,4,3.9890410958904114,0.456454221824056,3.8499999999999996,73,0.6359589041095886,0.7776682615981624,1.1909556142500675,0.31777352107757817,0.4041095890410959,0.45960651013282594
wbc,19.3125,11.868893166593084,19.725,4,12.213970588235293,7.698230294734227,11.149999999999999,68,7.098529411764707,0.7096163684871141,1.181625774344733,0.31881567529483174,0.47058823529411764,0.2858678641899707
bilirubin_total,2.516666666666667,3.063630743633008,0.9,3,0.4130434782608695,0.25770728254797315,0.3,23,2.1036231884057974,0.9676436047689039,1.1887535751619518,0.3563584866084688,0.6521739130434783,0.13846153846153844
inr,1.575,0.6089608635481703,1.575,4,1.2443548387096772,0.2286999678707278,1.2,62,0.33064516129032273,0.7188473294329764,1.0810250811685451,0.35755237985722016,0.4838709677419355,0.25196470196470194
chloride,107.25,5.852349955359813,107.5,4,104.13013698630137,4.6150624448498,104.0,73,3.119863013698634,0.5919883733487066,1.0484779035816456,0.36690269114718965,0.4486301369863014,0.3295501653396388
sodium,141.25,7.3086706497602325,141.5,4,137.55479452054794,3.66246126623016,138.0,73,3.6952054794520564,0.6392443833664359,1.0042982432686556,0.38741979107087404,0.4726027397260274,0.2681487502540134
spo2,93.125,7.487489565935968,94.5,4,96.79452054794521,1.8779340311273882,97.0,73,-3.6695205479452113,-0.6722654263514906,-0.9784888864148359,0.3995446424137698,0.5,0.2098147087620771
pao2,88.5,68.58935777509511,88.5,2,147.07692307692307,95.03258017936037,113.0,39,-58.576923076923066,-0.7068321457021697,-1.15237946576814,0.42835571502269604,0.47435897435897434,0.6475609756097561
ast,1437.8333333333333,2370.318034216787,128.5,3,163.52380952380952,404.2174685794293,29.0,21,1274.3095238095239,0.7494771884630147,0.9292416468539093,0.4501670606369408,0.42857142857142855,0.6264822134387351
lactate,6.95,7.000357133746821,6.95,2,1.79625,0.8539791851783911,1.7,40,5.1537500000000005,1.0334998695533304,1.0407744743727851,0.48707863102011933,0.6,0.3554006968641114
heart_rate,92.625,19.728891673549903,89.75,4,85.58904109589041,13.044885775700202,86.0,73,7.035958904109592,0.42070507908567006,0.7048715424394602,0.5295233112775125,0.363013698630137,0.5940780698675435
platelets,189.25,129.57719706800268,179.0,4,220.27611940298507,90.1397182989598,193.0,67,-31.026119402985074,-0.2779766785918411,-0.47211110926538213,0.6674066803271714,0.2574626865671642,0.9036304785233139
hematocrit,30.6,6.7681853796518725,31.375,4,31.610294117647058,4.950972758507894,31.075,68,-1.0102941176470566,-0.17038131135715534,-0.2939516395649385,0.7868844849569226,0.3382352941176471,0.6910681480185459
hemoglobin,10.087499999999999,2.310257922108842,10.175,4,10.431617647058822,1.864113258276957,10.175,68,-0.3441176470588232,-0.16393795972048283,-0.2923583408634895,0.7877776703814034,0.39705882352941174,0.49752427609133054
alt,290.1666666666667,453.3658382954469,40.0,3,225.54761904761904,628.6441740913914,31.0,21,64.61904761904765,0.11790559525621294,0.21866193605705084,0.8400280043808257,0.3333333333333333,0.8932806324110673
ptt,34.1375,9.682576705953156,33.675,4,33.8952380952381,13.071061098810913,29.8,63,0.24226190476190368,0.021062075229520562,0.047374988604355385,0.9646398951467007,0.35714285714285715,0.6101894374282434
albumin,2.966666666666667,0.2516611478423583,3.0,3,2.961111111111111,0.7632275806529013,3.0,18,0.00555555555555598,0.009776350662539708,0.02402479507776479,0.9813030517132776,0.3888888888888889,0.7421052631578948
