ModelID,CellLineName,OncotreeSubtype,MTAP_CN_log2,MTAP_deleted,MTAP_expression,KRAS_status,KRAS_allele,STK11_mut,KEAP1_mut,TP53_mut,NFE2L2_mut
ACH-000012,HCC-827,Lung Adenocarcinoma,1.0778429970729888,False,6.584699485464188,False,WT,False,False,True,False
ACH-000015,NCI-H1581,Large Cell Lung Carcinoma,0.7533712255203899,False,3.893449585341169,False,WT,False,False,True,False
ACH-000021,NCI-H1693,Lung Adenocarcinoma,0.8734179441266273,False,4.7741070540337605,False,WT,False,False,True,False
ACH-000029,HCC-827-GR5,Lung Adenocarcinoma,1.045438562776796,False,7.19953493876541,False,WT,False,False,True,False
ACH-000030,PC-14,Lung Adenocarcinoma,0.8277953533117745,False,4.294179602713216,False,WT,False,False,True,False
ACH-000033,NCI-H1819,Lung Adenocarcinoma,,False,4.090582476362442,False,WT,False,False,False,False
ACH-000035,NCI-H1650,Non-Small Cell Lung Cancer,7.49469295065984e-05,True,2.0752895944509904,False,WT,False,False,True,False
ACH-000062,RERF-LC-MS,Lung Adenocarcinoma,1.0552853113106628,False,4.834468521710303,False,WT,False,True,True,False
ACH-000066,HCC4006,Lung Adenocarcinoma,,False,5.5065733814817435,False,WT,False,False,True,False
ACH-000109,NCI-H3255,Lung Adenocarcinoma,,False,0.105763886200093,False,WT,False,False,True,False
ACH-000121,NCI-H2405,Lung Adenocarcinoma,,False,6.103537504198778,False,WT,False,False,True,False
ACH-000143,HCC2429,NUT Carcinoma of the Lung,0.9959061300274644,False,5.293444059187092,False,WT,False,False,True,False
ACH-000150,HCC2935,Lung Adenocarcinoma,1.1869020767157783e-05,True,0.3944790207667235,False,WT,False,True,True,False
ACH-000161,COR-L105,Lung Adenocarcinoma,,False,5.092355455616345,False,WT,False,False,False,False
ACH-000176,LOU-NH91,Lung Squamous Cell Carcinoma,,False,4.804435665552785,False,WT,False,False,True,False
ACH-000186,NCI-H2444,Non-Small Cell Lung Cancer,,False,4.573725946647555,True,G12V,False,False,True,False
ACH-000251,NCI-H2887,Non-Small Cell Lung Cancer,0.9565405664584004,False,5.897160542597566,True,G12V,False,False,True,False
ACH-000261,RERF-LC-AI,Lung Squamous Cell Carcinoma,0.650379872122987,False,4.45049205834146,False,WT,False,False,True,False
ACH-000264,Calu-6,Lung Adenocarcinoma,0.8723293915258441,False,4.607129062251169,True,Q61,False,False,True,False
ACH-000282,NCI-H1755,Lung Adenocarcinoma,,False,0.1366140248328061,False,WT,False,False,False,False
ACH-000309,SK-LU-1,Lung Adenocarcinoma,,False,,True,G12D,False,False,True,False
ACH-000311,NCI-H2122,Lung Adenocarcinoma,0.7975700350019588,False,5.612591355303947,True,G12C,True,True,True,False
ACH-000314,HCC-2108,Lung Adenocarcinoma,0.7846896084571204,False,6.634906863717264,True,Q61,True,False,True,False
ACH-000327,NCI-H1395,Lung Adenocarcinoma,,False,3.507528271910241,False,WT,True,False,False,False
ACH-000337,NCI-H3122,Lung Adenocarcinoma,0.0001523619408576,True,0.0,False,WT,False,False,True,False
ACH-000339,HCC-461,Lung Adenocarcinoma,,False,5.294576640343491,True,G12D,False,False,True,False
ACH-000343,NCI-H522,Lung Adenocarcinoma,0.9851963886328852,False,6.994839910805181,False,WT,False,False,True,False
ACH-000378,NCI-H647,Lung Adenosquamous Carcinoma,1.116823545933868e-05,True,0.2063769134057017,True,G13,True,True,True,False
ACH-000379,NCI-H1781,Lung Adenocarcinoma,,False,4.741774369045022,False,WT,False,False,True,False
ACH-000390,LUDLU-1,Lung Squamous Cell Carcinoma,1.1924269484612896e-05,True,0.07381886255939,False,WT,False,True,True,False
ACH-000392,Calu-3,Lung Adenocarcinoma,,False,5.537581844003972,False,WT,True,False,True,False
ACH-000395,NCI-H520,Lung Squamous Cell Carcinoma,1.13703482039672,False,5.438286197066379,False,WT,False,False,True,False
ACH-000414,NCI-H1944,Lung Adenocarcinoma,,False,3.941679142504295,True,G13,True,True,False,False
ACH-000416,NCI-H838,Lung Adenocarcinoma,1.2606786219139447e-05,True,0.0960499543157673,False,WT,True,True,True,False
ACH-000434,NCI-H1915,Large Cell Lung Carcinoma,,False,5.121537661520912,False,WT,True,True,True,False
ACH-000438,Lu-65,Giant Cell Carcinoma of the Lung,0.8723793035105127,False,5.889405397431271,True,G12C,True,False,False,False
ACH-000442,RERF-LC-Sq1,Lung Squamous Cell Carcinoma,,False,0.1520522885071731,False,WT,False,False,True,True
