cancer_type,N_deleted,N_intact,median_dep_deleted,median_dep_intact,cohens_d,ci_lower,ci_upper,p_value,fdr,significant,rank
Liver,5,19,-1.3892769064917336,-1.0838079852719682,-0.7732565708154641,-1.7793191379228868,0.03791955803727375,0.15998494259363824,0.5119518162996424,False,1
Head and Neck,8,69,-1.7340636336686566,-1.302817319956547,-0.6868770269403112,-1.399792610261408,0.1109446055025425,0.026149374192064357,0.2323435404728783,False,2
Skin,17,58,-1.7641891304796695,-1.4499652394703373,-0.6217800459006688,-1.270335115068652,-0.00604221270144709,0.02904294255910979,0.2323435404728783,False,3
Esophagus/Stomach,10,59,-1.559574306601336,-1.41086350254237,-0.4235211360198874,-0.9048694179038204,0.0169706274276475,0.11883451192780224,0.47533804771120897,False,4
Pancreas,17,31,-1.7937403803803753,-1.570993204339175,-0.4034751508354129,-1.0946924491601804,0.13684606976559047,0.05236446084983307,0.279277124532443,False,5
Pleura,8,13,-1.5511104655795713,-1.1514204572343685,-0.36301090466690894,-1.5646409589772747,0.4254951071868382,0.41367143348567503,0.7624912766419534,False,6
Ovary/Fallopian Tube,7,52,-1.694908994215606,-1.5189178088322368,-0.30924296251087924,-0.8520222325375904,0.2084127724048886,0.3382135464467382,0.7624912766419534,False,7
Kidney,5,30,-1.4891231247861505,-1.5308565684829594,-0.3071783344703588,-1.0854306214965126,0.3899174868739606,0.4766689667069173,0.7624912766419534,False,8
Myeloid,16,27,-1.4632964133743778,-1.4436934169603328,-0.2723030038591106,-0.8679363669647582,0.42870616176908516,0.8113409455531062,0.8636511815114518,False,9
Breast,8,45,-1.8320677624951274,-1.776755956332093,-0.2399989953345078,-1.0968375446845178,0.36254469185127053,0.4266316723397508,0.7624912766419534,False,10
CNS/Brain,37,52,-1.1608882109059169,-1.1284084299406305,-0.2136916043955221,-0.6014387879581317,0.19580643175126497,0.48178513482752416,0.7624912766419534,False,11
Bone,14,35,-1.0947021486565873,-1.0635503653835408,-0.11753970376797811,-0.6070929000924831,0.3753165834213161,0.682224371059245,0.8636511815114518,False,12
Lung,26,100,-1.686941107732006,-1.5440586399139862,0.014389444695322608,-0.4271458857218192,0.45020651624451097,0.7379447849039938,0.8636511815114518,False,13
Lymphoid,13,80,-1.5082363698040586,-1.4982567419733455,0.018172231429605577,-0.5279668545859202,0.571884899516221,0.8636511815114518,0.8636511815114518,False,14
Bladder/Urinary Tract,8,26,-1.2395627893448182,-1.2794102341081173,0.06868842651725357,-0.7263570810377808,0.8239873207955453,0.857921182203064,0.8636511815114518,False,15
Soft Tissue,9,37,-1.1629372794137922,-1.3061316737194446,0.3667929650455179,-0.4879459279989578,1.4755033386053729,0.5242127526913429,0.7624912766419534,False,16
