cancer_type,tcga_types,n_profiled,n_homdel,homdel_pct,any_loss_pct,us_incidence,eligible_patients_year,cohens_d,fdr,rank,pop_rank,combined_rank
Lung,"LUSC, LUAD",998,157,15.7,66.0,238340,37494,-1.2287485993869065,4.859462681056512e-06,2,1,2
Breast,BRCA,1070,35,3.3,33.0,310720,10163,-1.72754962697287,0.0029565574371889,1,5,5
Bladder/Urinary Tract,BLCA,408,106,26.0,56.6,83190,21613,-0.4905316970398664,0.628222947924577,11,2,22
Esophagus/Stomach,"ESCA, STAD",620,79,12.7,50.2,47770,6086,-0.9655391129984308,0.0321385315450702,4,8,32
Soft Tissue,SARC,253,24,9.5,41.9,13590,1289,-1.0519284544339038,0.039525140309225,3,11,33
Skin,SKCM,367,72,19.6,73.8,100640,19744,-0.4736554336927402,0.1233462871121502,12,3,36
Head and Neck,HNSC,517,75,14.5,49.7,55970,8119,-0.7129114445087691,0.193053116379523,7,6,42
Pancreas,PAAD,183,40,21.9,58.5,66440,14522,-0.4532866864332019,0.0373234155234419,13,4,52
CNS/Brain,"GBM, LGG",1086,289,26.6,55.2,25400,6759,-0.6776185282756915,0.0125062827725673,8,7,56
Kidney,"KIRP, KICH, KIRC",857,14,1.6,22.9,82290,1344,-0.8516199077336305,0.193053116379523,6,10,60
Ovary/Fallopian Tube,OV,572,15,2.6,45.8,19680,516,-0.8982070005283117,0.1233462871121502,5,14,70
Liver,LIHC,367,10,2.7,37.9,41630,1134,-0.6176797861673837,0.3529707007967877,10,12,120
Lymphoid,DLBC,48,7,14.6,27.1,20160,2940,-0.1812283999403116,0.6802508496737699,14,9,126
Myeloid,LAML,191,1,0.5,1.0,23810,124,-0.6417156519187834,0.10461604757423,9,15,135
Pleura,MESO,87,28,32.2,55.2,2500,804,-0.1210920740239638,0.7501007420512065,15,13,195
