cancer_type,N_deleted,N_intact,median_dep_deleted,median_dep_intact,cohens_d,ci_lower,ci_upper,p_value,stronger_than_nsclc,fdr,significant,rank
Breast,8,45,-1.821631458390971,-1.0351618720113993,-1.72754962697287,-2.8313680348280763,-0.8971126265899112,0.0003695696796486237,True,0.0029565574371889897,True,1
Lung,26,100,-1.3833406433536726,-1.010023168710648,-1.2287485993869063,-1.7506880908322526,-0.7645601254277551,3.03716417566032e-07,True,4.859462681056512e-06,True,2
Soft Tissue,9,37,-1.3332840071979104,-1.0783961085923448,-1.0519284544339038,-1.863799111779711,-0.3983585213586112,0.014821927615959407,False,0.03952514030922508,True,3
Esophagus/Stomach,10,59,-1.3973947776902587,-1.1441803195348934,-0.9655391129984308,-1.784386299776038,-0.3055457607680506,0.008034632886267564,False,0.03213853154507026,True,4
Ovary/Fallopian Tube,7,52,-1.3473604907684704,-1.0878327274238533,-0.8982070005283117,-1.8723841598639173,-0.12280630042520956,0.06494894322648263,False,0.12334628711215026,False,5
Kidney,5,30,-1.1909512057000304,-0.842517197333783,-0.8516199077336305,-2.1222341960886557,0.26816485172341875,0.12845314078710662,False,0.19305311637952302,False,6
Head and Neck,8,69,-1.3300509474563071,-1.258716499322828,-0.7129114445087691,-1.4895806092434714,-0.04352891952350246,0.13272401751092208,False,0.19305311637952302,False,7
CNS/Brain,37,52,-1.2660910729708297,-1.0768007592160498,-0.6776185282756915,-1.1429553824339997,-0.2662951333096803,0.0023449280198563753,False,0.012506282772567335,True,8
Myeloid,16,27,-1.3788286476096314,-1.0806857366030005,-0.6417156519187834,-1.2868161166717749,-0.06950898666319913,0.045769520813725664,False,0.10461604757423008,False,9
Liver,5,19,-1.277707871676777,-1.114200359865267,-0.6176797861673837,-1.5722452451234323,0.23587204576942777,0.2647280255975908,False,0.3529707007967877,False,10
Bladder/Urinary Tract,8,26,-1.2033713425894037,-1.1768825802953309,-0.4905316970398664,-1.3318973112976846,0.32848454638566693,0.5104311451887188,False,0.628222947924577,False,11
Skin,17,58,-1.1240571695708044,-0.9543283076025653,-0.4736554336927402,-0.9901087027325315,-0.01745224037684007,0.06938228650058452,False,0.12334628711215026,False,12
Pancreas,17,31,-1.4454808973249371,-1.1004680358125258,-0.45328668643320197,-1.4041234597025363,0.09530414402817969,0.011663567351075621,False,0.03732341552344199,True,13
Lymphoid,13,80,-1.201276512773593,-1.0976689978431637,-0.18122839994031167,-0.9254483002605436,0.5175691912899226,0.6377351715691593,False,0.6802508496737699,False,14
Pleura,8,13,-1.033570995455309,-1.0825247320891016,-0.1210920740239638,-0.8951650898737635,0.7549981943101238,0.7501007420512065,False,0.7501007420512065,False,15
Bone,14,35,-1.055289998259667,-1.108596011119134,0.008704575897193282,-0.6285231038205794,0.7203917995249272,0.6342000064839208,False,0.6802508496737699,False,16
