lineage,subtype,N_deleted,N_intact,median_dep_deleted,median_dep_intact,cohens_d,ci_lower,ci_upper,p_value,fdr,significant,rank,lineage_cohens_d,stronger_than_lineage
Breast,Breast Invasive Ductal Carcinoma,5,17,-1.8426701975907709,-1.015699629788024,-2.6545239287337417,-5.008879987355675,-1.619425293269997,0.000303789777473988,0.002126528442317916,True,1,-1.72754962697287,True
Lung,Lung Adenocarcinoma,14,39,-1.4354911520674787,-1.0116161357569085,-1.6409362375332872,-2.2979420495471605,-1.1201058553127927,7.163529728167008e-06,0.00010028941619433811,True,2,-1.2287485993869065,True
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,5,19,-1.4644977708440878,-1.2714320530292835,-0.9409111672173186,-2.2638104637491634,-0.04987951673313327,0.05288913984566159,0.14808959156785245,False,3,-0.9655391129984308,False
Myeloid,Acute Myeloid Leukemia,6,15,-1.4015342803423985,-1.0451728382404348,-0.9293899731408255,-2.096649010306147,-0.06345176578359545,0.07964764853309746,0.18584451324389406,False,4,-0.6417156519187834,True
CNS/Brain,Glioblastoma,25,25,-1.247214615945336,-1.018313152910126,-0.7394176087082839,-1.4100337677948243,-0.19175013121909038,0.006996807919786316,0.031040449913684372,True,5,-0.6776185282756915,True
Lung,Lung Squamous Cell Carcinoma,5,16,-1.356326426734328,-1.0102891993519965,-0.7334778678341721,-2.2902739817158824,0.4052247482794327,0.17897685389945453,0.35795370779890906,False,6,-1.2287485993869065,False
Bladder/Urinary Tract,Bladder Urothelial Carcinoma,8,22,-1.2033713425894037,-1.1768825802953309,-0.5948059617770712,-1.3111492616572622,0.1517556611521084,0.5042046498118462,0.5882387581138205,False,7,-0.4905316970398664,True
Liver,Hepatocellular Carcinoma,5,16,-1.277707871676777,-1.2225435169563572,-0.5382321626368988,-1.447363481973061,0.32964504843094283,0.31274264091601556,0.48648855253602424,False,8,-0.6176797861673837,False
Pancreas,Pancreatic Adenocarcinoma,17,29,-1.4454808973249371,-1.1004680358125258,-0.4807380363869642,-1.541560614608973,0.04368354804890311,0.008868699975338392,0.031040449913684372,True,9,-0.4532866864332019,True
Skin,Melanoma,14,41,-1.1118421747656702,-0.967253323064361,-0.34663764766019767,-1.0175648846763286,0.25940690557772217,0.20567146503859002,0.35992506381753253,False,10,-0.4736554336927402,False
CNS/Brain,Astrocytoma,6,8,-1.0851337321334513,-1.0609515983603843,-0.2142338549535226,-1.5634913539714228,1.1345901593837646,0.7545787545787546,0.7545787545787546,False,11,-0.6776185282756915,False
Pleura,"Pleural Mesothelioma, Epithelioid Type",5,10,-1.0759280778725313,-1.0811320740082118,-0.146838332076274,-0.9225419674696951,1.034537558569795,0.6786546786546787,0.7308588847050385,False,12,-0.1210920740239638,True
Bone,Ewing Sarcoma,9,18,-1.0226255514825209,-1.136894516765995,0.2731918850628886,-0.5546092133463315,1.395476924467926,0.3960658207089378,0.5495867768595043,False,13,0.0087045758971932,False
Lymphoid,B-Cell Acute Lymphoblastic Leukemia,5,7,-0.8303167955217343,-1.3636210864824725,0.6746530918260757,-0.5945984630664215,3.485765843420951,0.4318181818181819,0.5495867768595043,False,14,-0.1812283999403116,False
