cancer_type,study_id,n_profiled,MTAP_homdel,MTAP_homdel_pct,MTAP_hetloss,MTAP_hetloss_pct,MTAP_any_loss,MTAP_any_loss_pct,MTAP_diploid,MTAP_gain,MTAP_amp
GBM,gbm_tcga_pan_can_atlas_2018,575,244,42.4,181,31.5,425,73.9,130,20,0
MESO,meso_tcga_pan_can_atlas_2018,87,28,32.2,20,23.0,48,55.2,38,1,0
BLCA,blca_tcga_pan_can_atlas_2018,408,106,26.0,125,30.6,231,56.6,118,58,1
PAAD,paad_tcga_pan_can_atlas_2018,183,40,21.9,67,36.6,107,58.5,72,3,1
ESCA,esca_tcga_pan_can_atlas_2018,182,38,20.9,86,47.3,124,68.1,43,15,0
SKCM,skcm_tcga_pan_can_atlas_2018,367,72,19.6,199,54.2,271,73.8,83,12,1
LUSC,lusc_tcga_pan_can_atlas_2018,487,95,19.5,275,56.5,370,76.0,74,41,2
DLBC,dlbc_tcga_pan_can_atlas_2018,48,7,14.6,6,12.5,13,27.1,31,3,1
HNSC,hnsc_tcga_pan_can_atlas_2018,517,75,14.5,182,35.2,257,49.7,175,83,2
LUAD,luad_tcga_pan_can_atlas_2018,511,62,12.1,227,44.4,289,56.6,174,48,0
CHOL,chol_tcga_pan_can_atlas_2018,36,4,11.1,17,47.2,21,58.3,14,1,0
SARC,sarc_tcga_pan_can_atlas_2018,253,24,9.5,82,32.4,106,41.9,108,37,2
STAD,stad_tcga_pan_can_atlas_2018,438,41,9.4,146,33.3,187,42.7,206,44,1
LGG,lgg_tcga_pan_can_atlas_2018,511,45,8.8,130,25.4,175,34.2,326,10,0
ACC,acc_tcga_pan_can_atlas_2018,89,3,3.4,23,25.8,26,29.2,45,18,0
BRCA,brca_tcga_pan_can_atlas_2018,1070,35,3.3,318,29.7,353,33.0,569,140,8
THYM,thym_tcga_pan_can_atlas_2018,123,4,3.3,6,4.9,10,8.1,103,10,0
LIHC,lihc_tcga_pan_can_atlas_2018,367,10,2.7,129,35.1,139,37.9,209,18,1
OV,ov_tcga_pan_can_atlas_2018,572,15,2.6,247,43.2,262,45.8,181,121,8
KIRP,kirp_tcga_pan_can_atlas_2018,283,7,2.5,31,11.0,38,13.4,243,2,0
UCS,ucs_tcga_pan_can_atlas_2018,56,1,1.8,32,57.1,33,58.9,16,7,0
KICH,kich_tcga_pan_can_atlas_2018,65,1,1.5,8,12.3,9,13.8,47,9,0
KIRC,kirc_tcga_pan_can_atlas_2018,509,6,1.2,143,28.1,149,29.3,349,11,0
PRAD,prad_tcga_pan_can_atlas_2018,489,6,1.2,33,6.7,39,8.0,421,29,0
COADREAD,coadread_tcga_pan_can_atlas_2018,592,6,1.0,76,12.8,82,13.9,389,119,2
LAML,laml_tcga_pan_can_atlas_2018,191,1,0.5,1,0.5,2,1.0,187,2,0
CESC,cesc_tcga_pan_can_atlas_2018,293,1,0.3,58,19.8,59,20.1,180,54,0
THCA,thca_tcga_pan_can_atlas_2018,497,1,0.2,20,4.0,21,4.2,472,4,0
PCPG,pcpg_tcga_pan_can_atlas_2018,161,0,0.0,11,6.8,11,6.8,146,4,0
TGCT,tgct_tcga_pan_can_atlas_2018,149,0,0.0,61,40.9,61,40.9,69,18,1
UCEC,ucec_tcga_pan_can_atlas_2018,523,0,0.0,76,14.5,76,14.5,403,40,4
UVM,uvm_tcga_pan_can_atlas_2018,80,0,0.0,8,10.0,8,10.0,67,5,0
