gas_protein	gas_uniprot	human_accession	human_gene	status	tm_score	rmsd	pident	gas_epitope_residues	human_epitope_residues	gas_epitope_fraction	human_epitope_fraction	aligned_residues	epitope_overlap_count	epitope_overlap_fraction	mean_physicochemical_similarity	gas_mean_plddt	human_mean_plddt	conformational_mimicry_score
sp|Q1JKD6|DNAK_STRPC	Q1JKD6	B4DHP5		success	0.1715	23.96	49.1	84	111	0.172	0.214	488	24	0.049	0.805	92.2	91.0	0.435
sp|P0DB70|DNAK_STRP3	P0DB70	B4DHP5		success	0.083	23.94	49.1	86	111	0.176	0.214	488	25	0.051	0.799	92.1	91.0	0.4349
sp|P0C0C6|DNAK_STRP1	P0C0C6	B4DHP5		success	0.1717	23.94	49.3	83	111	0.17	0.214	488	23	0.047	0.815	92.2	91.0	0.4364
sp|B5XHZ0|DNAK_STRPZ	B5XHZ0	B4DHP5		success	0.0753	23.98	49.3	85	111	0.174	0.214	488	23	0.047	0.815	92.1	91.0	0.4372
sp|B5XKM7|ENO_STRPZ	B5XKM7	P09104	ENO2	success	0.577	6.22	49.1	61	72	0.144	0.17	423	26	0.061	0.811	97.6	97.3	0.4478
sp|P69949|ENO_STRP1	P69949	P09104	ENO2	success	0.6621	6.22	49.1	61	72	0.144	0.17	423	26	0.061	0.811	97.6	97.3	0.4478
sp|P0DA94|ENO_STRP3	P0DA94	P09104	ENO2	success	0.6358	6.23	49.1	61	72	0.144	0.17	423	26	0.061	0.811	97.6	97.3	0.4478
sp|Q1JML5|ENO_STRPC	Q1JML5	P09104	ENO2	success	0.5497	6.22	49.1	62	72	0.147	0.17	423	26	0.061	0.811	97.5	97.3	0.4483
tr|A0A0H2UWC3|A0A0H2UWC3_STRP3	A0A0H2UWC3	B4DHW5		success	0.236	2.95	47.4	59	79	0.155	0.208	379	34	0.09	0.801	94.7	92.4	0.4477
tr|Q1JKE8|Q1JKE8_STRPC	Q1JKE8	B4DHW5		success	0.2336	2.81	47.1	55	79	0.145	0.208	379	32	0.084	0.795	94.6	92.4	0.4421
tr|A0A0H3BYC7|A0A0H3BYC7_STRPZ	A0A0H3BYC7	B4DHW5		success	0.2302	2.95	46.8	59	79	0.155	0.208	379	33	0.087	0.802	94.8	92.4	0.4469
tr|Q99YD9|Q99YD9_STRP1	Q99YD9	B4DHW5		success	0.2377	2.95	46.8	59	79	0.155	0.208	379	33	0.087	0.802	94.6	92.4	0.4469
tr|A0A0H3BYM9|A0A0H3BYM9_STRPZ	A0A0H3BYM9	P04406	GAPDH	success	0.6441	4.6	46.3	63	65	0.191	0.198	329	27	0.082	0.777	97.4	98.4	0.456
