source	target	pident	bitscore
sp|Q1JKD6|DNAK_STRPC	B4DHP5	49.1	442.0
B4DHP5	sp|P0DB70|DNAK_STRP3	49.1	440.0
B4DHP5	UPI0000165A3D	49.3	439.0
B4DHP5	sp|P0C0C6|DNAK_STRP1	49.3	439.0
B4DHP5	sp|B5XHZ0|DNAK_STRPZ	49.3	438.0
sp|B5XKM7|ENO_STRPZ	P09104	49.1	394.0
P09104	UPI000000AFB6	49.1	394.0
P09104	sp|P0DA94|ENO_STRP3	49.1	394.0
P09104	sp|Q1JML5|ENO_STRPC	49.1	394.0
P09104	sp|P69949|ENO_STRP1	49.1	394.0
tr|A0A0H2UWC3|A0A0H2UWC3_STRP3	B4DHW5	47.4	345.0
B4DHW5	tr|Q1JKE8|Q1JKE8_STRPC	47.1	343.0
B4DHW5	UPI00000D9AB7	47.1	343.0
B4DHW5	tr|A0A0H3BYC7|A0A0H3BYC7_STRPZ	46.8	340.0
B4DHW5	tr|Q99YD9|Q99YD9_STRP1	46.8	340.0
tr|A0A0H3BYM9|A0A0H3BYM9_STRPZ	P04406	46.3	267.0
P04406	UPI0000001324	46.3	267.0
P04406	sp|P0DB18|G3P_STRP3	46.3	267.0
P04406	sp|P0C0G7|G3P_STRP1	46.3	267.0
P04406	tr|Q1JNH6|Q1JNH6_STRPC	46.3	267.0
tr|Q9A200|Q9A200_STRP1	P62333	41.4	172.0
P62333	tr|A0A0H2UTC4|A0A0H2UTC4_STRP3	41.4	171.0
P62333	UPI000000AA6B	41.4	171.0
P62333	tr|A0A0H3BWD2|A0A0H3BWD2_STRPZ	41.4	171.0
P62333	tr|Q1JP48|Q1JP48_STRPC	41.4	171.0
UPI0000F0940E	B4DHP7	47.3	80.9
B4DHP7	tr|Q1JLR9|Q1JLR9_STRPC	47.3	80.9
B4DHP7	tr|Q99ZR1|Q99ZR1_STRP1	47.3	80.9
B4DHP7	tr|A0A0H3BX80|A0A0H3BX80_STRPZ	47.3	80.9
B4DHP7	tr|A0A0H2UUC3|A0A0H2UUC3_STRP3	47.3	80.9
B4DHP7	UPI000000AE2D	47.3	80.9
B4DHP7	tr|Q9A0D9|Q9A0D9_STRP1	40.2	60.5
B4DHP7	tr|Q1JMD9|Q1JMD9_STRPC	40.2	60.1
B4DHP7	UPI00000D98B0	40.2	60.1
B4DHP7	tr|A0A0H2UU37|A0A0H2UU37_STRP3	40.2	60.1
B4DHP7	UPI0000F0934B	40.2	60.1
B4DHP7	tr|A0A0H3BWP6|A0A0H3BWP6_STRPZ	40.2	59.7
UPI0000F09352	Q5TCS8	42.9	35.4
Q5TCS8	UPI000012DD03	42.9	35.4
tr|Q1JMN6|Q1JMN6_STRPC	B4DHZ4	51.6	34.3
