id	type	label	serotype	known_target	score
sp|Q1JKD6|DNAK_STRPC	gas	DNAK_STRPC	M5		
B4DHP5	human	B4DHP5		False	0.8454588779956427
sp|P0DB70|DNAK_STRP3	gas	DNAK_STRP3	M3		
UPI0000165A3D	gas	UPI0000165A3D	unknown		
sp|P0C0C6|DNAK_STRP1	gas	DNAK_STRP1	M1		
sp|B5XHZ0|DNAK_STRPZ	gas	DNAK_STRPZ	M49		
sp|B5XKM7|ENO_STRPZ	gas	ENO_STRPZ	M49		
P09104	human	ENO2		False	0.7837211567350127
UPI000000AFB6	gas	UPI000000AFB6	unknown		
sp|P0DA94|ENO_STRP3	gas	ENO_STRP3	M3		
sp|Q1JML5|ENO_STRPC	gas	ENO_STRPC	M5		
sp|P69949|ENO_STRP1	gas	ENO_STRP1	M1		
tr|A0A0H2UWC3|A0A0H2UWC3_STRP3	gas	A0A0H2UWC3_STRP3	M3		
B4DHW5	human	B4DHW5		False	0.7402582817006057
tr|Q1JKE8|Q1JKE8_STRPC	gas	Q1JKE8_STRPC	M5		
UPI00000D9AB7	gas	UPI00000D9AB7	unknown		
tr|A0A0H3BYC7|A0A0H3BYC7_STRPZ	gas	A0A0H3BYC7_STRPZ	M49		
tr|Q99YD9|Q99YD9_STRP1	gas	Q99YD9_STRP1	M1		
tr|A0A0H3BYM9|A0A0H3BYM9_STRPZ	gas	A0A0H3BYM9_STRPZ	M49		
P04406	human	GAPDH		True	0.6237254901960784
UPI0000001324	gas	UPI0000001324	unknown		
sp|P0DB18|G3P_STRP3	gas	G3P_STRP3	M3		
sp|P0C0G7|G3P_STRP1	gas	G3P_STRP1	M1		
tr|Q1JNH6|Q1JNH6_STRPC	gas	Q1JNH6_STRPC	M5		
tr|Q9A200|Q9A200_STRP1	gas	Q9A200_STRP1	M1		
P62333	human	PSMC6		False	0.3960416666666667
tr|A0A0H2UTC4|A0A0H2UTC4_STRP3	gas	A0A0H2UTC4_STRP3	M3		
UPI000000AA6B	gas	UPI000000AA6B	unknown		
tr|A0A0H3BWD2|A0A0H3BWD2_STRPZ	gas	A0A0H3BWD2_STRPZ	M49		
tr|Q1JP48|Q1JP48_STRPC	gas	Q1JP48_STRPC	M5		
UPI0000F0940E	gas	UPI0000F0940E	unknown		
B4DHP7	human	B4DHP7		False	0.4614637799564269
tr|Q1JLR9|Q1JLR9_STRPC	gas	Q1JLR9_STRPC	M5		
tr|Q99ZR1|Q99ZR1_STRP1	gas	Q99ZR1_STRP1	M1		
tr|A0A0H3BX80|A0A0H3BX80_STRPZ	gas	A0A0H3BX80_STRPZ	M49		
tr|A0A0H2UUC3|A0A0H2UUC3_STRP3	gas	A0A0H2UUC3_STRP3	M3		
UPI000000AE2D	gas	UPI000000AE2D	unknown		
tr|Q9A0D9|Q9A0D9_STRP1	gas	Q9A0D9_STRP1	M1		
tr|Q1JMD9|Q1JMD9_STRPC	gas	Q1JMD9_STRPC	M5		
UPI00000D98B0	gas	UPI00000D98B0	unknown		
tr|A0A0H2UU37|A0A0H2UU37_STRP3	gas	A0A0H2UU37_STRP3	M3		
UPI0000F0934B	gas	UPI0000F0934B	unknown		
tr|A0A0H3BWP6|A0A0H3BWP6_STRPZ	gas	A0A0H3BWP6_STRPZ	M49		
UPI0000F09352	gas	UPI0000F09352	unknown		
Q5TCS8	human	AK9		False	0.1204384531590413
UPI000012DD03	gas	UPI000012DD03	unknown		
tr|Q1JMN6|Q1JMN6_STRPC	gas	Q1JMN6_STRPC	M5		
B4DHZ4	human	B4DHZ4		False	0.2083333333333333
