serotype	human_accession	human_gene	best_bitscore	best_pident	hit_count
M1	B4DHP5		439.0	49.3	1
M1	B4DHP7		80.9	47.3	2
M1	B4DHW5		340.0	46.8	1
M1	P04406	GAPDH	267.0	46.3	1
M1	P09104	ENO2	394.0	49.1	1
M1	P62333	PSMC6	172.0	41.4	1
M12	B4DHP5		442.0	49.1	1
M12	B4DHP7		80.9	47.3	2
M12	B4DHW5		343.0	47.1	1
M12	B4DHZ4		34.3	51.6	1
M12	P04406	GAPDH	267.0	46.3	1
M12	P09104	ENO2	394.0	49.1	1
M12	P62333	PSMC6	171.0	41.4	1
M18	B4DHP5		439.0	49.3	1
M18	B4DHP7		80.9	47.3	2
M18	B4DHW5		343.0	47.1	1
M18	P04406	GAPDH	267.0	46.3	1
M18	P09104	ENO2	394.0	49.1	1
M18	P62333	PSMC6	171.0	41.4	1
M18	Q5TCS8	AK9	35.4	42.9	1
M3.93	B4DHP5		440.0	49.1	1
M3.93	B4DHP7		80.9	47.3	2
M3.93	B4DHW5		345.0	47.4	1
M3.93	P04406	GAPDH	267.0	46.3	1
M3.93	P09104	ENO2	394.0	49.1	1
M3.93	P62333	PSMC6	171.0	41.4	1
M3	B4DHP5		440.0	49.1	1
M3	B4DHP7		80.9	47.3	2
M3	B4DHW5		345.0	47.4	1
M3	P04406	GAPDH	267.0	46.3	1
M3	P09104	ENO2	394.0	49.1	1
M3	P62333	PSMC6	171.0	41.4	1
M49	B4DHP5		438.0	49.3	1
M49	B4DHP7		80.9	47.3	2
M49	B4DHW5		340.0	46.8	1
M49	P04406	GAPDH	267.0	46.3	1
M49	P09104	ENO2	394.0	49.1	1
M49	P62333	PSMC6	171.0	41.4	1
M5	B4DHP5		439.0	49.3	1
M5	B4DHP7		80.9	47.3	2
M5	B4DHW5		343.0	47.1	1
M5	P04406	GAPDH	267.0	46.3	1
M5	P09104	ENO2	394.0	49.1	1
M5	P62333	PSMC6	171.0	41.4	1
M5	Q5TCS8	AK9	35.4	42.9	1
