gas_protein	gas_uniprot	human_accession	human_gene	status	tm_score	rmsd	aligned_residues	gas_aligned_range	human_aligned_range	surface_exposed_fraction	pident	bitscore
sp|Q1JKD6|DNAK_STRPC	Q1JKD6	B4DHP5		success	0.1715	23.96	488	35-522	15-533	0.108	49.1	442.0
sp|P0DB70|DNAK_STRP3	P0DB70	B4DHP5		success	0.083	23.94	488	35-522	15-533	0.108	49.1	440.0
UPI0000165A3D		B4DHP5		skipped_uniparc			0					
sp|P0C0C6|DNAK_STRP1	P0C0C6	B4DHP5		success	0.1717	23.94	488	35-522	15-533	0.108	49.3	439.0
sp|B5XHZ0|DNAK_STRPZ	B5XHZ0	B4DHP5		success	0.0753	23.98	488	35-522	15-533	0.108	49.3	438.0
sp|P0DA94|ENO_STRP3	P0DA94	P09104	ENO2	success	0.6358	6.23	423	4-426	3-425	0.061	49.1	394.0
UPI000000AFB6		P09104	ENO2	skipped_uniparc			0					
sp|P69949|ENO_STRP1	P69949	P09104	ENO2	success	0.6621	6.22	423	4-426	3-425	0.061	49.1	394.0
sp|B5XKM7|ENO_STRPZ	B5XKM7	P09104	ENO2	success	0.577	6.22	423	4-426	3-425	0.061	49.1	394.0
sp|Q1JML5|ENO_STRPC	Q1JML5	P09104	ENO2	success	0.5497	6.22	423	4-426	3-425	0.061	49.1	394.0
tr|A0A0H2UWC3|A0A0H2UWC3_STRP3	A0A0H2UWC3	B4DHW5		success	0.236	2.95	379	41-420	41-419	0.129	47.4	345.0
tr|Q1JKE8|Q1JKE8_STRPC	Q1JKE8	B4DHW5		success	0.2336	2.81	379	57-436	41-419	0.129	47.1	343.0
UPI00000D9AB7		B4DHW5		skipped_uniparc			0					
tr|A0A0H3BYC7|A0A0H3BYC7_STRPZ	A0A0H3BYC7	B4DHW5		success	0.2302	2.95	379	41-420	41-419	0.129	46.8	340.0
tr|Q99YD9|Q99YD9_STRP1	Q99YD9	B4DHW5		success	0.2377	2.95	379	41-420	41-419	0.129	46.8	340.0
sp|P0C0G7|G3P_STRP1	P0C0G7	P04406	GAPDH	success	0.1452	4.6	329	3-332	4-332	0.073	46.3	267.0
tr|Q1JNH6|Q1JNH6_STRPC	Q1JNH6	P04406	GAPDH	success	0.658	4.61	329	12-341	4-332	0.073	46.3	267.0
UPI0000001324		P04406	GAPDH	skipped_uniparc			0					
sp|P0DB18|G3P_STRP3	P0DB18	P04406	GAPDH	success	0.6348	4.62	329	3-332	4-332	0.073	46.3	267.0
tr|A0A0H3BYM9|A0A0H3BYM9_STRPZ	A0A0H3BYM9	P04406	GAPDH	success	0.6441	4.6	329	3-332	4-332	0.073	46.3	267.0
