gene,data_source,n_pans,n_control,mean_pans,mean_control,fold_change,U_statistic,p_value,rank_biserial_r,direction,fdr
CGAS,bulk,9,10,525.7777777777778,471.3,1.115590447226348,49.0,0.7750513736700824,-0.0888888888888888,pans_higher,1.0
STING1,bulk,9,10,543.6666666666666,506.9,1.0725323864009995,53.0,0.5401136118719447,-0.1777777777777778,pans_higher,1.0
TBK1,bulk,9,10,1652.111111111111,1670.8,0.9888144069374618,35.0,0.437942822899974,0.2222222222222222,pans_lower,1.0
IRF3,bulk,9,10,1026.7777777777778,838.2,1.22497945332591,52.0,0.5956108994757296,-0.15555555555555545,pans_higher,1.0
TREX1,bulk,9,10,0.0,0.0,,45.0,1.0,0.0,pans_lower,1.0
SAMHD1,bulk,9,10,11627.111111111111,10277.6,1.1313060550236544,52.0,0.5956108994757296,-0.15555555555555545,pans_higher,1.0
IFNB1,bulk,9,10,0.6666666666666666,0.9,0.7407407407407407,36.5,0.4719328374959656,0.18888888888888888,pans_lower,1.0
IFNA1,bulk,9,10,0.1111111111111111,0.0,,50.0,0.34278171114791145,-0.11111111111111116,pans_higher,1.0
MX1,bulk,9,10,3875.8888888888887,3022.2,1.2824726652401857,41.0,0.7750513736700824,0.0888888888888889,pans_higher,1.0
ISG15,bulk,9,10,1596.4444444444443,1011.8,1.5778260965056774,46.0,0.967435545139537,-0.022222222222222143,pans_higher,1.0
IFIT1,bulk,9,10,3604.777777777778,2795.6,1.289446908634203,44.5,1.0,0.011111111111111072,pans_higher,1.0
OAS1,bulk,9,10,2704.8888888888887,1650.3,1.639028594127667,48.0,0.8382564863858263,-0.06666666666666665,pans_higher,1.0
