community,n_members,n_seeds,n_innate_bridging,innate_bridging_genes,n_lectin_bridging,lectin_bridging_genes,n_innate_1hop_reachable,frac_innate_reachable,n_lectin_1hop_reachable,frac_lectin_reachable,innate_connectivity_score
17,218,0,13,DDX58; GZMB; IFIH1; IFNA1; IFNB1; IL1B; IL6; ISG15; LCN2; MYD88; OAS1; PRF1; TRAF6,0,,4,0.01834862385321101,0,0.0,0.4055045871559633
9,311,1,1,FCN3,1,FCN3,3,0.00964630225080386,1,0.003215434083601286,0.3336631214444719
16,62,0,7,AKT1; HIF1A; NFKB1; TBK1; TLR2; TLR4; TNF,0,,4,0.06451612903225806,0,0.0,0.2347394540942928
13,18,0,1,NCAM1,0,,7,0.3888888888888889,0,0.0,0.14743589743589744
12,259,4,3,HK2; PFKFB3; S100A9,0,,40,0.15444015444015444,0,0.0,0.13863973863973864
11,247,1,1,MAVS,0,,2,0.008097165991902834,0,0.0,0.03319838056680162
2,282,1,0,,0,,1,0.0035460992907801418,0,0.0,0.0010638297872340426
3,169,2,0,,0,,0,0.0,0,0.0,0.0
4,38,0,0,,0,,0,0.0,0,0.0,0.0
5,2,0,0,,0,,0,0.0,0,0.0,0.0
6,2,0,0,,0,,0,0.0,0,0.0,0.0
7,4,0,0,,0,,0,0.0,0,0.0,0.0
8,2,0,0,,0,,0,0.0,0,0.0,0.0
1,3,0,0,,0,,0,0.0,0,0.0,0.0
10,3,0,0,,0,,0,0.0,0,0.0,0.0
14,13,0,0,,0,,0,0.0,0,0.0,0.0
15,86,0,0,,0,,0,0.0,0,0.0,0.0
0,2,0,0,,0,,0,0.0,0,0.0,0.0
