sample,condition,innate_lectin_complement,innate_lectin_complement_downstream,innate_nk_cell_effector,innate_neutrophil_defense,innate_monocyte_defense,innate_pattern_recognition_receptors,innate_trained_immunity,innate_cgas_sting_pathway,adaptive_t_cell_core,adaptive_b_cell_core,adaptive_th_signatures,innate_sum,adaptive_sum,ratio,log2_ratio
Control1,control,14999.0,61.0,31203.0,130414.0,140846.0,58247.0,28389.0,26150.0,49785.0,29679.0,3510.0,430309.0,82974.0,5.186007833684845,2.374627738136506
Control10,control,13441.0,57.0,17710.0,60358.0,102004.0,28275.0,17452.0,20092.0,59237.0,25897.0,4506.0,259389.0,89640.0,2.8936424180899367,1.5328922137073584
Control2,control,18157.0,58.0,15565.0,208274.0,257757.0,59438.0,24821.0,22618.0,67950.0,43009.0,2820.0,606688.0,113779.0,5.332114607136579,2.414710167669367
Control3,control,17037.0,103.0,54230.0,123806.0,165018.0,72313.0,37538.0,36814.0,63858.0,25531.0,4349.0,506859.0,93738.0,5.407130436637899,2.434866005428117
Control4,control,20325.0,70.0,8739.0,129135.0,162416.0,49624.0,22067.0,23294.0,30937.0,22239.0,2858.0,415670.0,56034.0,7.4180422949942,2.891041964355706
Control5,control,17696.0,40.0,30415.0,66142.0,132814.0,34464.0,17349.0,20756.0,39843.0,14418.0,5415.0,319676.0,59676.0,5.356770615144863,2.4213680320252178
Control6,control,14407.0,55.0,28200.0,110427.0,108872.0,36251.0,22365.0,16091.0,29921.0,12486.0,7204.0,336668.0,49611.0,6.78601951140853,2.76256986335323
Control7,control,19323.0,91.0,10038.0,97003.0,185912.0,40800.0,19959.0,20640.0,43290.0,12016.0,9174.0,393766.0,64480.0,6.1066980971138785,2.6103961868334573
Control8,control,9670.0,43.0,32017.0,75205.0,83472.0,33947.0,22619.0,17245.0,28957.0,15389.0,7670.0,274218.0,52016.0,5.271699636657247,2.3982734339931797
Control9,control,16241.0,63.0,40441.0,52880.0,78698.0,24774.0,20666.0,18756.0,47820.0,13756.0,4710.0,252519.0,66286.0,3.8094799885347053,1.9295997898806991
PostIVIG1,post,18503.0,89.0,19592.0,105972.0,201513.0,49369.0,28996.0,30368.0,59911.0,42286.0,4595.0,454402.0,106792.0,4.2549792589401925,2.0891552743836
PostIVIG2,post,19956.0,38.0,30355.0,99925.0,192133.0,62761.0,21897.0,77114.0,56317.0,28012.0,2384.0,504179.0,86713.0,5.814274511612888,2.5396020490775175
PostIVIG3,post,18891.0,44.0,19410.0,195158.0,257787.0,82903.0,27991.0,34948.0,46244.0,24823.0,6600.0,637132.0,77667.0,8.203275480249266,3.036202341838553
PostIVIG4,post,25967.0,69.0,17024.0,147777.0,217402.0,64831.0,28433.0,22576.0,43324.0,10886.0,6218.0,524079.0,60428.0,8.672640619570075,3.116474080604597
PostIVIG5,post,31585.0,78.0,22702.0,50300.0,226461.0,28554.0,22391.0,24078.0,51745.0,29919.0,3989.0,406149.0,85653.0,4.741740023816751,2.245420118230987
PostIVIG6,post,13483.0,85.0,10646.0,37029.0,88964.0,23275.0,18996.0,15593.0,42151.0,14536.0,5261.0,208071.0,61948.0,3.3587467110042133,1.7479299371548755
PostIVIG7,post,9529.0,55.0,17241.0,35797.0,82757.0,19309.0,14005.0,12063.0,37972.0,17173.0,3524.0,190756.0,58669.0,3.2513379921595362,1.7010411019037641
PostIVIG8,post,17947.0,88.0,13328.0,61370.0,120810.0,25634.0,16167.0,19565.0,45053.0,15316.0,2836.0,274909.0,63205.0,4.349413030408505,2.1208259648850873
PostIVIG9,post,4888.0,29.0,8094.0,37291.0,48538.0,12301.0,11833.0,11021.0,13805.0,7358.0,2038.0,133995.0,23201.0,5.775148694078097,2.5298688591495058
