patient,condition,gsm,n_cells,innate_lectin_complement,innate_lectin_complement_downstream,innate_nk_cell_effector,innate_neutrophil_defense,innate_monocyte_defense,innate_pattern_recognition_receptors,innate_trained_immunity,innate_cgas_sting_pathway,adaptive_t_cell_core,adaptive_b_cell_core,adaptive_th_signatures,innate_sum,adaptive_sum,ratio,log2_ratio,innate_per_cell,adaptive_per_cell
Control_1,control,GSM8879039,12000,14682.0,116.0,84276.0,144304.0,119768.0,33931.0,27775.0,39448.0,91353.0,31576.0,9631.0,464300.0,132560.0,3.502538453994765,1.8084039971816774,38.69166666666667,11.046666666666667
Control_2,control,GSM8879040,12000,20388.0,149.0,40096.0,194425.0,162714.0,46382.0,31171.0,58490.0,69868.0,63446.0,10598.0,553815.0,143912.0,3.848262491922203,1.9442098144296744,46.15125,11.992666666666667
Control_3,control,GSM8879041,12000,14946.0,109.0,45854.0,171229.0,116267.0,36391.0,24458.0,42353.0,70034.0,27737.0,9582.0,451607.0,107353.0,4.206708646161298,2.0726950960464445,37.633916666666664,8.946083333333334
Control_4,control,GSM8879042,12000,26613.0,71.0,29850.0,396159.0,202737.0,66495.0,39012.0,46307.0,104096.0,28209.0,17817.0,807244.0,150122.0,5.377217348440945,2.4268615740632313,67.27033333333334,12.510166666666667
Patient_1,post,GSM8879034,12000,82518.0,586.0,35485.0,534785.0,373396.0,74393.0,46765.0,68734.0,74930.0,35530.0,12876.0,1216662.0,123336.0,9.86453375710452,3.302252049987717,101.3885,10.278
Patient_2,post,GSM8879035,12000,22167.0,255.0,22450.0,352999.0,175137.0,54762.0,37022.0,48962.0,123871.0,57929.0,17444.0,713754.0,199244.0,3.582293156666416,1.8408854262614938,59.4795,16.603666666666665
Patient_3,post,GSM8879036,12000,46524.0,252.0,34038.0,482510.0,204184.0,71289.0,44644.0,32583.0,34725.0,9715.0,15656.0,916024.0,60096.0,15.242424746659568,3.9300220931253937,76.33533333333334,5.008
Patient_4,post,GSM8879037,12000,57342.0,416.0,33640.0,484506.0,250444.0,77539.0,45916.0,68564.0,118784.0,44101.0,15539.0,1018367.0,178424.0,5.707535379010789,2.5128693139127285,84.86391666666667,14.868666666666666
Patient_5,post,GSM8879038,12000,14950.0,83.0,4423.0,145864.0,83385.0,16700.0,12979.0,13273.0,24139.0,25668.0,6408.0,291657.0,56215.0,5.18814928134339,2.3752249381472192,24.30475,4.684583333333333
Patient_1,pre,GSM8879029,12000,35955.0,129.0,22406.0,313629.0,187664.0,47754.0,34405.0,30904.0,68514.0,21962.0,10839.0,672846.0,101315.0,6.641063602984721,2.7314164598155704,56.0705,8.442916666666667
Patient_2,pre,GSM8879030,12000,22215.0,171.0,51293.0,148035.0,145715.0,34787.0,23482.0,49908.0,123730.0,34406.0,8238.0,475606.0,166374.0,2.8586386175807665,1.5153312827373355,39.633833333333335,13.8645
Patient_3,pre,GSM8879031,12000,25493.0,106.0,96697.0,160835.0,136400.0,40210.0,28845.0,39115.0,128827.0,53201.0,13399.0,527701.0,195427.0,2.7002323106207915,1.4330862667405007,43.97508333333333,16.285583333333335
Patient_4,pre,GSM8879032,12000,4357.0,34.0,2113.0,21146.0,18904.0,3380.0,2229.0,4005.0,7748.0,2397.0,500.0,56168.0,10645.0,5.2759721961300015,2.399462646871032,4.680666666666666,0.8870833333333333
Patient_5,pre,GSM8879033,12000,31424.0,226.0,45123.0,212489.0,189778.0,49563.0,35192.0,55318.0,222702.0,86452.0,14308.0,619113.0,323462.0,1.914014895057549,0.9366043873257666,51.59275,26.955166666666667
