gene,condition,mean_count,std_count,median_count,min_count,max_count,n_samples
COLEC11,control,2.4,3.025814858109391,1.5,0,10,10
COLEC11,post,4.222222222222222,4.737556801183965,2.0,0,12,9
COLEC11,pre,3.6666666666666665,5.5901699437494745,2.0,0,18,9
COLEC11,second_post,1.0,0.0,1.0,1,1,4
FCN1,control,16124.5,3134.3165212778936,16637.0,9667,20322,10
FCN1,post,17852.777777777777,8036.800292681438,18476.0,4885,31581,9
FCN1,pre,22568.666666666668,12806.220041448609,19721.0,9804,53480,9
FCN1,second_post,12403.0,4993.467933210345,12821.5,6757,17212,4
FCN2,control,0.5,0.7071067811865476,0.0,0,2,10
FCN2,post,0.4444444444444444,0.5270462766947299,0.0,0,1,9
FCN2,pre,0.5555555555555556,1.0137937550497031,0.0,0,3,9
FCN2,second_post,0.0,0.0,0.0,0,0,4
FCN3,control,0.5,1.2692955176439846,0.0,0,4,10
FCN3,post,0.8888888888888888,1.964971020425266,0.0,0,6,9
FCN3,pre,0.4444444444444444,0.7264831572567789,0.0,0,2,9
FCN3,second_post,0.5,1.0,0.0,0,2,4
MASP1,control,0.9,1.286683937707919,0.0,0,3,10
MASP1,post,1.7777777777777777,2.8185890875479607,1.0,0,8,9
MASP1,pre,1.7777777777777777,2.5385910352879693,1.0,0,8,9
MASP1,second_post,0.25,0.5,0.0,0,1,4
MASP2,control,0.7,1.0593499054713802,0.0,0,3,10
MASP2,post,0.6666666666666666,0.9999999999999999,0.0,0,3,9
MASP2,pre,0.5555555555555556,0.7264831572567789,0.0,0,2,9
MASP2,second_post,0.0,0.0,0.0,0,0,4
MBL2,control,0.1,0.31622776601683794,0.0,0,1,10
MBL2,post,0.2222222222222222,0.44095855184409843,0.0,0,1,9
MBL2,pre,0.2222222222222222,0.6666666666666667,0.0,0,2,9
MBL2,second_post,0.0,0.0,0.0,0,0,4
