gene,cell_type,condition,patient,gsm,mean_expr,total_expr,n_cells,pct_expressing
COLEC11,B_cell,control,Control_2,GSM8879040,0.0,0.0,841,0.0
COLEC11,B_cell,control,Control_4,GSM8879042,0.0,0.0,626,0.0
COLEC11,B_cell,post,Patient_1,GSM8879034,0.0,0.0,58,0.0
COLEC11,B_cell,post,Patient_2,GSM8879035,0.0,0.0,939,0.0
COLEC11,B_cell,post,Patient_3,GSM8879036,0.0,0.0,108,0.0
COLEC11,B_cell,post,Patient_4,GSM8879037,0.0,0.0,2,0.0
COLEC11,B_cell,post,Patient_5,GSM8879038,0.0,0.0,423,0.0
COLEC11,B_cell,pre,Patient_1,GSM8879029,0.0,0.0,438,0.0
COLEC11,B_cell,pre,Patient_2,GSM8879030,0.0,0.0,684,0.0
COLEC11,B_cell,pre,Patient_3,GSM8879031,0.0,0.0,949,0.0
COLEC11,B_cell,pre,Patient_5,GSM8879033,0.0,0.0,1141,0.0
COLEC11,DC,control,Control_2,GSM8879040,0.0,0.0,47,0.0
COLEC11,DC,control,Control_4,GSM8879042,0.0,0.0,24,0.0
COLEC11,DC,post,Patient_1,GSM8879034,0.0,0.0,9,0.0
COLEC11,DC,post,Patient_2,GSM8879035,0.0,0.0,51,0.0
COLEC11,DC,post,Patient_3,GSM8879036,0.0,0.0,39,0.0
COLEC11,DC,post,Patient_4,GSM8879037,0.0,0.0,2,0.0
COLEC11,DC,post,Patient_5,GSM8879038,0.0,0.0,64,0.0
COLEC11,DC,pre,Patient_1,GSM8879029,0.0,0.0,7,0.0
COLEC11,DC,pre,Patient_2,GSM8879030,0.0,0.0,84,0.0
COLEC11,DC,pre,Patient_3,GSM8879031,0.0,0.0,40,0.0
COLEC11,DC,pre,Patient_5,GSM8879033,0.0,0.0,44,0.0
COLEC11,Monocyte,control,Control_2,GSM8879040,0.00020032051282051281,1.0,4992,0.02003205128205128
COLEC11,Monocyte,control,Control_4,GSM8879042,0.0,0.0,3317,0.0
COLEC11,Monocyte,post,Patient_1,GSM8879034,0.0,0.0,7899,0.0
COLEC11,Monocyte,post,Patient_2,GSM8879035,0.0008648025367541078,6.0,6938,0.04324012683770539
