gene,cell_type,data_source,n_pans,n_control,mean_pans,mean_control,fold_change,U_statistic,p_value,rank_biserial_r,direction,fdr
MASP1,Monocyte,scrna,2,3,0.0009056328351483001,0.0002340394213698,3.8695738942087528,4.0,0.8,-0.33333333333333326,pans_higher,0.9909519282527153
MASP1,Neutrophil,scrna,2,3,0.0,0.00015078274477163333,0.0,1.0,0.3329216080655659,0.6666666666666667,pans_lower,0.7593963267779628
MASP1,T_cell,scrna,2,3,0.0001325556733828,0.0,,4.5,0.4142161782425251,-0.5,pans_higher,0.7593963267779628
MASP2,B_cell,scrna,5,4,0.0,0.000422297297297275,0.0,7.5,0.37109336952269756,0.25,pans_lower,0.7593963267779628
MASP2,Monocyte,scrna,5,4,0.00041822388698478,0.000447561025930375,0.9344510865649888,10.0,1.0,0.0,pans_lower,1.0
MASP2,NK_cell,scrna,5,4,0.00055022806625104,0.0013584233178692,0.40504904400059805,7.0,0.5023349543605022,0.30000000000000004,pans_lower,0.8148148148148149
MASP2,Neutrophil,scrna,5,4,0.00047036437583854,0.00039605955766894996,1.1876102134914224,11.0,0.9008653893206502,-0.10000000000000009,pans_higher,0.9909519282527153
MASP2,T_cell,scrna,5,4,0.00041896835494329993,0.0006585978549607,0.6361520186978148,9.0,0.9008653893206502,0.09999999999999998,pans_lower,0.9909519282527153
FCN1,B_cell,scrna,5,4,0.1836053425355939,0.111244005397336,1.6504740357001813,16.0,0.19047619047619047,-0.6000000000000001,pans_higher,0.7593963267779628
FCN1,DC,scrna,5,4,0.15117604617604616,0.18867832498151643,0.8012369528447737,7.0,0.5555555555555556,0.30000000000000004,pans_lower,0.8148148148148149
FCN1,Monocyte,scrna,5,4,5.38603738846856,4.186430961963529,1.2865463296550792,13.0,0.5555555555555556,-0.30000000000000004,pans_higher,0.8148148148148149
FCN1,NK_cell,scrna,5,4,0.1714493047042541,0.11255728751787125,1.5232181628136008,16.0,0.19047619047619047,-0.6000000000000001,pans_higher,0.7593963267779628
FCN1,Neutrophil,scrna,5,4,0.777329189595209,0.4107899677878847,1.892278902966273,17.0,0.1111111111111111,-0.7,pans_higher,0.7593963267779628
FCN1,T_cell,scrna,5,4,0.15817177052931847,0.09193843377418405,1.7204096702127254,16.0,0.19047619047619047,-0.6000000000000001,pans_higher,0.7593963267779628
FCN2,Monocyte,scrna,5,4,0.00299078035123052,0.0020319987110469003,1.4718416576601314,14.0,0.4126984126984127,-0.3999999999999999,pans_higher,0.7593963267779628
FCN2,NK_cell,scrna,5,4,0.0,0.0001248751248751,0.0,7.5,0.37109336952269756,0.25,pans_lower,0.7593963267779628
FCN2,Neutrophil,scrna,5,4,0.00047828415763822,0.0001838084164288,2.602079746568559,11.0,0.8932728301422118,-0.10000000000000009,pans_higher,0.9909519282527153
COLEC11,Monocyte,scrna,4,2,0.000360744755526125,0.00010016025641025,3.6016756391730627,6.5,0.34755803674116925,-0.625,pans_higher,0.7593963267779628
COLEC11,NK_cell,scrna,4,2,0.001858664008607025,0.0,,6.0,0.4113137917762588,-0.5,pans_higher,0.7593963267779628
COLEC11,Neutrophil,scrna,4,2,7.4850299401175e-05,0.0,,5.0,0.7236736098317631,-0.25,pans_higher,0.9909519282527153
COLEC11,T_cell,scrna,4,2,0.00046671948389544996,0.0005673781239597499,0.8225898464998965,4.0,1.0,0.0,pans_lower,1.0
COLEC11,Unassigned,scrna,4,2,0.0,0.0064102564102564,0.0,2.0,0.2888443663464849,0.5,pans_lower,0.7593963267779628
