library,term,overlap,p_value,adj_p_value,genes,combined_score
Reactome_2022,Lectin Pathway Of Complement Activation R-HSA-166662,3/8,6.445110645276673e-08,1.121449252278141e-05,MASP2;MASP1;MBL2,10443.162003489322
GO_Biological_Process_2023,"Complement Activation, Lectin Pathway (GO:0001867)",3/8,6.445110645276673e-08,2.4362518239145823e-05,MASP2;MASP1;MBL2,10443.162003489322
Reactome_2022,Initial Triggering Of Complement R-HSA-166663,3/21,1.5166631173484145e-06,8.796646080620803e-05,MASP2;MASP1;MBL2,2345.9999926270766
Reactome_2022,Complement Cascade R-HSA-166658,3/55,2.9201806010245265e-05,0.0010162228491565,MASP2;MASP1;MBL2,631.739712445339
KEGG_2021_Human,Complement and coagulation cascades,3/85,0.0001076158125321952,0.0035937916840601,MASP2;MASP1;MBL2,350.04226679074907
Reactome_2022,DNA Repair R-HSA-73894,4/310,0.0003321420075052994,0.0064214121451024,FANCD2;UVSSA;USP45;EP300,114.43115178966367
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),4/384,0.000744048969482934,0.0439643735753858,PIDD1;TREX1;USP45;SAMHD1,82.5569039954044
Reactome_2022,Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210,2/64,0.0022343590859898,0.0267236037408749,UVSSA;EP300,196.06983518944284
GO_Biological_Process_2023,DNA Repair (GO:0006281),3/291,0.0038249768637232,0.0566899144320598,FANCD2;TREX1;USP45,60.086915746548165
GO_Biological_Process_2023,Positive Regulation Of Mitophagy In Response To Mitochondrial Depolarization (GO:0098779),1/6,0.0065826171479286,0.0566899144320598,PRKN,955.5316921910462
GO_Biological_Process_2023,Mitotic intra-S DNA Damage Checkpoint Signaling (GO:0031573),1/14,0.0152951779293368,0.0616212791394998,FANCD2,305.7071272789262
GO_Biological_Process_2023,Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),1/15,0.0163791067947741,0.0616212791394998,SAMHD1,279.20731867751766
GO_Biological_Process_2023,Mitophagy (GO:0000423),1/16,0.0174618968734111,0.0616212791394998,PRKN,256.52354192445085
GO_Biological_Process_2023,"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",1/17,0.0185435492893687,0.0616212791394998,PIDD1,236.908142520545
MSigDB_Hallmark_2020,Interferon Gamma Response,2/200,0.0201543754357544,0.0806175017430178,PARP14;SAMHD1,39.00390099361183
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:0042771),1/19,0.020703445636816,0.0616212791394998,EP300,204.7460437251252
Reactome_2022,PINK1-PRKN Mediated Mitophagy R-HSA-5205685,1/22,0.023934785813165,0.0816598574802102,PRKN,168.9069250201691
GO_Biological_Process_2023,Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),1/26,0.0282274118595077,0.0697383116529014,PIDD1,135.5839309094672
Reactome_2022,Mitophagy R-HSA-5205647,1/28,0.0303669619032499,0.0926991468625524,PRKN,122.95727551819456
GO_Biological_Process_2023,Maintenance Of Blood-Brain Barrier (GO:0035633),1/29,0.031435050111481,0.0703103487700583,MBL2,117.38714910240454
GO_Biological_Process_2023,Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338),1/33,0.0356961836698558,0.0749619857066972,SAMHD1,98.92003496654242
GO_Biological_Process_2023,"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",1/36,0.0388802849574893,0.0774210297888413,PIDD1,88.10920425980879
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),1/49,0.0525624601312181,0.0867624887755479,EP300,58.24291595044674
GO_Biological_Process_2023,Mitotic DNA Damage Checkpoint Signaling (GO:0044773),1/56,0.059852574330197,0.0938259036904331,FANCD2,48.57194341390608
Reactome_2022,TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648,1/62,0.0660585983445957,0.1172877154281598,FANCD2,42.24725437764979
KEGG_2021_Human,Mitophagy,1/68,0.0722255067202058,0.251837773245223,PRKN,37.18930470253887
Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,1/72,0.0763151640250253,0.1286922669549076,SAMHD1,34.35170636454176
MSigDB_Hallmark_2020,Interferon Alpha Response,1/97,0.1014883062274201,0.1984625719282345,PARP14,22.56263499711162
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.108418582791051,0.251837773245223,PIDD1,20.414884910795575
Reactome_2022,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,1/378,0.3429540794598328,0.3776836064937399,PRKN,2.649511313483797
