library,term,overlap,p_value,adj_p_value,genes,combined_score
Reactome_2022,Lectin Pathway Of Complement Activation R-HSA-166662,3/8,6.445110645276673e-08,1.121449252278141e-05,MASP2;MASP1;MBL2,10443.162003489322
GO_Biological_Process_2023,"Complement Activation, Lectin Pathway (GO:0001867)",3/8,6.445110645276673e-08,2.4362518239145823e-05,MASP2;MASP1;MBL2,10443.162003489322
Reactome_2022,Creation Of C4 And C2 Activators R-HSA-166786,3/14,4.171558319050455e-07,3.629255737573896e-05,MASP2;MASP1;MBL2,4210.210853816854
Reactome_2022,Initial Triggering Of Complement R-HSA-166663,3/21,1.5166631173484145e-06,8.796646080620803e-05,MASP2;MASP1;MBL2,2345.9999926270766
Reactome_2022,Ficolins Bind To Repetitive Carbohydrate Structures On Target Cell Surface R-HSA-2855086,2/5,1.1526778589426107e-05,0.0005014148686400357,MASP2;MASP1,7571.082739637043
Reactome_2022,Complement Cascade R-HSA-166658,3/55,2.9201806010245265e-05,0.0010162228491565,MASP2;MASP1;MBL2,631.739712445339
GO_Cellular_Component_2023,Endopeptidase Complex (GO:1905369),2/14,0.00010426836797847276,0.0023981724635048,PIDD1;MBL2,1525.49266647988
KEGG_2021_Human,Complement and coagulation cascades,3/85,0.0001076158125321952,0.0035937916840601,MASP2;MASP1;MBL2,350.04226679074907
KEGG_2021_Human,Staphylococcus aureus infection,3/95,0.00014974132016917394,0.0035937916840601,MASP2;MASP1;MBL2,300.56305460415405
Reactome_2022,Nucleotide Excision Repair R-HSA-5696398,3/108,0.000218826806881905,0.0058363030510443,UVSSA;USP45;EP300,251.84111479170673
Reactome_2022,SARS-CoV-2 Infection R-HSA-9694516,4/283,0.0002347938009040821,0.0058363030510443,MASP2;MASP1;PARP14;MBL2,131.11960157286944
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),4/288,0.0002510170712180991,0.0439643735753858,TREX1;USP45;SAMHD1;POLG,127.74886959807176
Reactome_2022,SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671,3/121,0.00030583053303929634,0.0064214121451024,MASP2;MASP1;MBL2,215.05348975180772
Reactome_2022,DNA Repair R-HSA-73894,4/310,0.0003321420075052994,0.0064214121451024,FANCD2;UVSSA;USP45;EP300,114.43115178966367
GO_Biological_Process_2023,Nucleic Acid Metabolic Process (GO:0090304),2/30,0.0004931459174352375,0.0439643735753858,TREX1;POLG,542.5477632515199
GO_Biological_Process_2023,Innate Immune Response Activating Cell Surface Receptor Signaling Pathway (GO:0002220),2/30,0.0004931459174352375,0.0439643735753858,EP300;MBL2,542.5477632515199
Reactome_2022,SARS-CoV Infections R-HSA-9679506,4/369,0.0006409362913126149,0.0111522914688394,MASP2;MASP1;PARP14;MBL2,87.79674962463118
GO_Biological_Process_2023,Protein Destabilization (GO:0031648),2/36,0.0007113647786947809,0.0439643735753858,PRKN;EP300,425.1782293491763
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),4/384,0.000744048969482934,0.0439643735753858,PIDD1;TREX1;USP45;SAMHD1,82.5569039954044
GO_Biological_Process_2023,Regulation Of Small Molecule Metabolic Process (GO:0062012),2/40,0.000878395909700633,0.0439643735753858,PRKN;EP300,369.2789949643409
GO_Molecular_Function_2023,3'-5' Exonuclease Activity (GO:0008408),2/42,0.0009683243476237372,0.0510804644324919,TREX1;POLG,345.92148161176414
GO_Biological_Process_2023,Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961),2/44,0.0010625047313416,0.0439643735753858,PRKN;PARP14,325.0102571568994
GO_Biological_Process_2023,Regulation Of Cellular Metabolic Process (GO:0031323),2/45,0.0011111839587462,0.0439643735753858,PRKN;EP300,315.3591457066678
GO_Molecular_Function_2023,Exonuclease Activity (GO:0004527),2/46,0.0011609196461929,0.0510804644324919,TREX1;POLG,306.1927090143132
GO_Biological_Process_2023,Nervous System Development (GO:0007399),4/433,0.0011630786660154,0.0439643735753858,PRKN;MYT1L;EP300;MBL2,68.4208394264306
Reactome_2022,SARS-CoV-2-host Interactions R-HSA-9705683,3/196,0.0012441581147049,0.0196803192689694,MASP2;MASP1;MBL2,108.27465923376576
GO_Biological_Process_2023,Regulation Of Mitochondrion Organization (GO:0010821),2/50,0.001370383663162,0.0466640428484344,PRKN;EP300,273.7329252658829
GO_Biological_Process_2023,Negative Regulation Of Innate Immune Response (GO:0045824),2/52,0.0014813981856645,0.0466640428484344,TREX1;SAMHD1,259.65262996111744
Reactome_2022,Formation Of TC-NER Pre-Incision Complex R-HSA-6781823,2/52,0.0014813981856645,0.0214802736921364,UVSSA;EP300,259.65262996111744
GO_Biological_Process_2023,Nucleotide-Excision Repair (GO:0006289),2/56,0.0017159061840151,0.0498932721198245,UVSSA;USP45,234.94875028585096
GO_Biological_Process_2023,Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960),2/59,0.0019026387993678,0.0513712475829327,PARP14;SAMHD1,218.93925214748256
GO_Molecular_Function_2023,DNA Binding (GO:0003677),5/846,0.0019323307326789,0.0566817014919163,CUX1;TREX1;EP300;SAMHD1;POLG,41.82263969322496
KEGG_2021_Human,Coronavirus disease,3/232,0.0020159885734139,0.0322558171746234,MASP2;MASP1;MBL2,84.51508427257316
GO_Biological_Process_2023,Regulation Of Cellular Catabolic Process (GO:0031329),2/63,0.0021659750080163,0.0545825702020109,PRKN;EP300,200.30901302971847
Reactome_2022,Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949,2/63,0.0021659750080163,0.0267236037408749,TREX1;EP300,200.30901302971847
Reactome_2022,Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210,2/64,0.0022343590859898,0.0267236037408749,UVSSA;EP300,196.06983518944284
Reactome_2022,Dual Incision In TC-NER R-HSA-6782135,2/65,0.0023037589431788,0.0267236037408749,UVSSA;EP300,191.98101622282033
GO_Biological_Process_2023,DNA Replication (GO:0006260),2/73,0.0028952732366765,0.0566899144320598,TREX1;POLG,163.87318444267802
Reactome_2022,Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827,2/77,0.0032150228568515,0.0349633735682603,UVSSA;EP300,152.3221918917233
GO_Biological_Process_2023,Regulation Of Innate Immune Response (GO:0045088),2/78,0.0032974369030788,0.0566899144320598,TREX1;SAMHD1,149.64758474395342
Reactome_2022,Immune System R-HSA-168256,7/1943,0.0037101041175363,0.037974006850078,PRKN;TREX1;EP300;MASP2;MASP1;SAMHD1;MBL2,24.339843013417475
GO_Biological_Process_2023,DNA Repair (GO:0006281),3/291,0.0038249768637232,0.0566899144320598,FANCD2;TREX1;USP45,60.086915746548165
GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),12/5175,0.0038950300223467,0.0318857187434282,PRKN;PIDD1;CUX1;MYT1L;FANCD2;USP45;EP300;STK19;ADNP;PARP14;SAMHD1;POLG,19.10387412122395
GO_Biological_Process_2023,Macromolecule Catabolic Process (GO:0009057),2/85,0.0039018419094564,0.0566899144320598,PRKN;TREX1,132.94429984239056
GO_Cellular_Component_2023,Nucleus (GO:0005634),11/4487,0.004159006792621,0.0318857187434282,PRKN;PIDD1;CUX1;MYT1L;FANCD2;USP45;EP300;STK19;ADNP;PARP14;SAMHD1,18.987799201360932
Reactome_2022,Innate Immune System R-HSA-168249,5/1035,0.0046299766937225,0.0447564413726509,TREX1;EP300;MASP2;MASP1;MBL2,29.08319670737473
GO_Molecular_Function_2023,Single-Stranded DNA Binding (GO:0003697),2/96,0.0049475906363984,0.0593500955096435,TREX1;SAMHD1,112.29921711841662
GO_Biological_Process_2023,Response To UV (GO:0009411),2/100,0.0053564969577325,0.0566899144320598,UVSSA;EP300,106.08302856731788
GO_Biological_Process_2023,Regulation Of Organelle Organization (GO:0033043),2/100,0.0053564969577325,0.0566899144320598,PRKN;EP300,106.08302856731788
Reactome_2022,LRR FLII-interacting Protein 1 (LRRFIP1) Activates Type I IFN Production R-HSA-3134973,1/5,0.0054883894433205,0.0502620927967247,EP300,1237.7032790036255
GO_Biological_Process_2023,Response To Manganese Ion (GO:0010042),1/5,0.0054883894433205,0.0566899144320598,PRKN,1237.7032790036255
GO_Biological_Process_2023,Hydrogen Peroxide Biosynthetic Process (GO:0050665),1/5,0.0054883894433205,0.0566899144320598,DUOX2,1237.7032790036255
GO_Biological_Process_2023,Purine Deoxyribonucleotide Catabolic Process (GO:0009155),1/5,0.0054883894433205,0.0566899144320598,SAMHD1,1237.7032790036255
GO_Biological_Process_2023,"Regulation Of Retrograde Transport, Endosome To Golgi (GO:1905279)",1/5,0.0054883894433205,0.0566899144320598,PRKN,1237.7032790036255
GO_Biological_Process_2023,Regulation Of Protein Targeting (GO:1903533),1/5,0.0054883894433205,0.0566899144320598,PRKN,1237.7032790036255
GO_Biological_Process_2023,Inclusion Body Assembly (GO:0070841),1/5,0.0054883894433205,0.0566899144320598,PRKN,1237.7032790036255
GO_Biological_Process_2023,Positive Regulation Of Autophagy Of Mitochondrion In Response To Mitochondrial Depolarization (GO:1904925),1/5,0.0054883894433205,0.0566899144320598,PRKN,1237.7032790036255
GO_Molecular_Function_2023,Endopeptidase Activity (GO:0004175),3/335,0.0056636358254255,0.0593500955096435,PIDD1;MASP2;MASP1,48.339710733712614
GO_Biological_Process_2023,Regulation Of Cellular Response To Stress (GO:0080135),2/107,0.0061082616847449,0.0566899144320598,PRKN;EP300,96.49028631861954
GO_Molecular_Function_2023,NAD(P)H Oxidase H2O2-forming Activity (GO:0016174),1/6,0.0065826171479286,0.0593500955096435,DUOX2,955.5316921910462
GO_Biological_Process_2023,Negative Regulation Of Type II Interferon-Mediated Signaling Pathway (GO:0060336),1/6,0.0065826171479286,0.0566899144320598,PARP14,955.5316921910462
GO_Biological_Process_2023,Positive Regulation Of Mitophagy In Response To Mitochondrial Depolarization (GO:0098779),1/6,0.0065826171479286,0.0566899144320598,PRKN,955.5316921910462
GO_Molecular_Function_2023,Acid Phosphatase Activity (GO:0003993),1/6,0.0065826171479286,0.0593500955096435,POLG,955.5316921910462
GO_Molecular_Function_2023,MutLalpha Complex Binding (GO:0032405),1/6,0.0065826171479286,0.0593500955096435,TREX1,955.5316921910462
GO_Molecular_Function_2023,MutSalpha Complex Binding (GO:0032407),1/6,0.0065826171479286,0.0593500955096435,TREX1,955.5316921910462
GO_Biological_Process_2023,Negative Regulation Of Response To Type II Interferon (GO:0060331),1/6,0.0065826171479286,0.0566899144320598,PARP14,955.5316921910462
GO_Biological_Process_2023,Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway (GO:1903376),1/6,0.0065826171479286,0.0566899144320598,PRKN,955.5316921910462
GO_Biological_Process_2023,Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000343),1/6,0.0065826171479286,0.0566899144320598,MBL2,955.5316921910462
GO_Biological_Process_2023,DNA Strand Resection Involved In Replication Fork Processing (GO:0110025),1/6,0.0065826171479286,0.0566899144320598,SAMHD1,955.5316921910462
GO_Biological_Process_2023,Nucleotide Catabolic Process (GO:0009166),1/6,0.0065826171479286,0.0566899144320598,SAMHD1,955.5316921910462
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,3/354,0.0065965746767869,0.0573901996880465,PIDD1;FANCD2;EP300,44.33251717851837
GO_Biological_Process_2023,Protein Deubiquitination (GO:0016579),2/112,0.0066731087173719,0.0566899144320598,PRKN;USP45,90.48373881227064
GO_Biological_Process_2023,Protein Modification By Small Protein Removal (GO:0070646),2/114,0.0069054863588978,0.0566899144320598,PRKN;USP45,88.25185030626267
GO_Biological_Process_2023,Protein Processing (GO:0016485),2/117,0.0072609023659122,0.0566899144320598,PIDD1;MASP1,85.069794688056
GO_Biological_Process_2023,Positive Regulation Of Cell Projection Organization (GO:0031346),2/118,0.0073811930735353,0.0566899144320598,CUX1;EP300,84.05084711071902
GO_Biological_Process_2023,Neuron Fate Specification (GO:0048665),1/7,0.0076756962402828,0.0566899144320598,MYT1L,771.8855078560287
GO_Biological_Process_2023,Somatic Hypermutation Of Immunoglobulin Genes (GO:0016446),1/7,0.0076756962402828,0.0566899144320598,SAMHD1,771.8855078560287
GO_Biological_Process_2023,Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903747),1/7,0.0076756962402828,0.0566899144320598,PRKN,771.8855078560287
GO_Biological_Process_2023,Protein K27-linked Ubiquitination (GO:0044314),1/7,0.0076756962402828,0.0566899144320598,PRKN,771.8855078560287
GO_Biological_Process_2023,Regulation Of Oxidative Stress-Induced Cell Death (GO:1903201),1/7,0.0076756962402828,0.0566899144320598,PRKN,771.8855078560287
GO_Biological_Process_2023,Regulation Of Dopamine Metabolic Process (GO:0042053),1/7,0.0076756962402828,0.0566899144320598,PRKN,771.8855078560287
GO_Biological_Process_2023,Negative Regulation Of Mitochondrial Fusion (GO:0010637),1/7,0.0076756962402828,0.0566899144320598,PRKN,771.8855078560287
GO_Molecular_Function_2023,Serine-Type Endopeptidase Activity (GO:0004252),2/125,0.0082484896013956,0.0593500955096435,MASP2;MASP1,77.44620595940778
GO_Molecular_Function_2023,Protease Binding (GO:0002020),2/125,0.0082484896013956,0.0593500955096435,PRKN;POLG,77.44620595940778
GO_Biological_Process_2023,Internal Protein Amino Acid Acetylation (GO:0006475),1/8,0.0087676277457428,0.0566899144320598,EP300,643.5130349149837
GO_Biological_Process_2023,Positive Regulation Of Opsonization (GO:1903028),1/8,0.0087676277457428,0.0566899144320598,MBL2,643.5130349149837
GO_Molecular_Function_2023,Peptide N-acetyltransferase Activity (GO:0034212),1/8,0.0087676277457428,0.0593500955096435,EP300,643.5130349149837
GO_Molecular_Function_2023,Superoxide-Generating NAD(P)H Oxidase Activity (GO:0016175),1/8,0.0087676277457428,0.0593500955096435,DUOX2,643.5130349149837
GO_Biological_Process_2023,Positive Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:1903265),1/8,0.0087676277457428,0.0566899144320598,PRKN,643.5130349149837
GO_Biological_Process_2023,Negative Regulation By Host Of Viral Genome Replication (GO:0044828),1/8,0.0087676277457428,0.0566899144320598,PRKN,643.5130349149837
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902253),1/8,0.0087676277457428,0.0566899144320598,PRKN,643.5130349149837
GO_Biological_Process_2023,Protein K29-linked Ubiquitination (GO:0035519),1/8,0.0087676277457428,0.0566899144320598,PRKN,643.5130349149837
GO_Biological_Process_2023,Cell Surface Pattern Recognition Receptor Signaling Pathway (GO:0002752),1/8,0.0087676277457428,0.0566899144320598,MBL2,643.5130349149837
GO_Biological_Process_2023,Transcription-Coupled Nucleotide-Excision Repair (GO:0006283),1/8,0.0087676277457428,0.0566899144320598,UVSSA,643.5130349149837
GO_Biological_Process_2023,Negative Regulation Of Oxidative Stress-Induced Neuron Death (GO:1903204),1/8,0.0087676277457428,0.0566899144320598,PRKN,643.5130349149837
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),4/763,0.0088831375425976,0.0566899144320598,PRKN;CUX1;MYT1L;EP300,26.57967418912759
Reactome_2022,Disease R-HSA-1643685,6/1736,0.00938247660734,0.0713612028179906,CUX1;EP300;MASP2;MASP1;PARP14;MBL2,18.467839036182927
GO_Molecular_Function_2023,STAT Family Protein Binding (GO:0097677),1/9,0.0098584127261176,0.0618085437699606,EP300,549.107257058779
GO_Biological_Process_2023,Regulation Of Cellular Response To Oxidative Stress (GO:1900407),1/9,0.0098584127261176,0.0566899144320598,PRKN,549.107257058779
Reactome_2022,PI5P Regulates TP53 Acetylation R-HSA-6811555,1/9,0.0098584127261176,0.0713612028179906,EP300,549.107257058779
GO_Biological_Process_2023,Negative Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034115),1/9,0.0098584127261176,0.0566899144320598,MBL2,549.107257058779
GO_Biological_Process_2023,Peptidyl-Lysine Acetylation (GO:0018394),1/9,0.0098584127261176,0.0566899144320598,EP300,549.107257058779
GO_Biological_Process_2023,Mitochondrial DNA Replication (GO:0006264),1/9,0.0098584127261176,0.0566899144320598,POLG,549.107257058779
GO_Biological_Process_2023,Regulation Of RNA Polymerase II Regulatory Region Sequence-Specific DNA Binding (GO:1903025),1/9,0.0098584127261176,0.0566899144320598,EP300,549.107257058779
GO_Biological_Process_2023,Negative Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042532),1/9,0.0098584127261176,0.0566899144320598,PARP14,549.107257058779
GO_Biological_Process_2023,Regulation Of Cell-Cell Adhesion Involved In Gastrulation (GO:0070587),1/9,0.0098584127261176,0.0566899144320598,MBL2,549.107257058779
GO_Biological_Process_2023,Protein K6-linked Ubiquitination (GO:0085020),1/9,0.0098584127261176,0.0566899144320598,PRKN,549.107257058779
MSigDB_Hallmark_2020,Coagulation,2/138,0.0099747093355758,0.0797976746846069,MASP2;MBL2,67.22502362528864
