gene,n_kinase,n_helical,median_kinase,median_helical,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,pathway,fdr,significant
TCEA3,7,8,-0.1784399563813604,-0.037573619588616144,-2.9158672399654115,-4.371088079914372,-1.4606464000164505,1.0,0.0006216006216006216,,0.5819163292847503,False
MSANTD3,7,8,-0.1253835735728233,0.03060100724660975,-2.7445269665125807,-4.156433225701964,-1.3326207073231975,0.0,0.0003108003108003108,,0.5819163292847503,False
HHLA2,7,8,0.0476181336372091,0.18817648353323865,-2.345902518485528,-3.6625827747329476,-1.0292222622381086,0.0,0.0003108003108003108,,0.5819163292847503,False
CALM3,7,8,-0.0768475041748635,0.08766073017314036,-2.321288387328941,-3.6323706952919803,-1.0102060793659013,1.0,0.0006216006216006216,,0.5819163292847503,False
OR10P1,5,7,-0.2376100799800926,-0.0070502714513201,-2.26427961350977,-3.7263661981013643,-0.8021930289181753,2.0,0.010101010101010102,,0.9112426035502958,False
HNRNPL,7,8,-1.4168075242049816,-1.0676418163241839,-2.2575943226740813,-3.5543563427930414,-0.9608323025551215,2.0,0.0012432012432012432,,0.8189933523266857,False
CUL2,7,8,-0.6140385848605739,-0.2234274497239072,-2.1683616129650094,-3.445475627710958,-0.8912475982190611,2.0,0.0012432012432012432,,0.8189933523266857,False
GOT1L1,7,8,0.0045444337554812,0.16334799287626844,-2.157324930946366,-3.432043334393958,-0.8826065274987736,3.0,0.0021756021756021756,,0.8999403697078115,False
RIPPLY1,7,8,-0.0455498176616094,0.17919571965496195,-2.123300060951893,-3.3906820155704818,-0.8559181063333041,5.0,0.005905205905205905,,0.9112426035502958,False
GABRA4,7,8,-0.089175046837261,0.1141747980122357,-2.12320350795602,-3.3905647498033806,-0.8558422661086598,2.0,0.0012432012432012432,,0.8189933523266857,False
TMEM107,7,8,-0.1711794389052765,-0.00604686451275695,-2.0800775879007705,-3.3382481232341226,-0.8219070525674181,2.0,0.0012432012432012432,,0.8189933523266857,False
SEPTIN14,5,7,-0.3982548069906857,-0.2187568391730605,-2.042058055867908,-3.4507898409834574,-0.6333262707523586,1.0,0.005050505050505051,,0.9112426035502958,False
NNT,7,8,-0.0953773854293978,0.1071364512662543,-2.035072644425516,-3.2837832677613457,-0.7863620210896864,3.0,0.0021756021756021756,,0.8999403697078115,False
PUM2,7,8,-0.2940919918576788,-0.1188372846806129,-2.0113011076989658,-3.2550701427650326,-0.7675320726328989,1.0,0.0006216006216006216,,0.5819163292847503,False
TLCD5,7,8,-0.1440828575450939,0.0395438849176411,-2.000117895975522,-3.2415755396313717,-0.7586602523196726,2.0,0.0012432012432012432,,0.8189933523266857,False
OR4N2,5,7,-0.5451725165362806,-0.1036780153460559,-1.9781635410301834,-3.372226097516117,-0.58410098454425,4.0,0.030303030303030304,,0.9436619400543729,False
PRRG2,7,8,-0.0567632913642154,0.1462470512946965,-1.9647888410519154,-3.199001338654151,-0.7305763434496797,6.0,0.009324009324009324,,0.9112426035502958,False
FAR1,7,8,-0.0549784913874354,0.1167818800596893,-1.958038828238539,-3.190876965256927,-0.7252006912201512,4.0,0.0037296037296037296,,0.9112426035502958,False
APOC4,7,8,-0.0595343735294012,0.06500486578025161,-1.9480753247391933,-3.1788906646984847,-0.7172599847799017,4.0,0.0037296037296037296,,0.9112426035502958,False
COMT,7,8,-0.2041053275101783,-0.11359078030250885,-1.9355484402689145,-3.163830522274112,-0.7072663582637171,2.0,0.0012432012432012432,,0.8189933523266857,False
TTC27,7,8,-2.4156487310862045,-1.7852329408081649,-1.9231777860425585,-3.1489691532248125,-0.6973864188603045,5.0,0.005905205905205905,,0.9112426035502958,False
KIAA1143,7,8,-0.6603995570508666,-0.37769182219929376,-1.9231049455368407,-3.148881679323176,-0.6973282117505053,3.0,0.0021756021756021756,,0.8999403697078115,False
THOC2,7,8,-1.8370026057239737,-1.2880783332813275,-1.9064044227642654,-3.128836128693784,-0.6839727168347469,5.0,0.005905205905205905,,0.9112426035502958,False
ZNF699,7,8,-0.4115374273530717,0.0171517484010344,-1.9030430237663505,-3.124803885663126,-0.681282161869575,6.0,0.009324009324009324,,0.9112426035502958,False
SNRNP27,7,8,-1.7341572509415035,-1.319368989706755,-1.9023399933841494,-3.1239606526666197,-0.6807193341016788,5.0,0.005905205905205905,,0.9112426035502958,False
LMBR1L,7,8,-0.2984858811918364,-0.05353825902922875,-1.899104271329217,-3.120080103877445,-0.6781284387809887,5.0,0.005905205905205905,,0.9112426035502958,False
DNAJC12,7,8,-0.0562604705250541,0.0254993025864732,-1.8989724361557936,-3.119922012160128,-0.6780228601514593,0.0,0.0003108003108003108,,0.5819163292847503,False
CCDC61,7,8,-0.2167943462589116,-0.04096409464374465,-1.896364216584628,-3.116794593397815,-0.6759338397714407,5.0,0.005905205905205905,,0.9112426035502958,False
OFD1,7,8,-0.0774061004852185,0.08466845133279649,-1.8900201268747896,-3.109189691715163,-0.6708505620344158,5.0,0.005905205905205905,,0.9112426035502958,False
WRN,7,8,-2.0005954674426363,-0.171634758601716,-1.8864062395621848,-3.104858895200795,-0.6679535839235746,9.0,0.028904428904428903,,0.9436619400543729,False
MDM2,7,8,-1.0075729366656447,-0.3496813950179179,-1.8755475100642878,-3.0918517823251856,-0.6592432378033899,4.0,0.0037296037296037296,,0.9112426035502958,False
LACRT,7,8,-0.2159489237990132,-0.01826157584192865,-1.8670811665877498,-3.081716373252849,-0.6524459599226506,1.0,0.0006216006216006216,,0.5819163292847503,False
PDP2,7,8,-0.2091578006149476,-0.0575018660507068,-1.8655985737968965,-3.0799420418993133,-0.6512551056944795,4.0,0.0037296037296037296,,0.9112426035502958,False
DUSP22,7,8,-0.3020320868831738,-0.1646543075885843,-1.8327133672737255,-3.040627609355469,-0.6247991251919818,6.0,0.009324009324009324,,0.9112426035502958,False
TRNAU1AP,7,8,-0.8039022130345634,-0.3046776193344619,-1.824776758869942,-3.031151415477977,-0.6184021022619073,5.0,0.005905205905205905,,0.9112426035502958,False
SSBP2,7,8,-0.1648261909416465,0.04130376312505725,-1.8207140164252011,-3.026302388784542,-0.6151256440658601,6.0,0.009324009324009324,,0.9112426035502958,False
G6PC1,7,8,-0.3437450462653887,-0.0861464880137809,-1.8198143474135606,-3.025228769788398,-0.6143999250387231,5.0,0.005905205905205905,,0.9112426035502958,False
PLA2G12B,7,8,-0.1749857190306641,0.0504085143501116,-1.8176285985897986,-3.022620662615812,-0.6126365345637856,8.0,0.020512820512820513,,0.9436619400543729,False
MMUT,7,8,-0.0582635568179734,0.059311877243545,-1.8114548543342786,-3.015255892973447,-0.6076538156951101,4.0,0.0037296037296037296,,0.9112426035502958,False
APAF1,7,8,-0.1270290039024822,0.042431372226148956,-1.8060317130557113,-3.0087889057746735,-0.6032745203367491,6.0,0.009324009324009324,,0.9112426035502958,False
ART4,7,8,-0.0643055807439846,0.11051970323546374,-1.8058914829955977,-3.008621713754328,-0.6031612522368675,4.0,0.0037296037296037296,,0.9112426035502958,False
ZBED4,7,8,-0.2171308678641698,-0.0494947948711963,-1.8008002394821847,-3.0025525888419677,-0.5990478901224019,5.0,0.005905205905205905,,0.9112426035502958,False
STARD3NL,7,8,-0.1332874254573895,0.0699518339469474,-1.7963359093163356,-2.997232408377296,-0.5954394102553753,1.0,0.0006216006216006216,,0.5819163292847503,False
H1-4,7,8,-0.3796924058602801,-0.1575391251758326,-1.7924971408128874,-2.9926589274170734,-0.5923353542087011,7.0,0.013986013986013986,,0.9112426035502958,False
CGRRF1,7,8,-0.1155834318842319,0.01531654973566015,-1.791273633154103,-2.99120148520126,-0.5913457811069462,5.0,0.005905205905205905,,0.9112426035502958,False
FANCI,7,8,-0.2680744596329017,-0.0870272868504493,-1.7709916654788576,-2.967058289396844,-0.5749250415608713,6.0,0.009324009324009324,,0.9112426035502958,False
BTG4,7,8,-0.0245809400702967,0.12062606831284665,-1.7689088059049614,-2.9645806887893316,-0.5732369230205911,6.0,0.009324009324009324,,0.9112426035502958,False
IPO7,7,8,-1.1498244764476115,-0.8756080779936586,-1.7662970959915518,-2.961474483333186,-0.5711197086499178,4.0,0.0037296037296037296,,0.9112426035502958,False
FAM186A,7,8,-0.2203378909172037,-0.037385998704577,-1.7652953069853632,-2.9602831573992305,-0.5703074565714958,7.0,0.013986013986013986,,0.9112426035502958,False
KIF3B,7,8,-0.0491157239247798,0.023673766065936998,-1.7490619763786726,-2.9409893331551644,-0.5571346196021807,1.0,0.0006216006216006216,,0.5819163292847503,False
CARD18,7,8,0.0457920428362178,0.1712362292404772,-1.7481865222580995,-2.9399494096785936,-0.5564236348376053,8.0,0.020512820512820513,,0.9436619400543729,False
ACR,7,8,-0.2843204940976654,-0.0955080035643911,-1.7423137009505474,-2.932974819931805,-0.5516525819692897,5.0,0.005905205905205905,,0.9112426035502958,False
TNS2,7,8,-0.2774072516027561,-0.17313868542720712,-1.6997238401313548,-2.882475925949451,-0.5169717543132588,1.0,0.0006216006216006216,,0.5819163292847503,False
ARMC2,7,8,-0.1618192256007393,0.06691145192802815,-1.6988445586548229,-2.8814348719160643,-0.5162542453935814,5.0,0.005905205905205905,,0.9112426035502958,False
DDX3X,7,8,-1.1658649804007166,-0.8904251285761775,-1.6970107939142605,-2.879263924437258,-0.5147576633912627,4.0,0.0037296037296037296,,0.9112426035502958,False
PLK4,7,8,-1.3930282107375789,-0.8382044683185231,-1.6924539089164141,-2.8738703055577375,-0.511037512275091,5.0,0.005905205905205905,,0.9112426035502958,False
GDF3,7,8,-0.0849882735177189,0.08925134372135625,-1.6876841132718112,-2.8682264588063657,-0.5071417677372567,4.0,0.0037296037296037296,,0.9112426035502958,False
RNF115,7,8,-0.2390710806500798,-0.016714022229204546,-1.6812664653860463,-2.8606356712352556,-0.501897259536837,8.0,0.020512820512820513,,0.9436619400543729,False
ITGA2,7,8,-0.1433695918534545,0.08071132699015765,-1.6684153100875565,-2.845445292076417,-0.49138532809869573,6.0,0.009324009324009324,,0.9112426035502958,False
SORT1,7,8,-0.1936871023073532,-0.0724786322478399,-1.6599959808887477,-2.83550066954366,-0.48449129223383514,6.0,0.009324009324009324,,0.9112426035502958,False
FNDC8,7,8,-0.2052372633255338,0.0168562395040597,-1.6541449812963038,-2.828593054786637,-0.4796969078059703,6.0,0.009324009324009324,,0.9112426035502958,False
ADAMTSL1,7,8,-0.0091705621698149,0.0795982538839987,-1.6476805453374057,-2.8209644628631,-0.47439662781171177,7.0,0.013986013986013986,,0.9112426035502958,False
COPB1,7,8,-2.4171641985879733,-1.8117165317126598,-1.645843808097246,-2.8187975759801382,-0.47289004021435366,6.0,0.009324009324009324,,0.9112426035502958,False
