gene,n_kinase,n_helical,median_kinase,median_helical,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,pathway,fdr,significant
PRB4,20,17,-0.1643420901546661,0.001398928733717,-0.8628557948925114,-1.5386444763575189,-0.18706711342750393,85.0,0.010017335977648936,,0.8565259057540646,False
ARHGAP9,38,46,-0.2933704518164154,-0.17491178778228533,-0.8522269130879935,-1.300789320362643,-0.4036645058133438,440.0,9.786464448872909e-05,,0.687097116982018,False
APOM,38,46,-0.12378511491823725,-0.06267768181475256,-0.8438308535188394,-1.2920301610076887,-0.3956315460299899,499.0,0.0007637787232720312,,0.8322510780505333,False
C3orf18,38,46,-0.08318704124104209,-0.01432456419269965,-0.8347421410106302,-1.2825521192901925,-0.38693216273106773,449.0,0.0001362139490415195,,0.687097116982018,False
SNRPD1,38,46,-3.301362829577252,-2.9151975921551294,-0.8110193535000004,-1.2578314481296244,-0.3642072588703763,482.0,0.0004341971736579793,,0.7785589520861228,False
JAZF1,38,46,-0.5593320393601613,-0.41855397416733414,-0.8010345740219079,-1.2474346182636007,-0.3546345297802152,475.0,0.0003419096447185737,,0.7296072642522401,False
SNTB2,38,46,-0.0975484824608876,-0.0400787399435838,-0.798723093665411,-1.245028421948438,-0.352417765382384,523.0,0.0016331945626663783,,0.845235306645247,False
OR7A10,30,40,-0.6239247131917232,-0.47811891520143696,-0.7774724179763765,-1.2680546872612444,-0.28689014869150853,356.0,0.003854706381977856,,0.845235306645247,False
POLR2D,38,46,-2.2200933132123377,-1.8807606264353538,-0.770767121319077,-1.2159470520956617,-0.32558719054249224,532.0,0.002147549213792977,,0.845235306645247,False
TVP23A,38,46,-0.12751242406844576,-0.030104331225222547,-0.7562859169777397,-1.200897574249615,-0.3116742597058644,495.0,0.0006700588635673189,,0.8051492118044498,False
CTAGE9,30,40,-0.5548096799044524,-0.4643712103252309,-0.7493273292023332,-1.2387063816134216,-0.2599482767912449,335.0,0.001695037627522279,,0.845235306645247,False
GSDMB,38,46,-0.2372761141775718,-0.12414001862809455,-0.747249577133465,-1.191511729696818,-0.30298742457011185,516.0,0.0013143830633881443,,0.845235306645247,False
TLCD5,38,46,-0.03889136342594795,0.0251665339797733,-0.7324859742014661,-1.1761855664283758,-0.2887863819745564,493.0,0.0006273179537860979,,0.8051492118044498,False
TBCC,38,46,-0.9244250467632555,-0.7952564216967767,-0.7307707285709134,-1.174405644318224,-0.28713581282360284,529.0,0.0019615639655306033,,0.845235306645247,False
GANC,38,46,-0.01998166853042975,0.0394892592797948,-0.7282459266234115,-1.1717858988732348,-0.2847059543735881,541.0,0.002806736547035083,,0.845235306645247,False
DHH,38,46,-0.169343426780708,-0.09388934518317625,-0.7270788013604395,-1.170574988852172,-0.283582613868707,564.0,0.0054116834800818905,,0.845235306645247,False
PTPN20,30,40,-0.29684013126588504,-0.21943418321727,-0.7182017567703679,-1.206298578500965,-0.23010493503977075,396.0,0.015730861035328274,,0.8820534702664216,False
IL20RB,38,46,0.0484233165264949,0.10425277901554045,-0.7101865736507111,-1.1530564391292497,-0.26731670817217246,546.0,0.0032482443914297046,,0.845235306645247,False
MAP4,38,46,-0.06309477130469054,0.0406593762546335,-0.708067319625913,-1.1508595861579396,-0.26527505309388644,542.0,0.002890388323484444,,0.845235306645247,False
GRAP,20,17,-0.6112888860897383,-0.3363129154232776,-0.7055313727734741,-1.371775608361816,-0.039287137185132215,108.0,0.06089183610091669,,0.9106266279354857,False
SPAG5,38,46,-0.5008087709188842,-0.33363875439366175,-0.7042907777787135,-1.1469453032075112,-0.2616362523499158,542.0,0.002890388323484444,,0.845235306645247,False
SYF2,38,46,-1.1715699943706008,-0.9255287856458435,-0.6925005081607198,-1.1347294782353763,-0.2502715380860634,524.0,0.0016841490618604556,,0.845235306645247,False
ZC3HAV1L,38,46,0.04107925739672895,0.12250509237489976,-0.6923771958644651,-1.1346017509494548,-0.25015264077947547,554.0,0.004087639607600063,,0.845235306645247,False
FBLIM1,38,46,-0.5641306929569779,-0.4260239525618621,-0.6922105014439154,-1.1344290894948954,-0.24999191339293525,509.0,0.0010538959795596268,,0.845235306645247,False
SEPTIN12,30,40,-0.1054112345518969,-0.044505322441058745,-0.6898593101835158,-1.1768331030849688,-0.2028855172820626,363.0,0.0050045831025862806,,0.845235306645247,False
