gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
PIK3CA,10,20,-0.9027372947411253,-0.37590625631184765,-2.11332612964674,-3.041852295518822,-1.1847999637746578,18.0,0.00033640468956772746,0.9088228929705401,False
TAF7L,10,20,-0.24436431765438063,-0.052170164612561604,-1.7572909751167547,-2.637024165374565,-0.8775577848589445,20.0,0.00046958139251866075,0.9088228929705401,False
VAC14,10,20,-0.3142166169547056,-0.00682534650454605,-1.5679009306773606,-2.424411670109272,-0.7113901912454492,24.0,0.0008951664625884155,0.9088228929705401,False
CDCA4,10,20,-0.01888179830883005,0.10234776050669264,-1.5256971816725664,-2.3773141967004836,-0.6740801666446494,30.0,0.0022312287944869767,0.9088228929705401,False
CLDN6,10,20,-0.39234835990670547,-0.24712086132111885,-1.518410890423044,-2.369193744322246,-0.667628036523842,32.0,0.0029818378302928876,0.9088228929705401,False
CCND3,10,20,-0.33909128532536914,-0.19584911541836397,-1.4652517251326076,-2.310045564607457,-0.6204578856577582,33.0,0.003437816753212987,0.9088228929705401,False
ADCY10,10,20,-0.0745337130532023,0.0372026064995882,-1.4568692492150108,-2.3007343928867314,-0.6130041055432901,27.0,0.0014248228463931592,0.9088228929705401,False
DNTTIP2,10,20,-0.85930609424433,-0.6421203900484316,-1.4517491010789894,-2.2950491040284033,-0.6084490981295756,32.0,0.0029818378302928876,0.9088228929705401,False
SCUBE1,10,20,-0.111923715889808,0.020519943721569803,-1.4305966121232323,-2.2715790199675743,-0.5896142042788901,30.0,0.0022312287944869767,0.9088228929705401,False
PSEN2,10,20,-0.0542906347679148,0.08393460744303899,-1.418674153910733,-2.2583624796692945,-0.5789858281521715,31.0,0.002581694627532779,0.9088228929705401,False
PDE2A,10,20,-0.1370796864324965,-0.0353709436734506,-1.4120627464924804,-2.2510372749882173,-0.5730882179967436,36.0,0.005212047135633487,0.9088228929705401,False
MLANA,10,20,-0.0504470595600988,0.07456780292269935,-1.3937182887366677,-2.2307265885758256,-0.5567099888975097,31.0,0.002581694627532779,0.9088228929705401,False
TMEM174,10,20,-0.2013862395542739,-0.065830195200692,-1.3798921138348492,-2.2154324555097213,-0.5443517721599771,31.0,0.002581694627532779,0.9088228929705401,False
AGK,10,20,-0.05000574444812805,0.06145946820636575,-1.3551207867819897,-2.1880613739653723,-0.5221801995986072,44.0,0.014619322581996158,0.9088228929705401,False
CYSLTR2,10,20,-0.0107040992496287,0.09329967703844774,-1.3412483604984025,-2.1727501227678383,-0.5097465982289664,34.0,0.003956418121560182,0.9088228929705401,False
CENPP,10,20,-0.37727285916470443,-0.15486604053495845,-1.3316259610316679,-2.1621369540942776,-0.5011149679690583,32.0,0.0029818378302928876,0.9088228929705401,False
UPRT,10,20,-0.0040311366603761,0.0735334605969518,-1.3273123553759192,-2.1573811330096557,-0.49724357774218264,28.0,0.0016575750497255183,0.9088228929705401,False
ACYP1,10,20,-0.08552141002124419,-0.00031161018824165006,-1.3054887038488105,-2.133338635479195,-0.4776387722184263,33.0,0.003437816753212987,0.9088228929705401,False
SST,10,20,0.06058469042302525,0.15441200710884107,-1.3030429934505716,-2.130646190972175,-0.4754397959289681,37.0,0.005966197110912019,0.9088228929705401,False
SEMA3F,10,20,-0.3243970490955058,-0.15224686490084655,-1.2944715324461749,-2.1212130782574006,-0.46772998663494936,38.0,0.006817305503629308,0.9088228929705401,False
KIAA1217,10,20,-0.1048082124278715,0.05479593248153025,-1.293689827057836,-2.120353029867684,-0.46702662424798824,31.0,0.002581694627532779,0.9088228929705401,False
ATP5MC3,10,20,-0.06874851347338574,0.0607792908685159,-1.2843401224217794,-2.1100693882461368,-0.4586108565974222,30.0,0.0022312287944869767,0.9088228929705401,False
C1QTNF2,10,20,0.0028757488577948014,0.1233098754859816,-1.2702868591139824,-2.0946231336022767,-0.44595058462568804,42.0,0.011417221487911742,0.9088228929705401,False
ETAA1,10,20,-0.20350987534614165,-0.02941057365536645,-1.2688269054473063,-2.093019210704928,-0.4446346001896845,35.0,0.00454510196108324,0.9088228929705401,False
TAS1R2,10,20,-0.15198209901624476,-0.030265726325825353,-1.2671911164274234,-2.0912222797916744,-0.4431599530631727,42.0,0.011417221487911742,0.9088228929705401,False
AVPR2,10,20,-0.00337409550874585,0.08400014689475546,-1.261818053664642,-2.0853211576105277,-0.43831494971875606,35.0,0.00454510196108324,0.9088228929705401,False
