gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
RPL23A,9,22,-2.8299391897215855,-2.1415412604671857,-1.2540315308703225,-2.090020144331001,-0.41804291740964405,34.0,0.005000489983333209,0.8566028183257335,False
HTR1F,21,42,-0.0644929482105995,0.0339411181697982,-1.160434057620618,-1.7220789314433476,-0.5987891837978886,157.0,3.5725861490650695e-05,0.6406004223888576,False
URB2,21,42,-0.9194158467687572,-0.679856130582011,-1.149297295097626,-1.7102435755663254,-0.5883510146289262,192.0,0.0002909766259814439,0.8341473167933878,False
LAMP5,21,42,0.0846245948894619,0.17615622796276165,-1.0949720370017364,-1.6525952478492825,-0.5373488261541903,175.0,0.00010835928465927537,0.7788284768833005,False
PIK3CA,21,42,-0.8107308633373845,-0.4237573400799902,-1.0626020948269352,-1.6183127774350963,-0.5068914122187741,190.0,0.00025983704315199425,0.8341473167933878,False
WDR36,9,22,-1.9352771952673056,-1.594842398691663,-1.0405431068477624,-1.8581771338932873,-0.2229090798022375,40.0,0.010900086681328884,0.8566028183257335,False
DDX51,21,42,-1.391237168448881,-0.9805078879366886,-1.0281263065781976,-1.5818562221208257,-0.4743963910355695,216.0,0.0010630843807991443,0.8341473167933878,False
TRNAU1AP,21,42,-0.4493853872915174,-0.2105064429308962,-1.0099544637227305,-1.5626638665969315,-0.45724506084852945,218.0,0.0011781580508938789,0.8341473167933878,False
CIRSR,21,42,-0.4638544579695329,-0.27240365120437554,-0.9955482592500865,-1.5474602459893259,-0.44363627251084703,215.0,0.0010095318661548557,0.8341473167933878,False
HMGB3,9,22,-0.012320565066625,0.10198537061104425,-0.9807973145566228,-1.7938427153468428,-0.16775191376640264,42.0,0.013938404759043264,0.8566028183257335,False
EIF2B1,21,42,-1.1498567195853908,-0.9209103263808053,-0.9766975521988165,-1.5275817141605104,-0.4258133902371227,207.0,0.0006628550987029794,0.8341473167933878,False
EXOSC1,21,42,-0.6971013481552748,-0.4471372802335203,-0.9685140733656545,-1.5189575648939642,-0.4180705818373449,239.0,0.003304119778040645,0.8341473167933878,False
SUPT4H1,21,42,-0.9195107297783808,-0.5968970702752185,-0.9633850756656064,-1.5135540888089483,-0.4132160625222646,235.0,0.0027332149352944698,0.8341473167933878,False
FGF13,21,42,-0.02082187596552,0.03527740284856735,-0.9614701224188392,-1.5115369955112241,-0.41140324932645433,234.0,0.002605336926011771,0.8341473167933878,False
GAPT,21,42,-0.111234000551884,-0.039055601050748304,-0.9602094028640292,-1.5102091321266249,-0.4102096736014337,224.0,0.001596014796309741,0.8341473167933878,False
CDIPT,21,42,-0.9011360254362086,-0.631602892973546,-0.9461875865214974,-1.4954459311327497,-0.39692924191024503,229.0,0.0020442122572785037,0.8341473167933878,False
PELO,21,42,-1.2576661150993165,-0.9295773200301523,-0.9453804140149256,-1.4945963822270352,-0.39616444580281596,241.0,0.003628547806027787,0.8341473167933878,False
GRIP1,21,42,-0.039042499887724,0.05908728655333435,-0.941895381001519,-1.4909287634348587,-0.3928619985681794,211.0,0.0008193379455667,0.8341473167933878,False
C17orf50,21,42,-0.2861073520661576,-0.22797792186927945,-0.9315000442926777,-1.4799924495782082,-0.3830076390071474,260.0,0.008494798354949644,0.8566028183257335,False
AHSG,21,42,0.0112672295527112,0.1157025066066576,-0.9279272204762675,-1.476234958914974,-0.37961948203756113,225.0,0.0016776720195367588,0.8341473167933878,False
CDC14A,21,42,-0.0141200480411692,0.06966819370086405,-0.9170978038202491,-1.4648497675877967,-0.36934584005270144,231.0,0.0022538188540404494,0.8341473167933878,False
ZEB1,21,42,-0.0524352404248063,0.06986713081558055,-0.9132201475524846,-1.4607745573007074,-0.3656657378042618,213.0,0.0009098396300594814,0.8341473167933878,False
EFNA5,21,42,-0.0830426460023973,0.01116052429091105,-0.9130338653391676,-1.4605788038943373,-0.36548892678399814,215.0,0.0010095318661548557,0.8341473167933878,False
MYLIP,21,42,-0.1155337305712814,0.0402989685914668,-0.9063599163496046,-1.4535666969641161,-0.3591531357350929,218.0,0.0011781580508938789,0.8341473167933878,False
POLR1G,21,42,-0.496582569382525,-0.3422561429314003,-0.8935802059518761,-1.4401458098352835,-0.3470146020684687,266.0,0.010950901505203019,0.8566028183257335,False
ISG20L2,21,42,-1.1275750224565668,-0.9353327863791071,-0.8915440791456659,-1.4380082996167434,-0.34507985867458835,237.0,0.0030063269552469763,0.8341473167933878,False
ZDHHC17,21,42,-0.1713359439618356,-0.00758131760742295,-0.8909063159873946,-1.4373388244761318,-0.3444738074986573,240.0,0.0034628773282974036,0.8341473167933878,False
STEEP1,21,42,-0.3457167117897543,-0.14169385771997323,-0.890641369123781,-1.4370607095894234,-0.34422202865813856,260.0,0.008494798354949644,0.8566028183257335,False
LAS1L,21,42,-1.0092559966057988,-0.7366729304829296,-0.8879500300261303,-1.4342358133040118,-0.3416642467482488,237.0,0.0030063269552469763,0.8341473167933878,False
RRP15,21,42,-0.9103815037979204,-0.7791048978497621,-0.8871956120168458,-1.4334440241297974,-0.3409471999038943,231.0,0.0022538188540404494,0.8341473167933878,False
SEPSECS,21,42,-0.4450130539976413,-0.10231345766711414,-0.8842592006209051,-1.43036243161131,-0.33815596963050043,229.0,0.0020442122572785037,0.8341473167933878,False
PPAN,21,42,-1.61253918529761,-1.2887935715599408,-0.8820815171020823,-1.428077365758183,-0.33608566844598164,226.0,0.0017631570727566963,0.8341473167933878,False
DDI2,21,42,-0.1545950325266749,-0.06878904586572955,-0.8811377080688357,-1.4270870928717696,-0.33518832326590187,242.0,0.0038013954791704502,0.8566028183257335,False
WDR25,21,42,-0.7969294637544265,-0.6611848017245967,-0.8740332738380789,-1.4196343768756636,-0.32843217080049425,266.0,0.010950901505203019,0.8566028183257335,False
TGOLN2,21,42,-0.1521445495320423,-0.10080671997024605,-0.8732079574728812,-1.4187687693511188,-0.32764714559464336,266.0,0.010950901505203019,0.8566028183257335,False
RPL35A,9,22,-2.1168647733498,-1.9517561834462165,-0.8718123276890061,-1.6771277241137301,-0.06649693126428202,62.0,0.11218267314598548,0.9196775670675348,False
MMP9,21,42,-0.0316160449996923,0.02145845530518485,-0.8716077998573127,-1.4170905935463618,-0.32612500616826356,224.0,0.001596014796309741,0.8341473167933878,False
VSTM2A,21,42,0.0792985517936103,0.14394893810339354,-0.8539487823388906,-1.3985793599717613,-0.3093182047060199,265.0,0.010502147243842188,0.8566028183257335,False
OR5B3,18,32,-0.19718899189228026,-0.1371922761902662,-0.851635451479172,-1.4527356200308823,-0.25053528292746174,177.0,0.02552594643959167,0.8566028183257335,False
CIBAR1,21,42,-0.0466590959903031,0.02405691767282935,-0.8513982193771743,-1.3959070408398822,-0.30688939791446646,253.0,0.0062607011541950175,0.8566028183257335,False
TMEM145,21,42,0.0426301407492007,0.12969647187799405,-0.8493083049405145,-1.3937176114615448,-0.3048989984194841,214.0,0.0009584859431501937,0.8341473167933878,False
ARHGEF37,21,42,0.0275797859236498,0.0976753742439115,-0.8466288149062037,-1.3909108641126644,-0.30234676569974306,222.0,0.0014435699897380513,0.8341473167933878,False
TIMM8B,9,22,0.013327689174694,0.12596823061576812,-0.8453770406387795,-1.6489442723424808,-0.04180980893507813,59.0,0.08561130334110775,0.9142423474033659,False
DBP,21,42,-0.2073884572857494,-0.09984197249407185,-0.8449360313418921,-1.3891378769757248,-0.3007341857080593,241.0,0.003628547806027787,0.8341473167933878,False
