gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
TSEN15,6,65,-0.14273616600266326,0.0442010610250878,-2.1378567513172273,-3.0450415307796357,-1.2306719718548187,39.0,0.00040172044492504797,0.3944732852341627,False
KLHL31,6,65,-0.08361114395713934,0.0952147862870793,-1.904160253964465,-2.797149764572768,-1.0111707433561623,24.0,4.498006580816837e-05,0.3499372601313602,False
C1orf226,6,65,-0.28242484528786777,-0.0737217947024836,-1.7893989797368004,-2.675944695900836,-0.9028532635727647,73.0,0.009307885191963952,0.7533493910117757,False
OR14J1,5,54,-0.0939727921968499,-0.00552916165847105,-1.73565615611088,-2.703902564095085,-0.7674097481266751,12.0,7.869948501773534e-05,0.3499372601313602,False
ZDHHC5,6,65,-0.18920478379109962,0.0558088591539242,-1.6502984468897193,-2.5295138093105796,-0.7710830844688591,50.0,0.0013452824090747903,0.5280946447614817,False
CLIP2,6,65,-0.057953274007054106,0.0532672454763158,-1.6491292807393119,-2.528285294340619,-0.769973267138005,27.0,7.475265205561169e-05,0.3499372601313602,False
DECR1,6,65,-0.13339500166625035,-0.0268279893428129,-1.5471959239280106,-2.421324778326616,-0.6730670695294055,87.0,0.02347974796276854,0.8402631735730408,False
ALDH6A1,6,65,-0.1555784242825388,-0.0193692577060382,-1.5420149940086858,-2.4158961522890987,-0.6681338357282727,52.0,0.0016358025236581915,0.5493392338784605,False
ZNF33A,6,65,-0.011708694104159648,0.1106944359914954,-1.5279565779025857,-2.4011694502720076,-0.654743705533164,52.0,0.0016358025236581915,0.5493392338784605,False
LRRC3,6,65,-0.12929139319697336,0.042540485313793,-1.5206799307295653,-2.3935491026060047,-0.6478107588531257,57.0,0.0025973788575355144,0.5794820977553918,False
CDS2,6,65,-0.8337491333104695,-0.325859672488862,-1.51836697776222,-2.3911272165061264,-0.6456067390183134,58.0,0.00283729116134934,0.5794820977553918,False
KLHL12,6,65,-0.24750974670414577,-0.1009482299893177,-1.509748387637838,-2.382104057752204,-0.6373927175234717,62.0,0.003989121582954228,0.6334867542359277,False
RPUSD2,6,65,-0.360776603398535,-0.1842838062730289,-1.4671229103152865,-2.337508862001116,-0.596736958629457,64.0,0.004696848914577318,0.6528748668789863,False
TVP23A,6,65,-0.17048474638073569,-0.0634570390057877,-1.4618985534446505,-2.3320466674286946,-0.5917504394606066,96.0,0.03952020360092029,0.853627084596251,False
CSNK1A1L,6,65,-0.08417547109089625,0.0691005949118267,-1.4601468008278844,-2.330215342084491,-0.5900782595712778,33.0,0.00018399793451984677,0.3944732852341627,False
MALT1,6,65,-0.058918193450047354,0.1080939788644805,-1.443003392513928,-2.312297856558617,-0.5737089284692393,82.0,0.017166688897190238,0.8229830962949476,False
DAOA,6,65,-0.15554250568273298,-0.0305077238795567,-1.4397196344956742,-2.3088667920813855,-0.570572476909963,63.0,0.004330877916553516,0.6527880900323799,False
CASR,6,65,-0.11836960490299045,0.0071620148231407,-1.4388874424221207,-2.307997317955985,-0.5697775668882564,69.0,0.006934987724638406,0.7008277935819244,False
