gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
IRF2BP1,16,12,-0.1715297045840607,-0.03413736130247405,-1.8466285711193506,-2.7377698009170928,-0.9554873413216085,14.0,0.0001546118995246999,0.9821846946056436,False
RHOXF2,14,11,-0.22760225148085925,-0.0690559183330544,-1.7219030698023567,-2.644620862788577,-0.7991852768161363,15.0,0.0007604285554638057,0.9821846946056436,False
RANGRF,16,12,-0.0143311014371491,0.1367214601309721,-1.5447717027675634,-2.395599684283098,-0.6939437212520287,25.0,0.0010645753794782137,0.9821846946056436,False
CPEB2,16,12,0.02058931390302935,0.1229543333517731,-1.53974451995187,-2.3899471736372577,-0.6895418662664823,27.0,0.0014725845118836066,0.9821846946056436,False
IFFO1,16,12,-0.07747307896376579,0.04471511270112425,-1.521769921334772,-2.3697496780682896,-0.6737901646012544,30.0,0.0023598093847258836,0.9821846946056436,False
NT5DC2,16,12,-0.23539659910230246,-0.0611218016260032,-1.5196063207218966,-2.367319877430193,-0.6718927640136,31.0,0.0027504167559393683,0.9821846946056436,False
DDR2,16,12,-0.08522085039326155,0.01563244481551945,-1.501346771445788,-2.346825542380373,-0.6558680005112031,23.0,0.0007634194545922867,0.9821846946056436,False
FCHSD1,16,12,0.01835743788213675,0.16238084280472265,-1.4337220861898567,-2.271110234720945,-0.5963339376587683,24.0,0.0009024207473749755,0.9821846946056436,False
DHH,16,12,-0.2331309923002893,-0.07649147373793845,-1.4292834283493399,-2.2661509096563273,-0.5924159470423526,27.0,0.0014725845118836066,0.9821846946056436,False
OR1D2,14,11,-0.741002012086555,-0.4530849443952565,-1.4134233968834697,-2.2949562313422955,-0.5318905624246438,22.0,0.0028488217372830706,0.9821846946056436,False
ATP4B,16,12,0.0741016957113383,0.20970974637103718,-1.3849599688165002,-2.2166994336190444,-0.5532205040139561,39.0,0.008717292121027228,0.9821846946056436,False
PEX11A,16,12,-0.0721986626167786,0.08004386499672511,-1.3844548953922908,-2.2161366771141013,-0.5527731136704804,30.0,0.0023598093847258836,0.9821846946056436,False
KHDC4,16,12,-0.3332049374758425,-0.09800638938804535,-1.3661929898021283,-2.19580060340472,-0.5365853761995363,31.0,0.0027504167559393683,0.9821846946056436,False
LMNTD2,16,12,-0.09488430876189305,0.06923391932936415,-1.356610628797407,-2.1851388561143,-0.5280824014805138,23.0,0.0007634194545922867,0.9821846946056436,False
MAGEA6,14,11,-0.0703072194491179,0.0403206255309537,-1.329938872386239,-2.201434186763456,-0.45844355800902226,26.0,0.005698967381829585,0.9821846946056436,False
ZNF503,16,12,0.016738893553271753,0.07197022179858095,-1.3233115006148883,-2.1481372083865935,-0.49848579284318295,34.0,0.004302790997471891,0.9821846946056436,False
OSER1,16,12,-0.2003560700137022,-0.0671478719552198,-1.3022552400310548,-2.124778834111096,-0.4797316459510135,33.0,0.003713930371615466,0.9821846946056436,False
COX7A2L,16,12,-0.09670113113645484,0.03221901935250345,-1.2940953661486163,-2.115735046260931,-0.4724556860363016,36.0,0.005741010451789112,0.9821846946056436,False
TSPYL2,16,12,-0.049679759709931395,0.0790724812400039,-1.285504597145792,-2.1062186719195104,-0.46479052237207363,24.0,0.0009024207473749755,0.9821846946056436,False
