gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
PIK3CA,7,38,-1.4260410722950407,-0.48829041977364107,-2.0686571391051176,-2.9810854877906516,-1.1562287904195836,25.0,0.00022080396442279596,1.0,False
CCDC158,7,38,-0.2043292129176437,-0.07506825996485131,-1.7476853026133539,-2.6309981555209307,-0.864372449705777,44.0,0.003778392150485174,1.0,False
RBM5,7,38,-0.5440909909374941,-0.1539648599326927,-1.7445720331630468,-2.6276221639348636,-0.8615219023912297,43.0,0.0033405744693322686,1.0,False
CCND2,7,38,-0.2478230380361617,-0.0882683491419531,-1.6449831377767756,-2.5198370765453015,-0.7701291990082498,67.0,0.038277270721967266,1.0,False
UTP20,7,38,-1.7528654454030692,-1.3125459296557578,-1.5845828431131863,-2.454665255806731,-0.7145004304196416,48.0,0.006049940479889431,1.0,False
MAPK12,7,38,-0.0840040217714945,0.04903978902736305,-1.512791420035542,-2.3774024488861643,-0.6481803911849197,29.0,0.00044689664655631756,1.0,False
IRAK3,7,38,-0.0530971086106697,0.056536058131226,-1.4531515578411882,-2.313385319271299,-0.5929177964110774,37.0,0.0015157024232463822,1.0,False
CD46,7,38,-0.1970508155254898,-0.0037776852701587285,-1.4382968376491228,-2.297464355697527,-0.5791293196007183,56.0,0.014132511466601086,1.0,False
MTMR6,7,38,-0.3299947570976927,-0.0644266827671891,-1.4260233772343092,-2.2843172094481314,-0.5677295450204867,48.0,0.006049940479889431,1.0,False
WDR36,5,15,-2.188871145599985,-1.705219327407009,-1.403960016435434,-2.5056345890240976,-0.30228544384677014,11.0,0.01934984520123839,1.0,False
MYH1,7,38,0.0376186148836874,0.099999936140229,-1.3900948742115635,-2.245869199273917,-0.5343205491492102,58.0,0.01717189346230753,1.0,False
RPL36AL,7,38,-1.0719427734905134,-0.7238757711007282,-1.3620065362534224,-2.2158509165204037,-0.508162155986441,69.0,0.04504418503284074,1.0,False
TRABD,7,38,-0.1194833025119863,0.0049767680423341495,-1.3512923988077954,-2.2044098622564015,-0.4981749353591891,45.0,0.0042638082910346105,1.0,False
BCKDK,7,38,-0.0676373045652858,0.06443130461826975,-1.3462017355147415,-2.1989756115941903,-0.493427859435293,45.0,0.0042638082910346105,1.0,False
FAM3A,7,38,-0.0966161529636814,0.05722663588825565,-1.334453699727679,-2.186439084573096,-0.48246831488226205,50.0,0.007562469672509378,1.0,False
PRKG2,7,38,-0.0840108817141543,0.0198676479099185,-1.331721943041186,-2.183524867407889,-0.47991901867448306,30.0,0.0005272851557593474,1.0,False
NMD3,7,38,-1.386985206250403,-1.149908863995215,-1.3181320756972954,-2.1690322824750075,-0.4672318689195831,55.0,0.01278926531337195,1.0,False
ULK1,7,38,-0.0916214288176136,0.03090598778560775,-1.3122453739702133,-2.1627571314919485,-0.4617336164484782,50.0,0.007562469672509378,1.0,False
WASHC5,7,38,-0.3111484950556259,-0.0969964571838592,-1.3012941520226504,-2.1510874232522132,-0.4515008807930877,71.0,0.05273459760130209,1.0,False
RTEL1,7,38,-1.1258754486021254,-0.4693543833761152,-1.293215102382079,-2.142481798333219,-0.4439484064309389,56.0,0.014132511466601086,1.0,False
NUPR2,7,38,-0.3546930270771154,-0.21707605303990815,-1.2863996688191006,-2.1352244475401827,-0.43757489009801864,44.0,0.003778392150485174,1.0,False
ZC3H3,7,38,-0.3813164220839005,-0.24938434867525844,-1.286308386613273,-2.1351272608255973,-0.4374895124009486,52.0,0.009381612274408644,1.0,False
AFG2A,7,38,-1.0528057708587524,-0.819920265586044,-1.2610199748863546,-2.1082176734725477,-0.4138222763001618,39.0,0.001993097341934551,1.0,False
PTTG1,7,38,-0.6746403184296101,-0.40781471479822407,-1.2605454466366985,-2.10771300274522,-0.4133778905281771,40.0,0.0022763963206390886,1.0,False
LTA,7,38,-0.1161477469982869,-0.024601605879716,-1.2517037810392968,-2.0983115864183706,-0.40509597566022293,53.0,0.010420536796033109,1.0,False
OR1L6,7,33,-0.182501586027152,-0.0874009319366265,-1.251480218429658,-2.1119417027930876,-0.39101873406622856,46.0,0.011614412698004027,1.0,False
ATP5MF,7,38,-1.5039784017845657,-1.1458395178695728,-1.244242419050793,-2.0903806383653096,-0.39810419973627664,67.0,0.038277270721967266,1.0,False
DPCD,7,38,-0.2233611871732205,-0.0937866046562904,-1.2383191579709294,-2.0840864075474483,-0.39255190839441023,46.0,0.004801362373682284,1.0,False
RFC5,7,38,-1.391320375781402,-1.118043062778217,-1.2358917973180321,-2.0815074875354145,-0.39027610710064964,55.0,0.01278926531337195,1.0,False
CYP4F11,7,38,-0.4193829769890135,-0.25831097381286533,-1.2333118740165967,-2.0787667754893016,-0.38785697254389184,55.0,0.01278926531337195,1.0,False
FBLN7,7,38,-0.1974802583491898,-0.0554650887690525,-1.2254082174773027,-2.070372441133065,-0.38044399382154026,42.0,0.0029468294357687438,1.0,False
APBB2,7,38,0.0216890880180136,0.1377805733054312,-1.2175797870599823,-2.062060834469704,-0.37309873965026086,48.0,0.006049940479889431,1.0,False
SLC35C1,7,38,-0.1725396269839304,-0.0563243748942946,-1.2139368601062814,-2.058194025580818,-0.36967969463174455,59.0,0.018883102150260404,1.0,False
NIPAL4,7,38,0.014589485068641,0.1309017061804423,-1.2092219336160488,-2.0531902440009655,-0.3652536232311322,46.0,0.004801362373682284,1.0,False
PHF21B,7,38,-0.1039812890329955,-0.02580272132037465,-1.2039841892084018,-2.047632817347715,-0.3603355610690884,42.0,0.0029468294357687438,1.0,False
B3GNT2,7,38,-0.3497910862111165,-0.12559616777593863,-1.1970790116205414,-2.040308123779109,-0.35384989946197387,50.0,0.007562469672509378,1.0,False
MUL1,7,38,-0.0807904706550976,-0.020563271461045002,-1.1936869289105718,-2.0367107668335853,-0.3506630909875582,74.0,0.0661822641970118,1.0,False
LDAH,7,38,0.0868528718284156,0.1310452369598401,-1.1925546637781181,-2.035510100459389,-0.349599227096847,90.0,0.18747279064919453,1.0,False
KCNH6,7,38,-0.0678439196040659,0.03319589456182685,-1.191692548662357,-2.0345959439389336,-0.3487891533857803,40.0,0.0022763963206390886,1.0,False
ANTXRL,7,38,-0.3796015092118855,-0.2313687539160328,-1.185702026100397,-2.0282447557341623,-0.34315929646663157,59.0,0.018883102150260404,1.0,False
RIOX2,7,38,-0.216003222051283,-0.08120875433945124,-1.1755391932327375,-2.0174738668044045,-0.3336045196610704,54.0,0.011554437873212689,1.0,False
PPIE,7,38,-0.8613552907036987,-0.6554863504486659,-1.1746587570883034,-2.016540978773059,-0.3327765354035478,44.0,0.003778392150485174,1.0,False
PRR15,7,38,-0.1622324495255728,0.0054267962851843494,-1.1739310665309173,-2.015769963329768,-0.33209216973206646,66.0,0.03521519131275229,1.0,False
CCN3,7,38,0.0052018109087815,0.055520094859891095,-1.172857434985966,-2.014632455392377,-0.331082414579555,62.0,0.02488077247010883,1.0,False
ZMPSTE24,7,38,-0.0838862948190461,-0.02553585704428225,-1.1718018021698995,-2.0135140692939357,-0.33008953504586347,64.0,0.029683941822342276,1.0,False
PRCP,7,38,-0.1238957022476179,-0.01144676937978915,-1.1708735333537235,-2.012530661322054,-0.329216405385393,43.0,0.0033405744693322686,1.0,False
MPPED1,7,38,-0.1084900722678177,-0.0135133162812978,-1.1695779374201112,-2.011158174031312,-0.3279977008089102,33.0,0.0008459744704781573,1.0,False
PLA1A,7,38,-0.0389522246607167,0.0668866047842938,-1.1661367681482484,-2.0075131567003357,-0.3247603795961611,46.0,0.004801362373682284,1.0,False
SERPINH1,7,38,0.0453319280363484,0.13588693315001246,-1.157304781419909,-1.99816050553772,-0.3164490573020976,41.0,0.0025931023662163766,1.0,False
SRBD1,7,38,-2.2315574067428754,-1.5550230120180002,-1.1572472173424497,-1.9980995598655447,-0.3163948748193548,60.0,0.020733051532824648,1.0,False
FHOD3,7,38,0.0272973333513517,0.09425866657590926,-1.1553257579556482,-1.9960653133029633,-0.3145862026083329,59.0,0.018883102150260404,1.0,False
MTCH2,7,38,-0.3005761988896385,-0.14279302061050408,-1.1518641471165216,-1.992400945325699,-0.31132734890734426,59.0,0.018883102150260404,1.0,False
TMEM176A,7,38,-0.0758209028945866,0.037051344157909,-1.1499889479938024,-1.9904161437545254,-0.30956175223307936,53.0,0.010420536796033109,1.0,False
EMP3,7,38,-0.0313369861673041,0.0331489400052718,-1.1486669381166306,-1.9890169632234502,-0.308316913009811,57.0,0.015590699084743326,1.0,False
ABT1,7,38,-1.0875982532740998,-0.7614033612427884,-1.146998153751187,-1.9872508823274195,-0.30674542517495473,48.0,0.006049940479889431,1.0,False
NXT1,7,38,-0.4296655367863609,-0.49686883077606897,-1.1388810675222383,-1.9786623966976145,-0.2990997383468621,88.0,0.1669973437415298,1.0,False
MAS1L,7,38,-0.0172010113417444,0.06493111790206904,-1.1363721818213384,-1.9760084316479656,-0.29673593199471116,57.0,0.015590699084743326,1.0,False
VAV1,7,38,-0.1401879231903147,-0.042188093737398305,-1.1311412557580287,-1.9704759697453116,-0.29180654177074583,51.0,0.008430744902667762,1.0,False
POLE2,7,38,-2.131079154456726,-1.8367193951537066,-1.130533762132277,-1.9698335404190246,-0.2912339838455297,55.0,0.01278926531337195,1.0,False
SLC43A2,7,38,0.0113009653433384,0.11694165320207235,-1.1284467664970277,-1.9676266579154884,-0.28926687507856697,54.0,0.011554437873212689,1.0,False
FBLN1,7,38,-0.0629939440921536,0.032938308893030746,-1.1280319636651153,-1.9671880512050846,-0.288875876125146,46.0,0.004801362373682284,1.0,False
ATAD3B,7,38,-0.2455987214678764,-0.08365215757328705,-1.1242552726965689,-1.9631950026426246,-0.2853155427505131,57.0,0.015590699084743326,1.0,False
STPG3,7,38,-0.0260400903469728,0.04249199866292415,-1.124198797721982,-1.9631352974352885,-0.28526229800867564,58.0,0.01717189346230753,1.0,False
OR2W3,7,33,-0.061097880120771,-0.0043813514724993,-1.1213773810051693,-1.97318134451687,-0.2695734174934685,57.0,0.036928354885011234,1.0,False
CDK5,7,38,-0.1555614777537827,-0.0393487245591261,-1.1212765097256843,-1.9600460660989518,-0.2825069533524168,61.0,0.022729189887442866,1.0,False
PRKCE,7,38,-0.1381089320417908,0.0162694873008819,-1.1204903520772485,-1.9592150656511347,-0.2817656385033621,50.0,0.007562469672509378,1.0,False
RHOG,7,38,-0.1718197305797755,-0.10400157971020885,-1.1151924262955681,-1.9536157016344187,-0.2767691509567175,55.0,0.01278926531337195,1.0,False
BMS1,7,38,-1.2793584933667552,-1.1306727767141804,-1.111637094441236,-1.9498588212347934,-0.2734153676476785,61.0,0.022729189887442866,1.0,False
NEUROD1,7,38,-0.0082054787913839,0.11490968560439815,-1.1108590345406224,-1.9490367332066396,-0.2726813358746052,54.0,0.011554437873212689,1.0,False
TTF2,7,38,-0.9502342542998252,-0.6060285219928416,-1.1064765852624163,-1.9444068267702503,-0.2685463437545822,53.0,0.010420536796033109,1.0,False
GPKOW,7,38,-1.2339406265533466,-0.9412176296556332,-1.104611181995081,-1.9424363672871299,-0.26678599670303227,60.0,0.020733051532824648,1.0,False
CTSO,7,38,-0.1612776300135352,-0.025591185502756103,-1.1015542967042522,-1.9392076784901005,-0.26390091491840395,59.0,0.018883102150260404,1.0,False
TREML2,7,38,-0.2839602045226657,-0.14027399069628385,-1.1011081229555584,-1.9387364656953903,-0.2634797802157265,49.0,0.006770528267975801,1.0,False
ITPR1,7,38,-0.0238678548064598,0.0554130028140973,-1.0979378644371873,-1.935388564480363,-0.26048716439401176,65.0,0.032353642450069,1.0,False
MTSS1,7,38,-0.1108973295312267,-0.05072902627226905,-1.096841797472706,-1.934231190759474,-0.25945240418593796,79.0,0.09438800941920626,1.0,False
NPM1,5,15,-1.431963919364852,-0.6910541825270229,-1.0964230839516391,-2.1640553451896274,-0.028790822713650632,18.0,0.09829721362229103,1.0,False
AARD,7,38,-0.2789879345794129,-0.13919897486996485,-1.0963247863437833,-1.933685281135478,-0.25896429155208844,67.0,0.038277270721967266,1.0,False
POP5,7,38,-2.0494700858114108,-1.7990406356703263,-1.0918642581345372,-1.928975954938932,-0.25475256133014246,73.0,0.0614307479877531,1.0,False
DENND2A,7,38,-0.1155368901366028,-0.041706688176889745,-1.089583737431935,-1.9265685954571805,-0.25259887940668946,47.0,0.0053950209367112385,1.0,False
