gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
PIK3CA,9,63,-0.9006373092045338,-0.5008034845882025,-1.6023093317984949,-2.3481606414175262,-0.8564580221794638,144.0,0.01794502934758782,0.8438283618179093,False
GINS4,9,63,-1.576209478583278,-1.216895575025336,-1.4720659607779316,-2.210721721494111,-0.7334102000617523,56.0,0.00011103241415838275,0.6636407394246537,False
UGT2B15,9,63,-0.312988447865901,-0.1129102107257592,-1.444340980704836,-2.1815352009631686,-0.7071467604465035,105.0,0.002439045671646691,0.8438283618179093,False
DEFB131A,5,50,-0.0836833396250412,0.0168753302381854,-1.375753944275409,-2.3303315681654446,-0.4211763203853731,51.0,0.028160600857604186,0.8438283618179093,False
OR2H1,5,50,-0.1733674274425405,-0.03727257325157675,-1.3027460501528594,-2.2537399073919984,-0.3517521929137206,39.0,0.008963536155545035,0.8438283618179093,False
EIF4A3,9,63,-2.3712277668752533,-1.9826312299797688,-1.2996422275397206,-2.0296170700332783,-0.5696673850461629,114.0,0.004007638556419243,0.8438283618179093,False
NARS1,9,63,-2.085301024480841,-1.905897854445522,-1.2954575099599723,-2.0252338915112422,-0.5656811284087025,116.0,0.004462018239605323,0.8438283618179093,False
BIRC3,9,63,-0.0256917277745273,0.0935144114981767,-1.2853054670824167,-2.014602823818052,-0.5560081103467814,116.0,0.004462018239605323,0.8438283618179093,False
C21orf91,9,63,-0.0850305452886304,0.0690259879970486,-1.2694317648440503,-1.997987052171984,-0.5408764775161166,126.0,0.007512335946650426,0.8438283618179093,False
RICTOR,9,63,-0.4744157075913616,-0.2505941788820001,-1.2681397743080525,-1.9966350360099554,-0.5396445126061497,102.0,0.002056952222901554,0.8438283618179093,False
POLR3D,9,63,-0.6392829610023885,-0.4349104606168315,-1.2545862275144706,-1.9824551829842982,-0.5267172720446428,102.0,0.002056952222901554,0.8438283618179093,False
FKBP9,9,63,-0.2080039167564888,-0.0735897871070441,-1.2537166055722482,-1.9815455874771493,-0.525887623667347,136.0,0.012315727840661716,0.8438283618179093,False
OR2T6,5,50,-0.0383824967146734,0.05349347623461675,-1.2492955986641345,-2.197781569003562,-0.30080962832470703,55.0,0.03914267177308243,0.8438283618179093,False
MDGA2,9,63,-0.1036946701328543,-0.0057402867888342,-1.2420870008467968,-1.9693838640812378,-0.5147901376123558,82.0,0.000620656112211869,0.8438283618179093,False
ECI2,9,63,-0.1060206683617192,-0.0386381265847391,-1.2200382802301997,-1.946338859634543,-0.4937377008258562,149.0,0.022512049756276027,0.8438283618179093,False
