gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
PIK3CA,17,32,-0.9100243711262916,-0.2433057493181311,-1.4489453566961252,-2.103398472933078,-0.7944922404591723,85.0,8.955239755616586e-05,0.8028820202898049,False
ZNF676,10,13,-0.1998705902904666,0.1567152519508581,-1.3041762536879915,-2.2106434624656153,-0.3977090449103675,21.0,0.006980869651063894,0.9566790957660186,False
RC3H2,17,32,-0.0573764718230071,0.06363283594050315,-1.2605779788585032,-1.8995634974933788,-0.6215924602236276,97.0,0.00024711338558218806,0.8082027820125436,False
RPS23,17,32,-2.242513509991179,-1.9388695819678508,-1.199987392570716,-1.8343835570778126,-0.5655912280636196,116.0,0.0010901921497302178,0.9151759743674264,False
DCDC1,17,32,0.0940004616176294,0.21502999767947006,-1.1914157360539317,-1.825178302202921,-0.5576531699049424,110.0,0.0006933925124605725,0.9151759743674264,False
ZNF546,17,32,-0.06786251248127,0.03658767418284485,-1.1821323229122944,-1.81521309548956,-0.5490515503350288,112.0,0.0008076194818533311,0.9151759743674264,False
DOCK4,17,32,-0.0487354468125711,0.060019377916740155,-1.1460006454891891,-1.776471824285517,-0.5155294666928613,107.0,0.0005499028965980649,0.9151759743674264,False
HDHD5,17,32,-0.2820072690060646,-0.09429147307576666,-1.1379162317396774,-1.7678131598440732,-0.5080193036352816,99.0,0.00029095283588187823,0.8082027820125436,False
ZNF408,17,32,-0.0560520886692733,0.0181627981521062,-1.1293203460382384,-1.758610583509892,-0.5000301085665847,137.0,0.0047271015241367636,0.9566790957660186,False
ELOA,17,32,-0.2618946302706879,-0.05055506158529875,-1.118699503909888,-1.7472456863872434,-0.4901533214325323,113.0,0.0008710650192680038,0.9151759743674264,False
CCDC83,17,32,-0.0561860527229844,0.028971877197468097,-1.1133653078033408,-1.7415401201120704,-0.48519049549461113,135.0,0.004142868217500402,0.9566790957660186,False
PHC3,17,32,0.0082391242290834,0.10633651249290856,-1.1015500273382097,-1.728907799714218,-0.47419225496220163,98.0,0.00026819463787507354,0.8082027820125436,False
PAK5,17,32,-0.031861221796366,0.07870685851283254,-1.0781628863242516,-1.7039260521226518,-0.4523997205258514,110.0,0.0006933925124605725,0.9151759743674264,False
ASGR2,17,32,-0.0460006201024208,0.045623478129925746,-1.0681509741926085,-1.693240738434723,-0.4430612099504939,119.0,0.0013593755271592315,0.9566790957660186,False
PDHB,17,32,-0.325568264927578,-0.0909584255624005,-1.0587617516457724,-1.6832250539285742,-0.43429844936297035,166.0,0.02669539016006234,0.9566790957660186,False
MAGOHB,17,32,-0.0592972603817815,0.0323196049402078,-1.055054270423819,-1.6792715558349935,-0.43083698501264445,137.0,0.0047271015241367636,0.9566790957660186,False
GLUL,17,32,-0.1449592295658933,-0.02504357256452335,-1.0489351701639917,-1.6727480881752832,-0.4251222521527003,116.0,0.0010901921497302178,0.9151759743674264,False
VTN,17,32,-0.2424469628058195,-0.14246338579317885,-1.0477836640903706,-1.6715207210980667,-0.4240466070826744,133.0,0.003624919140301971,0.9566790957660186,False
TEC,17,32,-0.075382554683604,0.0159613639130931,-1.0401692554460649,-1.6634065432740257,-0.416931967618104,130.0,0.002957756515118472,0.9566790957660186,False
PPP1R3F,17,32,0.0239261969281504,0.07502026590798465,-1.0346842271928725,-1.6575635193829283,-0.41180493500281645,142.0,0.00652732177418135,0.9566790957660186,False
NDUFA9,17,32,-0.5411000352348997,-0.30333543044432143,-1.03435370925861,-1.6572114831860758,-0.41149593533114415,127.0,0.002404502993982929,0.9566790957660186,False
EDEM1,17,32,0.0167009067585789,0.12725246603179996,-1.0182365562269735,-1.6400524801724634,-0.3964206322814835,121.0,0.0015715710521918952,0.9566790957660186,False
AKAP3,17,32,-0.1077375208798851,-0.044147626730292905,-1.0046709256897801,-1.625621290692714,-0.38372056068684623,116.0,0.0010901921497302178,0.9151759743674264,False
DSC3,17,32,-0.0638120354758178,0.06192687649115475,-0.995755226169966,-1.6161423969837077,-0.3753680553562244,136.0,0.004426256509890754,0.9566790957660186,False
FAM222B,17,32,-0.2974117857913504,-0.19834524170845336,-0.9956644758792583,-1.6160459372975424,-0.37528301446097434,117.0,0.0011738914399894488,0.9151759743674264,False
ALAS1,17,32,-0.2446007415079263,-0.08842771995228935,-0.9924870222273886,-1.6126688747593918,-0.3723051696953854,133.0,0.003624919140301971,0.9566790957660186,False
TRAF4,17,32,-0.2694998696475578,-0.1185160225881791,-0.9841010820424696,-1.603758884820773,-0.3644432792641663,129.0,0.0027616044178274796,0.9566790957660186,False
ITCH,17,32,-0.0343463697104887,0.0220282624268783,-0.9832542041082223,-1.602859306928429,-0.36364910128801564,146.0,0.008388299285322486,0.9566790957660186,False
FAM86B2,14,30,-0.04379400312047365,0.0384351592953563,-0.9781081748836687,-1.6445923231704476,-0.3116240265968899,122.0,0.027468640385681337,0.9566790957660186,False
CASP10,17,32,-0.1240880230763779,-0.032063569662416,-0.9718589203727033,-1.5907588929366638,-0.3529589478087426,147.0,0.008922143229507422,0.9566790957660186,False
ACVR1,17,32,0.0293519810540687,0.08639408883691935,-0.9693776242122707,-1.5881250404441272,-0.3506302079804142,132.0,0.003388681225412666,0.9566790957660186,False
DOT1L,17,32,-0.3492633512059832,-0.05676935813748815,-0.9669628918683362,-1.5855621827358863,-0.3483636010007861,123.0,0.0018138967629618623,0.9566790957660186,False
RPS27A,17,32,-1.8253559329445117,-1.5365440534019044,-0.9656523237631428,-1.5841713611542931,-0.3471332863719925,157.0,0.0161733046728229,0.9566790957660186,False
CCNE2,17,32,-0.159680890783918,-0.0795258695146055,-0.9631894394255783,-1.5815579269016924,-0.34482095194946427,149.0,0.010081693883859665,0.9566790957660186,False
C6,17,32,-0.0116573419638542,0.08004447141833855,-0.9619154292282815,-1.5802061761992965,-0.3436246822572667,138.0,0.005046337729097202,0.9566790957660186,False
FOXA1,17,32,-1.1699926995122665,-0.14759331452490326,-0.956667278252075,-1.5746387638696926,-0.3386957926344575,143.0,0.006953984635279315,0.9566790957660186,False
MCMDC2,17,32,-0.0308293148681431,0.056236399931422154,-0.9481937306398494,-1.5656530862377502,-0.33073437504194847,149.0,0.010081693883859665,0.9566790957660186,False
MTO1,17,32,-0.1571411977827086,-0.025778855262773098,-0.9355953723055298,-1.5523009504536942,-0.3188897941573653,124.0,0.001947527585946669,0.9566790957660186,False
PPM1E,17,32,-0.1768284251970898,-0.1130818238836457,-0.9334742710657533,-1.5500538425579977,-0.3168946995735089,150.0,0.010710330535994069,0.9566790957660186,False
TAS2R42,17,32,0.1997007149303443,0.26965664961749625,-0.9262373065982205,-1.542388917518109,-0.310085695678332,160.0,0.01918233688696774,0.9566790957660186,False
SSTR1,17,32,-0.0592756174050249,0.0095861476830658,-0.9242094621143413,-1.5402417001089441,-0.30817722411973847,132.0,0.003388681225412666,0.9566790957660186,False
CYLD,17,32,-0.2795049149643213,-0.1265770077569776,-0.9189694518814644,-1.5346943317821258,-0.3032445719808031,126.0,0.002242280165219266,0.9566790957660186,False
FTO,17,32,-0.1070927146987634,-0.0249035511110645,-0.9182913720497221,-1.5339765950253894,-0.3026061490740547,139.0,0.005384940000147035,0.9566790957660186,False
MED23,17,32,-0.1941287063413209,0.09368142682519315,-0.9155652979076585,-1.5310913584493568,-0.30003923736596017,115.0,0.0010120421480290071,0.9151759743674264,False
PHAF1,17,32,-0.160055504349359,-0.09050735083177924,-0.9140689324305319,-1.5295078110621554,-0.2986300537989085,153.0,0.012810374066843077,0.9566790957660186,False
FMO4,17,32,-0.0063871590023377,0.07193765977166885,-0.9117595624881775,-1.5270641472903674,-0.2964549776859875,144.0,0.007405533340500281,0.9566790957660186,False
LAMTOR5,17,32,-0.2187559994687242,-0.13349571113190345,-0.9115434024101078,-1.5268354330217304,-0.29625137179848515,140.0,0.005743924750782036,0.9566790957660186,False
NSUN7,17,32,-0.032406293778613,0.020686274881504152,-0.9080401978829873,-1.5231291480972577,-0.29295124766871683,158.0,0.017126680042233687,0.9566790957660186,False
SSUH2,17,32,0.0413463757586037,0.13261862914224393,-0.9064693077416375,-1.5214674258642145,-0.2914711896190604,149.0,0.010081693883859665,0.9566790957660186,False
SSMEM1,17,32,0.0859131340644175,0.16553879290600643,-0.9063748224163541,-1.5213674817905205,-0.2913821630421879,142.0,0.00652732177418135,0.9566790957660186,False
